year,country,value
2017,belize,5706.1182
2018,belize,5638.2341
2019,belize,5720.0811
2011,trinidad_and_tobago,377.7956
2012,trinidad_and_tobago,386.7007
2013,trinidad_and_tobago,394.8907
2014,trinidad_and_tobago,395.2888
2015,trinidad_and_tobago,398.1547
2016,trinidad_and_tobago,413.6251
2017,trinidad_and_tobago,412.0825
2018,trinidad_and_tobago,409.9993
2019,trinidad_and_tobago,420.9185
