Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_pulses_gg_ch4_ha
9,Argentina,"Peas, dry",2003,24000,tonnes,Production,0.6,14400
9,Argentina,"Peas, dry",2004,28000,tonnes,Production,0.6,16800
9,Argentina,"Peas, dry",2005,36000,tonnes,Production,0.6,21600
9,Argentina,"Peas, dry",2006,55000,tonnes,Production,0.6,33000
9,Argentina,"Peas, dry",2007,50000,tonnes,Production,0.6,30000
9,Argentina,"Peas, dry",2008,50000,tonnes,Production,0.6,30000
9,Argentina,"Peas, dry",2009,51560,tonnes,Production,0.6,30936
9,Argentina,"Peas, dry",2010,55580,tonnes,Production,0.6,33348
9,Argentina,"Peas, dry",2011,56636,tonnes,Production,0.6,33981.6
9,Argentina,"Peas, dry",2012,53315,tonnes,Production,0.6,31989
9,Argentina,"Peas, dry",2013,54294,tonnes,Production,0.6,32576.4
9,Argentina,"Peas, dry",2014,145000,tonnes,Production,0.6,87000
9,Argentina,"Peas, dry",2015,208000,tonnes,Production,0.6,124800
9,Argentina,"Peas, dry",2016,140000,tonnes,Production,0.6,84000
9,Argentina,"Peas, dry",2017,120000,tonnes,Production,0.6,72000
9,Argentina,"Peas, dry",2018,109736,tonnes,Production,0.6,65841.6
9,Argentina,"Peas, dry",2019,102802,tonnes,Production,0.6,61681.2
9,Argentina,Chick peas,1961,5650,tonnes,Production,0.67,3785.5
9,Argentina,Chick peas,1962,4450,tonnes,Production,0.67,2981.5
9,Argentina,Chick peas,1963,4900,tonnes,Production,0.67,3283
9,Argentina,Chick peas,1964,5650,tonnes,Production,0.67,3785.5
9,Argentina,Chick peas,1965,6000,tonnes,Production,0.67,4020
9,Argentina,Chick peas,1966,3850,tonnes,Production,0.67,2579.5
9,Argentina,Chick peas,1967,3500,tonnes,Production,0.67,2345
9,Argentina,Chick peas,1968,4000,tonnes,Production,0.67,2680
9,Argentina,Chick peas,1969,4840,tonnes,Production,0.67,3242.8
9,Argentina,Chick peas,1970,4530,tonnes,Production,0.67,3035.1
9,Argentina,Chick peas,1971,3430,tonnes,Production,0.67,2298.1
9,Argentina,Chick peas,1972,3800,tonnes,Production,0.67,2546
9,Argentina,Chick peas,1973,1800,tonnes,Production,0.67,1206
9,Argentina,Chick peas,1974,4600,tonnes,Production,0.67,3082
9,Argentina,Chick peas,1975,8200,tonnes,Production,0.67,5494
9,Argentina,Chick peas,1976,3740,tonnes,Production,0.67,2505.8
9,Argentina,Chick peas,1977,2060,tonnes,Production,0.67,1380.2
9,Argentina,Chick peas,1978,5500,tonnes,Production,0.67,3685
9,Argentina,Chick peas,1979,2800,tonnes,Production,0.67,1876
9,Argentina,Chick peas,1980,4400,tonnes,Production,0.67,2948
9,Argentina,Chick peas,1981,3900,tonnes,Production,0.67,2613
9,Argentina,Chick peas,1982,1330,tonnes,Production,0.67,891.1
9,Argentina,Chick peas,1983,1700,tonnes,Production,0.67,1139
9,Argentina,Chick peas,1984,3750,tonnes,Production,0.67,2512.5
9,Argentina,Chick peas,1985,7600,tonnes,Production,0.67,5092
9,Argentina,Chick peas,1986,6200,tonnes,Production,0.67,4154
9,Argentina,Chick peas,1987,5300,tonnes,Production,0.67,3551
9,Argentina,Chick peas,1988,11300,tonnes,Production,0.67,7571
9,Argentina,Chick peas,1989,3000,tonnes,Production,0.67,2010
9,Argentina,Chick peas,1990,3000,tonnes,Production,0.67,2010
9,Argentina,Chick peas,1991,2000,tonnes,Production,0.67,1340
9,Argentina,Chick peas,1992,2100,tonnes,Production,0.67,1407
9,Argentina,Chick peas,1993,1900,tonnes,Production,0.67,1273
9,Argentina,Chick peas,1994,1800,tonnes,Production,0.67,1206
9,Argentina,Chick peas,1995,1700,tonnes,Production,0.67,1139
9,Argentina,Chick peas,1996,1600,tonnes,Production,0.67,1072
9,Argentina,Chick peas,1997,1500,tonnes,Production,0.67,1005
9,Argentina,Chick peas,1998,1400,tonnes,Production,0.67,938
9,Argentina,Chick peas,1999,1300,tonnes,Production,0.67,871
9,Argentina,Chick peas,2000,1200,tonnes,Production,0.67,804
9,Argentina,Chick peas,2001,1300,tonnes,Production,0.67,871
9,Argentina,Chick peas,2002,1300,tonnes,Production,0.67,871
9,Argentina,Chick peas,2003,1350,tonnes,Production,0.67,904.5
9,Argentina,Chick peas,2004,1400,tonnes,Production,0.67,938
9,Argentina,Chick peas,2005,1500,tonnes,Production,0.67,1005
9,Argentina,Chick peas,2006,4500,tonnes,Production,0.67,3015
9,Argentina,Chick peas,2007,4500,tonnes,Production,0.67,3015
9,Argentina,Chick peas,2008,10500,tonnes,Production,0.67,7035
9,Argentina,Chick peas,2009,18500,tonnes,Production,0.67,12395
9,Argentina,Chick peas,2010,19500,tonnes,Production,0.67,13065
9,Argentina,Chick peas,2011,55000,tonnes,Production,0.67,36850
9,Argentina,Chick peas,2012,52000,tonnes,Production,0.67,34840
9,Argentina,Chick peas,2013,53500,tonnes,Production,0.67,35845
9,Argentina,Chick peas,2014,88000,tonnes,Production,0.67,58960
9,Argentina,Chick peas,2015,104000,tonnes,Production,0.67,69680
9,Argentina,Chick peas,2016,60000,tonnes,Production,0.67,40200
9,Argentina,Chick peas,2017,184000,tonnes,Production,0.67,123280
9,Argentina,Chick peas,2018,144541,tonnes,Production,0.67,96842.47
9,Argentina,Chick peas,2019,137244,tonnes,Production,0.67,91953.48
9,Argentina,Lentils,1961,4600,tonnes,Production,1.03,4738
9,Argentina,Lentils,1962,11140,tonnes,Production,1.03,11474.2
9,Argentina,Lentils,1963,12050,tonnes,Production,1.03,12411.5
9,Argentina,Lentils,1964,11900,tonnes,Production,1.03,12257
9,Argentina,Lentils,1965,16500,tonnes,Production,1.03,16995
9,Argentina,Lentils,1966,15550,tonnes,Production,1.03,16016.5
9,Argentina,Lentils,1967,12900,tonnes,Production,1.03,13287
9,Argentina,Lentils,1968,8200,tonnes,Production,1.03,8446
9,Argentina,Lentils,1969,14200,tonnes,Production,1.03,14626
9,Argentina,Lentils,1970,8900,tonnes,Production,1.03,9167
9,Argentina,Lentils,1971,9510,tonnes,Production,1.03,9795.3
9,Argentina,Lentils,1972,5600,tonnes,Production,1.03,5768
9,Argentina,Lentils,1973,6700,tonnes,Production,1.03,6901
9,Argentina,Lentils,1974,6800,tonnes,Production,1.03,7004
9,Argentina,Lentils,1975,12940,tonnes,Production,1.03,13328.2
9,Argentina,Lentils,1976,15540,tonnes,Production,1.03,16006.2
9,Argentina,Lentils,1977,41400,tonnes,Production,1.03,42642
9,Argentina,Lentils,1978,40000,tonnes,Production,1.03,41200
9,Argentina,Lentils,1979,12400,tonnes,Production,1.03,12772
9,Argentina,Lentils,1980,16800,tonnes,Production,1.03,17304
9,Argentina,Lentils,1981,13370,tonnes,Production,1.03,13771.1
9,Argentina,Lentils,1982,13900,tonnes,Production,1.03,14317
9,Argentina,Lentils,1983,6550,tonnes,Production,1.03,6746.5
9,Argentina,Lentils,1984,6900,tonnes,Production,1.03,7107
9,Argentina,Lentils,1985,11500,tonnes,Production,1.03,11845
9,Argentina,Lentils,1986,18100,tonnes,Production,1.03,18643
9,Argentina,Lentils,1987,20700,tonnes,Production,1.03,21321
9,Argentina,Lentils,1988,25060,tonnes,Production,1.03,25811.8
9,Argentina,Lentils,1989,15000,tonnes,Production,1.03,15450
9,Argentina,Lentils,1990,25000,tonnes,Production,1.03,25750
9,Argentina,Lentils,1991,25800,tonnes,Production,1.03,26574
9,Argentina,Lentils,1992,24000,tonnes,Production,1.03,24720
9,Argentina,Lentils,1993,25100,tonnes,Production,1.03,25853
9,Argentina,Lentils,1994,32000,tonnes,Production,1.03,32960
9,Argentina,Lentils,1995,12000,tonnes,Production,1.03,12360
9,Argentina,Lentils,1996,3000,tonnes,Production,1.03,3090
9,Argentina,Lentils,1997,7000,tonnes,Production,1.03,7210
9,Argentina,Lentils,1998,9000,tonnes,Production,1.03,9270
9,Argentina,Lentils,1999,17000,tonnes,Production,1.03,17510
9,Argentina,Lentils,2000,10900,tonnes,Production,1.03,11227
9,Argentina,Lentils,2001,1800,tonnes,Production,1.03,1854
9,Argentina,Lentils,2002,3000,tonnes,Production,1.03,3090
9,Argentina,Lentils,2003,2500,tonnes,Production,1.03,2575
9,Argentina,Lentils,2004,2500,tonnes,Production,1.03,2575
9,Argentina,Lentils,2005,2500,tonnes,Production,1.03,2575
9,Argentina,Lentils,2006,2150,tonnes,Production,1.03,2214.5
9,Argentina,Lentils,2007,2300,tonnes,Production,1.03,2369
9,Argentina,Lentils,2008,2300,tonnes,Production,1.03,2369
9,Argentina,Lentils,2009,2112,tonnes,Production,1.03,2175.36
9,Argentina,Lentils,2010,2133,tonnes,Production,1.03,2196.99
9,Argentina,Lentils,2011,2365,tonnes,Production,1.03,2435.95
9,Argentina,Lentils,2012,2365,tonnes,Production,1.03,2435.95
9,Argentina,Lentils,2013,2365,tonnes,Production,1.03,2435.95
9,Argentina,Lentils,2014,28500,tonnes,Production,1.03,29355
9,Argentina,Lentils,2015,34000,tonnes,Production,1.03,35020
9,Argentina,Lentils,2016,22000,tonnes,Production,1.03,22660
9,Argentina,Lentils,2017,20000,tonnes,Production,1.03,20600
9,Argentina,Lentils,2018,18605,tonnes,Production,1.03,19163.15
9,Argentina,Lentils,2019,16299,tonnes,Production,1.03,16787.97
19,Bolivia (Plurinational State of),"Peas, dry",1961,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1962,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1963,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1964,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1965,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1966,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1967,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1968,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1969,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1970,3000,tonnes,Production,0.6,1800
19,Bolivia (Plurinational State of),"Peas, dry",1971,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1972,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1973,4100,tonnes,Production,0.6,2460
19,Bolivia (Plurinational State of),"Peas, dry",1974,5100,tonnes,Production,0.6,3060
19,Bolivia (Plurinational State of),"Peas, dry",1975,5900,tonnes,Production,0.6,3540
19,Bolivia (Plurinational State of),"Peas, dry",1976,4100,tonnes,Production,0.6,2460
19,Bolivia (Plurinational State of),"Peas, dry",1977,4400,tonnes,Production,0.6,2640
19,Bolivia (Plurinational State of),"Peas, dry",1978,4400,tonnes,Production,0.6,2640
19,Bolivia (Plurinational State of),"Peas, dry",1979,4500,tonnes,Production,0.6,2700
19,Bolivia (Plurinational State of),"Peas, dry",1980,4500,tonnes,Production,0.6,2700
19,Bolivia (Plurinational State of),"Peas, dry",1981,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1982,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1983,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1984,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1985,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1986,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1987,5100,tonnes,Production,0.6,3060
19,Bolivia (Plurinational State of),"Peas, dry",1988,5200,tonnes,Production,0.6,3120
19,Bolivia (Plurinational State of),"Peas, dry",1989,5300,tonnes,Production,0.6,3180
19,Bolivia (Plurinational State of),"Peas, dry",1990,4229,tonnes,Production,0.6,2537.4
19,Bolivia (Plurinational State of),"Peas, dry",1991,5500,tonnes,Production,0.6,3300
19,Bolivia (Plurinational State of),"Peas, dry",1992,5479,tonnes,Production,0.6,3287.4
19,Bolivia (Plurinational State of),"Peas, dry",1993,5600,tonnes,Production,0.6,3360
19,Bolivia (Plurinational State of),"Peas, dry",1994,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",1995,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1996,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1997,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1998,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",1999,4000,tonnes,Production,0.6,2400
19,Bolivia (Plurinational State of),"Peas, dry",2000,5000,tonnes,Production,0.6,3000
19,Bolivia (Plurinational State of),"Peas, dry",2001,4941,tonnes,Production,0.6,2964.6
19,Bolivia (Plurinational State of),"Peas, dry",2002,5200,tonnes,Production,0.6,3120
19,Bolivia (Plurinational State of),"Peas, dry",2003,5300,tonnes,Production,0.6,3180
19,Bolivia (Plurinational State of),"Peas, dry",2004,5170,tonnes,Production,0.6,3102
19,Bolivia (Plurinational State of),"Peas, dry",2005,5200,tonnes,Production,0.6,3120
19,Bolivia (Plurinational State of),"Peas, dry",2006,5188,tonnes,Production,0.6,3112.8
19,Bolivia (Plurinational State of),"Peas, dry",2007,5124,tonnes,Production,0.6,3074.4
19,Bolivia (Plurinational State of),"Peas, dry",2008,5174,tonnes,Production,0.6,3104.4
19,Bolivia (Plurinational State of),"Peas, dry",2009,5210,tonnes,Production,0.6,3126
19,Bolivia (Plurinational State of),"Peas, dry",2010,5252,tonnes,Production,0.6,3151.2
19,Bolivia (Plurinational State of),"Peas, dry",2011,5300,tonnes,Production,0.6,3180
19,Bolivia (Plurinational State of),"Peas, dry",2012,5352,tonnes,Production,0.6,3211.2
19,Bolivia (Plurinational State of),"Peas, dry",2013,5407,tonnes,Production,0.6,3244.2
19,Bolivia (Plurinational State of),"Peas, dry",2014,5418,tonnes,Production,0.6,3250.8
19,Bolivia (Plurinational State of),"Peas, dry",2015,5013,tonnes,Production,0.6,3007.8
19,Bolivia (Plurinational State of),"Peas, dry",2016,4868,tonnes,Production,0.6,2920.8
19,Bolivia (Plurinational State of),"Peas, dry",2017,4786,tonnes,Production,0.6,2871.6
19,Bolivia (Plurinational State of),"Peas, dry",2018,4722,tonnes,Production,0.6,2833.2
19,Bolivia (Plurinational State of),"Peas, dry",2019,4673,tonnes,Production,0.6,2803.8
19,Bolivia (Plurinational State of),Chick peas,1961,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1962,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1963,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1964,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1965,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1966,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1967,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1968,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1969,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1970,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1971,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1972,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1973,500,tonnes,Production,0.67,335
19,Bolivia (Plurinational State of),Chick peas,1974,600,tonnes,Production,0.67,402
19,Bolivia (Plurinational State of),Chick peas,1975,490,tonnes,Production,0.67,328.3
19,Bolivia (Plurinational State of),Chick peas,1976,470,tonnes,Production,0.67,314.9
19,Bolivia (Plurinational State of),Chick peas,1977,465,tonnes,Production,0.67,311.55
19,Bolivia (Plurinational State of),Chick peas,1978,255,tonnes,Production,0.67,170.85
19,Bolivia (Plurinational State of),Chick peas,1979,295,tonnes,Production,0.67,197.65
19,Bolivia (Plurinational State of),Chick peas,1980,255,tonnes,Production,0.67,170.85
19,Bolivia (Plurinational State of),Chick peas,1981,310,tonnes,Production,0.67,207.7
19,Bolivia (Plurinational State of),Chick peas,1982,275,tonnes,Production,0.67,184.25
19,Bolivia (Plurinational State of),Chick peas,1983,269,tonnes,Production,0.67,180.23
19,Bolivia (Plurinational State of),Chick peas,1984,216,tonnes,Production,0.67,144.72
19,Bolivia (Plurinational State of),Chick peas,1985,235,tonnes,Production,0.67,157.45
19,Bolivia (Plurinational State of),Chick peas,1986,235,tonnes,Production,0.67,157.45
19,Bolivia (Plurinational State of),Chick peas,1987,255,tonnes,Production,0.67,170.85
19,Bolivia (Plurinational State of),Chick peas,1988,275,tonnes,Production,0.67,184.25
19,Bolivia (Plurinational State of),Chick peas,1989,265,tonnes,Production,0.67,177.55
19,Bolivia (Plurinational State of),Chick peas,1990,295,tonnes,Production,0.67,197.65
19,Bolivia (Plurinational State of),Chick peas,1991,325,tonnes,Production,0.67,217.75
19,Bolivia (Plurinational State of),Chick peas,1992,275,tonnes,Production,0.67,184.25
19,Bolivia (Plurinational State of),Chick peas,1993,300,tonnes,Production,0.67,201
19,Bolivia (Plurinational State of),Chick peas,1994,290,tonnes,Production,0.67,194.3
19,Bolivia (Plurinational State of),Chick peas,1995,300,tonnes,Production,0.67,201
19,Bolivia (Plurinational State of),Chick peas,1996,315,tonnes,Production,0.67,211.05
19,Bolivia (Plurinational State of),Chick peas,1997,320,tonnes,Production,0.67,214.4
19,Bolivia (Plurinational State of),Chick peas,1998,300,tonnes,Production,0.67,201
19,Bolivia (Plurinational State of),Chick peas,1999,325,tonnes,Production,0.67,217.75
19,Bolivia (Plurinational State of),Chick peas,2000,326,tonnes,Production,0.67,218.42
19,Bolivia (Plurinational State of),Chick peas,2001,328,tonnes,Production,0.67,219.76
19,Bolivia (Plurinational State of),Chick peas,2002,330,tonnes,Production,0.67,221.1
19,Bolivia (Plurinational State of),Chick peas,2003,793,tonnes,Production,0.67,531.31
19,Bolivia (Plurinational State of),Chick peas,2004,817,tonnes,Production,0.67,547.39
19,Bolivia (Plurinational State of),Chick peas,2005,846,tonnes,Production,0.67,566.82
19,Bolivia (Plurinational State of),Chick peas,2006,866,tonnes,Production,0.67,580.22
19,Bolivia (Plurinational State of),Chick peas,2007,886,tonnes,Production,0.67,593.62
19,Bolivia (Plurinational State of),Chick peas,2008,905,tonnes,Production,0.67,606.35
19,Bolivia (Plurinational State of),Chick peas,2009,686,tonnes,Production,0.67,459.62
19,Bolivia (Plurinational State of),Chick peas,2010,642,tonnes,Production,0.67,430.14
19,Bolivia (Plurinational State of),Chick peas,2011,651,tonnes,Production,0.67,436.17
19,Bolivia (Plurinational State of),Chick peas,2012,657,tonnes,Production,0.67,440.19
19,Bolivia (Plurinational State of),Chick peas,2013,673,tonnes,Production,0.67,450.91
19,Bolivia (Plurinational State of),Chick peas,2014,226,tonnes,Production,0.67,151.42
19,Bolivia (Plurinational State of),Chick peas,2015,214,tonnes,Production,0.67,143.38
19,Bolivia (Plurinational State of),Chick peas,2016,221,tonnes,Production,0.67,148.07
19,Bolivia (Plurinational State of),Chick peas,2017,652,tonnes,Production,0.67,436.84
19,Bolivia (Plurinational State of),Chick peas,2018,670,tonnes,Production,0.67,448.9
19,Bolivia (Plurinational State of),Chick peas,2019,525,tonnes,Production,0.67,351.75
21,Brazil,"Peas, dry",1961,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1962,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1963,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1964,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1965,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1966,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1967,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1968,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1969,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1970,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1971,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1972,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1973,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1974,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1975,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1976,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1977,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1978,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1979,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1980,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1981,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1982,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1983,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1984,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1985,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1986,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1987,NA,tonnes,Production,0.6,NA
21,Brazil,"Peas, dry",1988,20693,tonnes,Production,0.6,12415.8
21,Brazil,"Peas, dry",1989,16594,tonnes,Production,0.6,9956.4
21,Brazil,"Peas, dry",1990,15560,tonnes,Production,0.6,9336
21,Brazil,"Peas, dry",1991,4566,tonnes,Production,0.6,2739.6
21,Brazil,"Peas, dry",1992,3019,tonnes,Production,0.6,1811.4
21,Brazil,"Peas, dry",1993,1820,tonnes,Production,0.6,1092
21,Brazil,"Peas, dry",1994,944,tonnes,Production,0.6,566.4
21,Brazil,"Peas, dry",1995,1139,tonnes,Production,0.6,683.4
21,Brazil,"Peas, dry",1996,2808,tonnes,Production,0.6,1684.8
21,Brazil,"Peas, dry",1997,3494,tonnes,Production,0.6,2096.4
21,Brazil,"Peas, dry",1998,4051,tonnes,Production,0.6,2430.6
21,Brazil,"Peas, dry",1999,2695,tonnes,Production,0.6,1617
21,Brazil,"Peas, dry",2000,3699,tonnes,Production,0.6,2219.4
21,Brazil,"Peas, dry",2001,4442,tonnes,Production,0.6,2665.2
21,Brazil,"Peas, dry",2002,7986,tonnes,Production,0.6,4791.6
21,Brazil,"Peas, dry",2003,6388,tonnes,Production,0.6,3832.8
21,Brazil,"Peas, dry",2004,10839,tonnes,Production,0.6,6503.4
21,Brazil,"Peas, dry",2005,5674,tonnes,Production,0.6,3404.4
21,Brazil,"Peas, dry",2006,4175,tonnes,Production,0.6,2505
21,Brazil,"Peas, dry",2007,3844,tonnes,Production,0.6,2306.4
21,Brazil,"Peas, dry",2008,4729,tonnes,Production,0.6,2837.4
21,Brazil,"Peas, dry",2009,6865,tonnes,Production,0.6,4119
21,Brazil,"Peas, dry",2010,5909,tonnes,Production,0.6,3545.4
21,Brazil,"Peas, dry",2011,3901,tonnes,Production,0.6,2340.6
21,Brazil,"Peas, dry",2012,4283,tonnes,Production,0.6,2569.8
21,Brazil,"Peas, dry",2013,2992,tonnes,Production,0.6,1795.2
21,Brazil,"Peas, dry",2014,3692,tonnes,Production,0.6,2215.2
21,Brazil,"Peas, dry",2015,2561,tonnes,Production,0.6,1536.6
21,Brazil,"Peas, dry",2016,3619,tonnes,Production,0.6,2171.4
21,Brazil,"Peas, dry",2017,2763,tonnes,Production,0.6,1657.8
21,Brazil,"Peas, dry",2018,2813,tonnes,Production,0.6,1687.8
21,Brazil,"Peas, dry",2019,2715,tonnes,Production,0.6,1629
23,Belize,"Peas, dry",1961,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1962,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1963,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1964,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1965,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1966,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1967,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1968,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1969,NA,tonnes,Production,0.6,NA
23,Belize,"Peas, dry",1970,NA,tonnes,Production,0.6,NA
