Nation,Year,Unit,pop_lvst_initial_goats
jamaica,2016,Head,533958
jamaica,2017,Head,546551
jamaica,2018,Head,555772
jamaica,2019,Head,564009
mexico,2011,Head,9004377
mexico,2012,Head,8743949
mexico,2013,Head,8664613
mexico,2014,Head,8687814
mexico,2015,Head,8724946
mexico,2016,Head,8755204
mexico,2017,Head,8725172
mexico,2018,Head,8749589
mexico,2019,Head,8791894
nicaragua,2011,Head,7500
nicaragua,2012,Head,7500
nicaragua,2013,Head,7400
nicaragua,2014,Head,7450
nicaragua,2015,Head,7576
nicaragua,2016,Head,7671
nicaragua,2017,Head,7763
nicaragua,2018,Head,7814
nicaragua,2019,Head,7740
panama,2011,Head,8354
panama,2012,Head,8450
panama,2013,Head,8450
panama,2014,Head,8455
panama,2015,Head,8540
panama,2016,Head,8627
panama,2017,Head,8901
panama,2018,Head,8689
panama,2019,Head,8739
paraguay,2011,Head,135187
paraguay,2012,Head,137537
paraguay,2013,Head,140341
paraguay,2014,Head,143657
paraguay,2015,Head,147361
paraguay,2016,Head,151343
paraguay,2017,Head,132470
paraguay,2018,Head,115544
paraguay,2019,Head,111972
peru,2011,Head,1946117
peru,2012,Head,1949502
peru,2013,Head,1928631
peru,2014,Head,1904873
peru,2015,Head,1882042
peru,2016,Head,1864713
peru,2017,Head,1885990
peru,2018,Head,1807028
peru,2019,Head,1807919
suriname,2011,Head,5576
suriname,2012,Head,4483
suriname,2013,Head,4024
suriname,2014,Head,4058
suriname,2015,Head,4233
suriname,2016,Head,3923
suriname,2017,Head,3640
suriname,2018,Head,3822
suriname,2019,Head,3628
trinidad_and_tobago,2011,Head,4991
trinidad_and_tobago,2012,Head,6946
trinidad_and_tobago,2013,Head,18420
trinidad_and_tobago,2014,Head,6854
trinidad_and_tobago,2015,Head,9990
trinidad_and_tobago,2016,Head,8439
trinidad_and_tobago,2017,Head,6650
trinidad_and_tobago,2018,Head,8374
trinidad_and_tobago,2019,Head,7821
uruguay,2011,Head,17000
uruguay,2012,Head,17300
uruguay,2013,Head,17500
uruguay,2014,Head,17400
uruguay,2015,Head,17438
uruguay,2016,Head,17530
uruguay,2017,Head,17780
uruguay,2018,Head,17837
uruguay,2019,Head,17941
venezuela,2011,Head,1419978
venezuela,2012,Head,1426518
venezuela,2013,Head,1430759
venezuela,2014,Head,1432899
venezuela,2015,Head,1433125
venezuela,2016,Head,1474901
venezuela,2017,Head,1493857
venezuela,2018,Head,1514873
venezuela,2019,Head,1515185
