Area Code (FAO),Nation,Item,Year,yf_agrc_fibers_tonne_ha,Unit,Element
9,Argentina,Flax fibre and tow,1991,6538,hg/ha,Yield
9,Argentina,Flax fibre and tow,1992,6667,hg/ha,Yield
9,Argentina,Flax fibre and tow,1993,6786,hg/ha,Yield
9,Argentina,Flax fibre and tow,1994,6786,hg/ha,Yield
9,Argentina,Flax fibre and tow,1995,6846,hg/ha,Yield
9,Argentina,Flax fibre and tow,1996,6880,hg/ha,Yield
9,Argentina,Flax fibre and tow,1997,6929,hg/ha,Yield
9,Argentina,Flax fibre and tow,1998,6974,hg/ha,Yield
9,Argentina,Flax fibre and tow,1999,7037,hg/ha,Yield
9,Argentina,Flax fibre and tow,2000,7070,hg/ha,Yield
9,Argentina,Flax fibre and tow,2001,7105,hg/ha,Yield
9,Argentina,Flax fibre and tow,2002,7139,hg/ha,Yield
9,Argentina,Flax fibre and tow,2003,7178,hg/ha,Yield
9,Argentina,Flax fibre and tow,2004,7221,hg/ha,Yield
9,Argentina,Flax fibre and tow,2005,7271,hg/ha,Yield
9,Argentina,Flax fibre and tow,2006,7143,hg/ha,Yield
9,Argentina,Flax fibre and tow,2007,7241,hg/ha,Yield
9,Argentina,Flax fibre and tow,2008,7603,hg/ha,Yield
9,Argentina,Flax fibre and tow,2009,7785,hg/ha,Yield
9,Argentina,Flax fibre and tow,2010,7971,hg/ha,Yield
9,Argentina,Flax fibre and tow,2011,8168,hg/ha,Yield
9,Argentina,Flax fibre and tow,2012,8667,hg/ha,Yield
9,Argentina,Flax fibre and tow,2013,9000,hg/ha,Yield
9,Argentina,Flax fibre and tow,2014,8834,hg/ha,Yield
9,Argentina,Flax fibre and tow,2015,8708,hg/ha,Yield
9,Argentina,Flax fibre and tow,2016,8903,hg/ha,Yield
9,Argentina,Flax fibre and tow,2017,9040,hg/ha,Yield
9,Argentina,Flax fibre and tow,2018,9171,hg/ha,Yield
9,Argentina,Flax fibre and tow,2019,9306,hg/ha,Yield
9,Argentina,Seed cotton,1961,7875,hg/ha,Yield
9,Argentina,Seed cotton,1962,6348,hg/ha,Yield
9,Argentina,Seed cotton,1963,8447,hg/ha,Yield
9,Argentina,Seed cotton,1964,6490,hg/ha,Yield
9,Argentina,Seed cotton,1965,8566,hg/ha,Yield
9,Argentina,Seed cotton,1966,8400,hg/ha,Yield
9,Argentina,Seed cotton,1967,8176,hg/ha,Yield
9,Argentina,Seed cotton,1968,8156,hg/ha,Yield
9,Argentina,Seed cotton,1969,9029,hg/ha,Yield
9,Argentina,Seed cotton,1970,10135,hg/ha,Yield
9,Argentina,Seed cotton,1971,7771,hg/ha,Yield
9,Argentina,Seed cotton,1972,7334,hg/ha,Yield
9,Argentina,Seed cotton,1973,9276,hg/ha,Yield
9,Argentina,Seed cotton,1974,8827,hg/ha,Yield
9,Argentina,Seed cotton,1975,10713,hg/ha,Yield
9,Argentina,Seed cotton,1976,10759,hg/ha,Yield
9,Argentina,Seed cotton,1977,10077,hg/ha,Yield
9,Argentina,Seed cotton,1978,11763,hg/ha,Yield
9,Argentina,Seed cotton,1979,8559,hg/ha,Yield
9,Argentina,Seed cotton,1980,8553,hg/ha,Yield
9,Argentina,Seed cotton,1981,9408,hg/ha,Yield
9,Argentina,Seed cotton,1982,12293,hg/ha,Yield
9,Argentina,Seed cotton,1983,10871,hg/ha,Yield
9,Argentina,Seed cotton,1984,12987,hg/ha,Yield
9,Argentina,Seed cotton,1985,11993,hg/ha,Yield
9,Argentina,Seed cotton,1986,11116,hg/ha,Yield
9,Argentina,Seed cotton,1987,11813,hg/ha,Yield
9,Argentina,Seed cotton,1988,17261,hg/ha,Yield
9,Argentina,Seed cotton,1989,12350,hg/ha,Yield
9,Argentina,Seed cotton,1990,16938,hg/ha,Yield
9,Argentina,Seed cotton,1991,14659,hg/ha,Yield
9,Argentina,Seed cotton,1992,12322,hg/ha,Yield
9,Argentina,Seed cotton,1993,14273,hg/ha,Yield
9,Argentina,Seed cotton,1994,14583,hg/ha,Yield
9,Argentina,Seed cotton,1995,16508,hg/ha,Yield
9,Argentina,Seed cotton,1996,13901,hg/ha,Yield
9,Argentina,Seed cotton,1997,11599,hg/ha,Yield
9,Argentina,Seed cotton,1998,11241,hg/ha,Yield
9,Argentina,Seed cotton,1999,9656,hg/ha,Yield
9,Argentina,Seed cotton,2000,12577,hg/ha,Yield
9,Argentina,Seed cotton,2001,13124,hg/ha,Yield
9,Argentina,Seed cotton,2002,13243,hg/ha,Yield
9,Argentina,Seed cotton,2003,13828,hg/ha,Yield
9,Argentina,Seed cotton,2004,13879,hg/ha,Yield
9,Argentina,Seed cotton,2005,11965,hg/ha,Yield
9,Argentina,Seed cotton,2006,13725,hg/ha,Yield
9,Argentina,Seed cotton,2007,13877,hg/ha,Yield
9,Argentina,Seed cotton,2008,16270,hg/ha,Yield
9,Argentina,Seed cotton,2009,13407,hg/ha,Yield
9,Argentina,Seed cotton,2010,17091,hg/ha,Yield
9,Argentina,Seed cotton,2011,16563,hg/ha,Yield
9,Argentina,Seed cotton,2012,13416,hg/ha,Yield
9,Argentina,Seed cotton,2013,15172,hg/ha,Yield
9,Argentina,Seed cotton,2014,19883,hg/ha,Yield
9,Argentina,Seed cotton,2015,17452,hg/ha,Yield
9,Argentina,Seed cotton,2016,17866,hg/ha,Yield
9,Argentina,Seed cotton,2017,24324,hg/ha,Yield
9,Argentina,Seed cotton,2018,25485,hg/ha,Yield
9,Argentina,Seed cotton,2019,26216,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1961,10522,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1962,12356,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1963,13253,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1964,10995,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1965,10960,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1966,9351,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1967,10678,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1968,10580,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1969,9907,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1970,9538,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1971,9536,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1972,10760,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1973,9569,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1974,11715,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1975,11152,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1976,11975,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1977,12000,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1978,10161,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1979,9333,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1980,11099,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1981,10944,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1982,12441,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1983,12417,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1984,12531,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1985,11899,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1986,13838,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1987,13249,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1988,12942,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1989,15504,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1990,15396,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1991,16369,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1992,15410,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1993,16383,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1994,16598,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1995,15855,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1996,17545,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1997,17682,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1998,15131,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",1999,16627,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2000,19209,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2001,17264,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2002,20070,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2003,17631,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2004,20271,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2005,19366,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2006,18445,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2007,17435,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2008,19316,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2009,18181,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2010,19634,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2011,17862,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2012,18212,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2013,17792,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2014,19348,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2015,19768,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2016,21379,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2017,20438,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2018,19020,hg/ha,Yield
9,Argentina,"Tobacco, unmanufactured",2019,19812,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1961,15500,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1962,15500,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1963,20750,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1964,13000,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1965,15500,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1966,18376,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1967,16776,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1968,18960,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1969,18611,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1970,20411,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1971,17771,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1972,10804,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1973,17229,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1974,15891,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1975,12495,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1976,12068,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1977,11181,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1978,15705,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1979,12555,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1980,8321,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1981,12962,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1982,14458,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1983,11722,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1984,12412,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1985,13904,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1986,9985,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1987,8197,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1988,11029,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1989,15200,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1990,16940,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1991,15725,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1992,11429,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1993,15294,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1994,17584,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1995,17078,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1996,16025,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1997,12870,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1998,11146,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,1999,10000,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2000,5000,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2001,10000,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2002,10512,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2003,10696,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2004,11799,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2005,9927,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2006,9628,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2007,9403,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2008,9187,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2009,8806,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2010,8843,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2011,8800,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2012,9127,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2013,9206,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2014,9286,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2015,9286,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2016,9286,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2017,9286,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2018,9286,hg/ha,Yield
19,Bolivia (Plurinational State of),Seed cotton,2019,8812,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1961,6667,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1962,7000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1963,7000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1964,7414,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1965,7600,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1966,8000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1967,9000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1968,9000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1969,10000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1970,10938,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1971,11515,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1972,11351,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1973,12475,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1974,13500,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1975,12033,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1976,10985,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1977,11322,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1978,9293,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1979,9398,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1980,9838,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1981,9000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1982,8246,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1983,8669,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1984,8662,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1985,8674,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1986,8586,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1987,8511,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1988,8775,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1989,8726,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1990,8821,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1991,9089,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1992,8293,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1993,8513,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1994,8687,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1995,8856,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1996,8873,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1997,8932,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1998,8932,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",1999,9190,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2000,9198,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2001,9209,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2002,9228,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2003,13020,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2004,13289,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2005,13659,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2006,13732,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2007,14152,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2008,14116,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2009,14017,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2010,8031,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2011,7925,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2012,7495,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2013,7909,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2014,9577,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2015,9906,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2016,10184,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2017,9921,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2018,10051,hg/ha,Yield
19,Bolivia (Plurinational State of),"Tobacco, unmanufactured",2019,10265,hg/ha,Yield
21,Brazil,Seed cotton,1961,6307,hg/ha,Yield
21,Brazil,Seed cotton,1962,7345,hg/ha,Yield
21,Brazil,Seed cotton,1963,6608,hg/ha,Yield
21,Brazil,Seed cotton,1964,6536,hg/ha,Yield
21,Brazil,Seed cotton,1965,5832,hg/ha,Yield
21,Brazil,Seed cotton,1966,7345,hg/ha,Yield
21,Brazil,Seed cotton,1967,4549,hg/ha,Yield
21,Brazil,Seed cotton,1968,5124,hg/ha,Yield
21,Brazil,Seed cotton,1969,5032,hg/ha,Yield
21,Brazil,Seed cotton,1970,4548,hg/ha,Yield
21,Brazil,Seed cotton,1971,4827,hg/ha,Yield
21,Brazil,Seed cotton,1972,4570,hg/ha,Yield
21,Brazil,Seed cotton,1973,5264,hg/ha,Yield
21,Brazil,Seed cotton,1974,5395,hg/ha,Yield
21,Brazil,Seed cotton,1975,4510,hg/ha,Yield
21,Brazil,Seed cotton,1976,3702,hg/ha,Yield
21,Brazil,Seed cotton,1977,4638,hg/ha,Yield
21,Brazil,Seed cotton,1978,3974,hg/ha,Yield
21,Brazil,Seed cotton,1979,4488,hg/ha,Yield
21,Brazil,Seed cotton,1980,4530,hg/ha,Yield
21,Brazil,Seed cotton,1981,4932,hg/ha,Yield
21,Brazil,Seed cotton,1982,5320,hg/ha,Yield
21,Brazil,Seed cotton,1983,5462,hg/ha,Yield
21,Brazil,Seed cotton,1984,6936,hg/ha,Yield
21,Brazil,Seed cotton,1985,7957,hg/ha,Yield
21,Brazil,Seed cotton,1986,7325,hg/ha,Yield
21,Brazil,Seed cotton,1987,8478,hg/ha,Yield
21,Brazil,Seed cotton,1988,9912,hg/ha,Yield
21,Brazil,Seed cotton,1989,8732,hg/ha,Yield
21,Brazil,Seed cotton,1990,10094,hg/ha,Yield
21,Brazil,Seed cotton,1991,11356,hg/ha,Yield
21,Brazil,Seed cotton,1992,10041,hg/ha,Yield
21,Brazil,Seed cotton,1993,10711,hg/ha,Yield
21,Brazil,Seed cotton,1994,11573,hg/ha,Yield
21,Brazil,Seed cotton,1995,12179,hg/ha,Yield
21,Brazil,Seed cotton,1996,12529,hg/ha,Yield
21,Brazil,Seed cotton,1997,13009,hg/ha,Yield
21,Brazil,Seed cotton,1998,14075,hg/ha,Yield
21,Brazil,Seed cotton,1999,21844,hg/ha,Yield
21,Brazil,Seed cotton,2000,24716,hg/ha,Yield
21,Brazil,Seed cotton,2001,29945,hg/ha,Yield
21,Brazil,Seed cotton,2002,28250,hg/ha,Yield
21,Brazil,Seed cotton,2003,30671,hg/ha,Yield
21,Brazil,Seed cotton,2004,32853,hg/ha,Yield
21,Brazil,Seed cotton,2005,29037,hg/ha,Yield
21,Brazil,Seed cotton,2006,32239,hg/ha,Yield
21,Brazil,Seed cotton,2007,36507,hg/ha,Yield
21,Brazil,Seed cotton,2008,37428,hg/ha,Yield
21,Brazil,Seed cotton,2009,35674,hg/ha,Yield
21,Brazil,Seed cotton,2010,35537,hg/ha,Yield
21,Brazil,Seed cotton,2011,36087,hg/ha,Yield
21,Brazil,Seed cotton,2012,35958,hg/ha,Yield
21,Brazil,Seed cotton,2013,36209,hg/ha,Yield
21,Brazil,Seed cotton,2014,37513,hg/ha,Yield
21,Brazil,Seed cotton,2015,38796,hg/ha,Yield
21,Brazil,Seed cotton,2016,34774,hg/ha,Yield
21,Brazil,Seed cotton,2017,41411,hg/ha,Yield
21,Brazil,Seed cotton,2018,43096,hg/ha,Yield
21,Brazil,Seed cotton,2019,42364,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1961,7372,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1962,8052,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1963,8259,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1964,8400,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1965,9063,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1966,8616,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1967,9312,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1968,9360,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1969,9694,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1970,9951,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1971,10118,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1972,10474,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1973,9959,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1974,12291,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1975,11269,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1976,10652,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1977,11465,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1978,12342,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1979,12934,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1980,12795,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1981,12291,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1982,13250,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1983,12592,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1984,14655,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1985,15260,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1986,13945,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1987,13453,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1988,15340,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1989,15466,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1990,16253,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1991,14406,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1992,16692,hg/ha,Yield
21,Brazil,"Tobacco, unmanufactured",1993,17584,hg/ha,Yield
