Area Code (FAO),Nation,Item,Year,yf_agrc_vegetables_tonne_ha,Unit,Element
9,Argentina,Asparagus,2010,39569,hg/ha,Yield
9,Argentina,Asparagus,2011,39538,hg/ha,Yield
9,Argentina,Asparagus,2012,39623,hg/ha,Yield
9,Argentina,Asparagus,2013,39530,hg/ha,Yield
9,Argentina,Asparagus,2014,39565,hg/ha,Yield
9,Argentina,Asparagus,2015,39745,hg/ha,Yield
9,Argentina,Asparagus,2016,39876,hg/ha,Yield
9,Argentina,Asparagus,2017,39936,hg/ha,Yield
9,Argentina,Asparagus,2018,39997,hg/ha,Yield
9,Argentina,Asparagus,2019,40051,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1961,11538,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1962,11538,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1963,11538,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1964,11333,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1965,11333,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1966,11333,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1967,11765,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1968,11765,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1969,14535,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1970,12632,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1971,6538,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1972,9290,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1973,11200,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1974,8294,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1975,10938,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1976,11687,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1977,11820,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1978,11905,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1979,10687,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1980,9790,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1981,11241,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1982,11042,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1983,10269,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1984,10420,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1985,11364,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1986,11260,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1987,11066,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1988,10678,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1989,10833,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1990,11200,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1991,11154,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1992,11111,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1993,11071,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1994,10940,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1995,10910,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1996,10870,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1997,10836,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1998,10799,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",1999,10667,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2000,10690,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2001,10644,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2002,10323,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2003,10550,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2004,10326,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2005,10560,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2006,10323,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2007,10313,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2008,10668,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2009,10843,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2010,10982,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2011,11126,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2012,12000,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2013,11380,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2014,11228,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2015,11366,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2016,11476,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2017,11534,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2018,11600,hg/ha,Yield
9,Argentina,"Chillies and peppers, dry",2019,11668,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1961,59000,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1962,54455,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1963,48450,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1964,70980,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1965,67806,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1966,63577,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1967,71170,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1968,70136,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1969,74877,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1970,54264,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1971,72051,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1972,63808,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1973,92885,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1974,69920,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1975,47092,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1976,52028,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1977,70598,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1978,76642,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1979,75184,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1980,81560,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1981,83969,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1982,84199,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1983,78210,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1984,75933,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1985,66993,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1986,79930,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1987,86940,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1988,86944,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1989,81250,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1990,90187,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1991,83636,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1992,81071,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1993,80357,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1994,72072,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1995,84000,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1996,90000,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1997,143274,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1998,170930,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",1999,149643,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2000,148171,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2001,150617,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2002,150000,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2003,150602,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2004,166879,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2005,182114,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2006,200000,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2007,198438,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2008,201199,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2009,207561,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2010,204977,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2011,208352,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2012,211771,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2013,215175,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2014,219494,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2015,230534,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2016,231095,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2017,234738,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2018,238389,hg/ha,Yield
9,Argentina,"Chillies and peppers, green",2019,242046,hg/ha,Yield
9,Argentina,Garlic,1961,39750,hg/ha,Yield
9,Argentina,Garlic,1962,43143,hg/ha,Yield
9,Argentina,Garlic,1963,48143,hg/ha,Yield
9,Argentina,Garlic,1964,48667,hg/ha,Yield
9,Argentina,Garlic,1965,51750,hg/ha,Yield
9,Argentina,Garlic,1966,49940,hg/ha,Yield
9,Argentina,Garlic,1967,51607,hg/ha,Yield
9,Argentina,Garlic,1968,49165,hg/ha,Yield
9,Argentina,Garlic,1969,49252,hg/ha,Yield
9,Argentina,Garlic,1970,46947,hg/ha,Yield
9,Argentina,Garlic,1971,47449,hg/ha,Yield
9,Argentina,Garlic,1972,46907,hg/ha,Yield
9,Argentina,Garlic,1973,48319,hg/ha,Yield
9,Argentina,Garlic,1974,51860,hg/ha,Yield
9,Argentina,Garlic,1975,51133,hg/ha,Yield
9,Argentina,Garlic,1976,50627,hg/ha,Yield
9,Argentina,Garlic,1977,50345,hg/ha,Yield
9,Argentina,Garlic,1978,46471,hg/ha,Yield
9,Argentina,Garlic,1979,48157,hg/ha,Yield
9,Argentina,Garlic,1980,50802,hg/ha,Yield
9,Argentina,Garlic,1981,47917,hg/ha,Yield
9,Argentina,Garlic,1982,52361,hg/ha,Yield
9,Argentina,Garlic,1983,55963,hg/ha,Yield
9,Argentina,Garlic,1984,51712,hg/ha,Yield
9,Argentina,Garlic,1985,50233,hg/ha,Yield
9,Argentina,Garlic,1986,50446,hg/ha,Yield
9,Argentina,Garlic,1987,57981,hg/ha,Yield
9,Argentina,Garlic,1988,51209,hg/ha,Yield
9,Argentina,Garlic,1989,55444,hg/ha,Yield
9,Argentina,Garlic,1990,62899,hg/ha,Yield
9,Argentina,Garlic,1991,70476,hg/ha,Yield
9,Argentina,Garlic,1992,72745,hg/ha,Yield
9,Argentina,Garlic,1993,66895,hg/ha,Yield
9,Argentina,Garlic,1994,90003,hg/ha,Yield
9,Argentina,Garlic,1995,93159,hg/ha,Yield
9,Argentina,Garlic,1996,94315,hg/ha,Yield
9,Argentina,Garlic,1997,96466,hg/ha,Yield
9,Argentina,Garlic,1998,94242,hg/ha,Yield
9,Argentina,Garlic,1999,104317,hg/ha,Yield
9,Argentina,Garlic,2000,96249,hg/ha,Yield
9,Argentina,Garlic,2001,99124,hg/ha,Yield
9,Argentina,Garlic,2002,96329,hg/ha,Yield
9,Argentina,Garlic,2003,100614,hg/ha,Yield
9,Argentina,Garlic,2004,101954,hg/ha,Yield
9,Argentina,Garlic,2005,96736,hg/ha,Yield
9,Argentina,Garlic,2006,87423,hg/ha,Yield
9,Argentina,Garlic,2007,89744,hg/ha,Yield
9,Argentina,Garlic,2008,94041,hg/ha,Yield
9,Argentina,Garlic,2009,96492,hg/ha,Yield
9,Argentina,Garlic,2010,95750,hg/ha,Yield
9,Argentina,Garlic,2011,95698,hg/ha,Yield
9,Argentina,Garlic,2012,95640,hg/ha,Yield
9,Argentina,Garlic,2013,95589,hg/ha,Yield
9,Argentina,Garlic,2014,95631,hg/ha,Yield
9,Argentina,Garlic,2015,95129,hg/ha,Yield
9,Argentina,Garlic,2016,94153,hg/ha,Yield
9,Argentina,Garlic,2017,93946,hg/ha,Yield
9,Argentina,Garlic,2018,93734,hg/ha,Yield
9,Argentina,Garlic,2019,93526,hg/ha,Yield
9,Argentina,"Onions, dry",1961,168482,hg/ha,Yield
9,Argentina,"Onions, dry",1962,162088,hg/ha,Yield
9,Argentina,"Onions, dry",1963,169865,hg/ha,Yield
9,Argentina,"Onions, dry",1964,164781,hg/ha,Yield
9,Argentina,"Onions, dry",1965,169713,hg/ha,Yield
9,Argentina,"Onions, dry",1966,169713,hg/ha,Yield
9,Argentina,"Onions, dry",1967,169331,hg/ha,Yield
9,Argentina,"Onions, dry",1968,148528,hg/ha,Yield
9,Argentina,"Onions, dry",1969,135708,hg/ha,Yield
9,Argentina,"Onions, dry",1970,130491,hg/ha,Yield
9,Argentina,"Onions, dry",1971,137039,hg/ha,Yield
9,Argentina,"Onions, dry",1972,137764,hg/ha,Yield
9,Argentina,"Onions, dry",1973,136119,hg/ha,Yield
9,Argentina,"Onions, dry",1974,163242,hg/ha,Yield
9,Argentina,"Onions, dry",1975,199398,hg/ha,Yield
9,Argentina,"Onions, dry",1976,201882,hg/ha,Yield
9,Argentina,"Onions, dry",1977,159642,hg/ha,Yield
9,Argentina,"Onions, dry",1978,166456,hg/ha,Yield
9,Argentina,"Onions, dry",1979,159822,hg/ha,Yield
9,Argentina,"Onions, dry",1980,160578,hg/ha,Yield
9,Argentina,"Onions, dry",1981,171403,hg/ha,Yield
9,Argentina,"Onions, dry",1982,212464,hg/ha,Yield
9,Argentina,"Onions, dry",1983,209134,hg/ha,Yield
9,Argentina,"Onions, dry",1984,179529,hg/ha,Yield
9,Argentina,"Onions, dry",1985,199123,hg/ha,Yield
9,Argentina,"Onions, dry",1986,199223,hg/ha,Yield
9,Argentina,"Onions, dry",1987,200697,hg/ha,Yield
9,Argentina,"Onions, dry",1988,215967,hg/ha,Yield
9,Argentina,"Onions, dry",1989,225881,hg/ha,Yield
9,Argentina,"Onions, dry",1990,226232,hg/ha,Yield
9,Argentina,"Onions, dry",1991,246794,hg/ha,Yield
9,Argentina,"Onions, dry",1992,247690,hg/ha,Yield
9,Argentina,"Onions, dry",1993,225744,hg/ha,Yield
9,Argentina,"Onions, dry",1994,230466,hg/ha,Yield
9,Argentina,"Onions, dry",1995,230797,hg/ha,Yield
9,Argentina,"Onions, dry",1996,283423,hg/ha,Yield
9,Argentina,"Onions, dry",1997,261842,hg/ha,Yield
9,Argentina,"Onions, dry",1998,274218,hg/ha,Yield
9,Argentina,"Onions, dry",1999,283333,hg/ha,Yield
9,Argentina,"Onions, dry",2000,272562,hg/ha,Yield
9,Argentina,"Onions, dry",2001,276113,hg/ha,Yield
9,Argentina,"Onions, dry",2002,269092,hg/ha,Yield
9,Argentina,"Onions, dry",2003,271299,hg/ha,Yield
9,Argentina,"Onions, dry",2004,276463,hg/ha,Yield
9,Argentina,"Onions, dry",2005,294144,hg/ha,Yield
9,Argentina,"Onions, dry",2006,290643,hg/ha,Yield
9,Argentina,"Onions, dry",2007,281792,hg/ha,Yield
9,Argentina,"Onions, dry",2008,280565,hg/ha,Yield
9,Argentina,"Onions, dry",2009,279294,hg/ha,Yield
9,Argentina,"Onions, dry",2010,275228,hg/ha,Yield
9,Argentina,"Onions, dry",2011,273475,hg/ha,Yield
9,Argentina,"Onions, dry",2012,271745,hg/ha,Yield
9,Argentina,"Onions, dry",2013,270043,hg/ha,Yield
9,Argentina,"Onions, dry",2014,266285,hg/ha,Yield
9,Argentina,"Onions, dry",2015,262162,hg/ha,Yield
9,Argentina,"Onions, dry",2016,250000,hg/ha,Yield
9,Argentina,"Onions, dry",2017,255539,hg/ha,Yield
9,Argentina,"Onions, dry",2018,260285,hg/ha,Yield
9,Argentina,"Onions, dry",2019,256059,hg/ha,Yield
9,Argentina,Tomatoes,1961,158149,hg/ha,Yield
9,Argentina,Tomatoes,1962,164763,hg/ha,Yield
9,Argentina,Tomatoes,1963,138808,hg/ha,Yield
9,Argentina,Tomatoes,1964,173298,hg/ha,Yield
9,Argentina,Tomatoes,1965,168432,hg/ha,Yield
9,Argentina,Tomatoes,1966,168432,hg/ha,Yield
9,Argentina,Tomatoes,1967,164101,hg/ha,Yield
9,Argentina,Tomatoes,1968,158350,hg/ha,Yield
9,Argentina,Tomatoes,1969,174135,hg/ha,Yield
9,Argentina,Tomatoes,1970,179698,hg/ha,Yield
9,Argentina,Tomatoes,1971,173275,hg/ha,Yield
9,Argentina,Tomatoes,1972,186513,hg/ha,Yield
9,Argentina,Tomatoes,1973,165823,hg/ha,Yield
9,Argentina,Tomatoes,1974,188654,hg/ha,Yield
9,Argentina,Tomatoes,1975,183051,hg/ha,Yield
9,Argentina,Tomatoes,1976,182413,hg/ha,Yield
9,Argentina,Tomatoes,1977,182363,hg/ha,Yield
9,Argentina,Tomatoes,1978,190066,hg/ha,Yield
9,Argentina,Tomatoes,1979,195005,hg/ha,Yield
9,Argentina,Tomatoes,1980,188927,hg/ha,Yield
9,Argentina,Tomatoes,1981,196825,hg/ha,Yield
9,Argentina,Tomatoes,1982,209320,hg/ha,Yield
9,Argentina,Tomatoes,1983,197096,hg/ha,Yield
9,Argentina,Tomatoes,1984,209101,hg/ha,Yield
9,Argentina,Tomatoes,1985,204714,hg/ha,Yield
9,Argentina,Tomatoes,1986,217176,hg/ha,Yield
9,Argentina,Tomatoes,1987,241111,hg/ha,Yield
9,Argentina,Tomatoes,1988,249332,hg/ha,Yield
9,Argentina,Tomatoes,1989,248179,hg/ha,Yield
9,Argentina,Tomatoes,1990,251429,hg/ha,Yield
9,Argentina,Tomatoes,1991,234754,hg/ha,Yield
9,Argentina,Tomatoes,1992,233766,hg/ha,Yield
9,Argentina,Tomatoes,1993,184211,hg/ha,Yield
9,Argentina,Tomatoes,1994,272414,hg/ha,Yield
9,Argentina,Tomatoes,1995,368000,hg/ha,Yield
9,Argentina,Tomatoes,1996,275833,hg/ha,Yield
9,Argentina,Tomatoes,1997,338996,hg/ha,Yield
9,Argentina,Tomatoes,1998,301823,hg/ha,Yield
9,Argentina,Tomatoes,1999,342857,hg/ha,Yield
9,Argentina,Tomatoes,2000,374807,hg/ha,Yield
9,Argentina,Tomatoes,2001,370522,hg/ha,Yield
9,Argentina,Tomatoes,2002,392796,hg/ha,Yield
9,Argentina,Tomatoes,2003,382857,hg/ha,Yield
9,Argentina,Tomatoes,2004,389431,hg/ha,Yield
9,Argentina,Tomatoes,2005,386922,hg/ha,Yield
9,Argentina,Tomatoes,2006,394118,hg/ha,Yield
9,Argentina,Tomatoes,2007,377778,hg/ha,Yield
9,Argentina,Tomatoes,2008,387917,hg/ha,Yield
9,Argentina,Tomatoes,2009,397450,hg/ha,Yield
9,Argentina,Tomatoes,2010,384472,hg/ha,Yield
9,Argentina,Tomatoes,2011,385460,hg/ha,Yield
9,Argentina,Tomatoes,2012,386280,hg/ha,Yield
9,Argentina,Tomatoes,2013,387177,hg/ha,Yield
9,Argentina,Tomatoes,2014,393280,hg/ha,Yield
9,Argentina,Tomatoes,2015,396313,hg/ha,Yield
9,Argentina,Tomatoes,2016,391120,hg/ha,Yield
9,Argentina,Tomatoes,2017,391106,hg/ha,Yield
9,Argentina,Tomatoes,2018,391092,hg/ha,Yield
9,Argentina,Tomatoes,2019,391078,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1961,110000,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1962,110032,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1963,105263,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1964,110236,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1965,110078,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1966,111628,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1967,110075,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1968,114844,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1969,116074,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1970,113950,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1971,115059,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1972,121154,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1973,122449,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1974,121739,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1975,122826,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1976,123913,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1977,125000,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1978,123404,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1979,125532,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1980,126596,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1981,127660,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1982,129787,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1983,129474,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1984,130526,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1985,108772,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1986,120192,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1987,112500,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1988,112500,hg/ha,Yield
9,Argentina,"Vegetables, fresh nes",1989,115741,hg/ha,Yield
