Area Code (FAO),Nation,Item,Year,frac_area_cropland_cereals,Unit,Element
12,Bahamas,Cropland,1962,9,1000 ha,Area
12,Bahamas,Cropland,1963,9,1000 ha,Area
12,Bahamas,Cropland,1964,9,1000 ha,Area
12,Bahamas,Cropland,1965,9,1000 ha,Area
12,Bahamas,Cropland,1966,9,1000 ha,Area
12,Bahamas,Cropland,1967,9,1000 ha,Area
12,Bahamas,Cropland,1968,9,1000 ha,Area
12,Bahamas,Cropland,1969,9,1000 ha,Area
12,Bahamas,Cropland,1970,9,1000 ha,Area
12,Bahamas,Cropland,1971,9,1000 ha,Area
12,Bahamas,Cropland,1972,9,1000 ha,Area
12,Bahamas,Cropland,1973,9,1000 ha,Area
12,Bahamas,Cropland,1974,9,1000 ha,Area
12,Bahamas,Cropland,1975,9,1000 ha,Area
12,Bahamas,Cropland,1976,9,1000 ha,Area
12,Bahamas,Cropland,1977,9,1000 ha,Area
12,Bahamas,Cropland,1978,9,1000 ha,Area
12,Bahamas,Cropland,1979,9,1000 ha,Area
12,Bahamas,Cropland,1980,9,1000 ha,Area
12,Bahamas,Cropland,1981,9,1000 ha,Area
12,Bahamas,Cropland,1982,9,1000 ha,Area
12,Bahamas,Cropland,1983,9,1000 ha,Area
12,Bahamas,Cropland,1984,9,1000 ha,Area
12,Bahamas,Cropland,1985,10,1000 ha,Area
12,Bahamas,Cropland,1986,10,1000 ha,Area
12,Bahamas,Cropland,1987,10,1000 ha,Area
12,Bahamas,Cropland,1988,10,1000 ha,Area
12,Bahamas,Cropland,1989,10,1000 ha,Area
12,Bahamas,Cropland,1990,10,1000 ha,Area
12,Bahamas,Cropland,1991,10,1000 ha,Area
12,Bahamas,Cropland,1992,10,1000 ha,Area
12,Bahamas,Cropland,1993,10,1000 ha,Area
12,Bahamas,Cropland,1994,10,1000 ha,Area
12,Bahamas,Cropland,1995,10,1000 ha,Area
12,Bahamas,Cropland,1996,10,1000 ha,Area
12,Bahamas,Cropland,1997,10,1000 ha,Area
12,Bahamas,Cropland,1998,10,1000 ha,Area
12,Bahamas,Cropland,1999,10,1000 ha,Area
12,Bahamas,Cropland,2000,11,1000 ha,Area
12,Bahamas,Cropland,2001,11,1000 ha,Area
12,Bahamas,Cropland,2002,11,1000 ha,Area
12,Bahamas,Cropland,2003,11,1000 ha,Area
12,Bahamas,Cropland,2004,11,1000 ha,Area
12,Bahamas,Cropland,2005,11,1000 ha,Area
12,Bahamas,Cropland,2006,11,1000 ha,Area
12,Bahamas,Cropland,2007,11,1000 ha,Area
12,Bahamas,Cropland,2008,11,1000 ha,Area
12,Bahamas,Cropland,2009,13,1000 ha,Area
12,Bahamas,Cropland,2010,13,1000 ha,Area
12,Bahamas,Cropland,2011,12,1000 ha,Area
12,Bahamas,Cropland,2012,12,1000 ha,Area
12,Bahamas,Cropland,2013,12,1000 ha,Area
12,Bahamas,Cropland,2014,12,1000 ha,Area
12,Bahamas,Cropland,2015,12,1000 ha,Area
12,Bahamas,Cropland,2016,12,1000 ha,Area
12,Bahamas,Cropland,2017,12,1000 ha,Area
12,Bahamas,Cropland,2018,12,1000 ha,Area
12,Bahamas,Cropland,2019,12,1000 ha,Area
14,Barbados,Cropland,1961,17,1000 ha,Area
14,Barbados,Cropland,1962,17,1000 ha,Area
14,Barbados,Cropland,1963,17,1000 ha,Area
14,Barbados,Cropland,1964,17,1000 ha,Area
14,Barbados,Cropland,1965,17,1000 ha,Area
14,Barbados,Cropland,1966,17,1000 ha,Area
14,Barbados,Cropland,1967,17,1000 ha,Area
14,Barbados,Cropland,1968,17,1000 ha,Area
14,Barbados,Cropland,1969,17,1000 ha,Area
14,Barbados,Cropland,1970,17,1000 ha,Area
14,Barbados,Cropland,1971,17,1000 ha,Area
14,Barbados,Cropland,1972,17,1000 ha,Area
14,Barbados,Cropland,1973,17,1000 ha,Area
14,Barbados,Cropland,1974,17,1000 ha,Area
14,Barbados,Cropland,1975,17,1000 ha,Area
14,Barbados,Cropland,1976,17,1000 ha,Area
14,Barbados,Cropland,1977,17,1000 ha,Area
14,Barbados,Cropland,1978,17,1000 ha,Area
14,Barbados,Cropland,1979,17,1000 ha,Area
14,Barbados,Cropland,1980,17,1000 ha,Area
14,Barbados,Cropland,1981,17,1000 ha,Area
14,Barbados,Cropland,1982,17,1000 ha,Area
14,Barbados,Cropland,1983,17,1000 ha,Area
14,Barbados,Cropland,1984,17,1000 ha,Area
14,Barbados,Cropland,1985,17,1000 ha,Area
14,Barbados,Cropland,1986,17,1000 ha,Area
14,Barbados,Cropland,1987,17,1000 ha,Area
14,Barbados,Cropland,1988,17,1000 ha,Area
14,Barbados,Cropland,1989,17,1000 ha,Area
14,Barbados,Cropland,1990,17,1000 ha,Area
14,Barbados,Cropland,1991,17,1000 ha,Area
14,Barbados,Cropland,1992,17,1000 ha,Area
14,Barbados,Cropland,1993,17,1000 ha,Area
14,Barbados,Cropland,1994,17,1000 ha,Area
14,Barbados,Cropland,1995,17,1000 ha,Area
14,Barbados,Cropland,1996,17,1000 ha,Area
14,Barbados,Cropland,1997,17,1000 ha,Area
14,Barbados,Cropland,1998,17,1000 ha,Area
14,Barbados,Cropland,1999,16,1000 ha,Area
14,Barbados,Cropland,2000,16,1000 ha,Area
14,Barbados,Cropland,2001,16,1000 ha,Area
14,Barbados,Cropland,2002,15,1000 ha,Area
14,Barbados,Cropland,2003,15,1000 ha,Area
14,Barbados,Cropland,2004,14,1000 ha,Area
14,Barbados,Cropland,2005,14,1000 ha,Area
14,Barbados,Cropland,2006,14,1000 ha,Area
14,Barbados,Cropland,2007,14,1000 ha,Area
14,Barbados,Cropland,2008,14,1000 ha,Area
14,Barbados,Cropland,2009,14,1000 ha,Area
14,Barbados,Cropland,2010,13,1000 ha,Area
14,Barbados,Cropland,2011,12,1000 ha,Area
14,Barbados,Cropland,2012,11,1000 ha,Area
14,Barbados,Cropland,2013,10.5,1000 ha,Area
14,Barbados,Cropland,2014,10,1000 ha,Area
14,Barbados,Cropland,2015,9,1000 ha,Area
14,Barbados,Cropland,2016,8,1000 ha,Area
14,Barbados,Cropland,2017,8,1000 ha,Area
14,Barbados,Cropland,2018,8,1000 ha,Area
14,Barbados,Cropland,2019,8,1000 ha,Area
23,Belize,Cropland,1961,42,1000 ha,Area
23,Belize,Cropland,1962,42,1000 ha,Area
23,Belize,Cropland,1963,43,1000 ha,Area
23,Belize,Cropland,1964,43,1000 ha,Area
23,Belize,Cropland,1965,43,1000 ha,Area
23,Belize,Cropland,1966,44,1000 ha,Area
23,Belize,Cropland,1967,44,1000 ha,Area
23,Belize,Cropland,1968,44,1000 ha,Area
23,Belize,Cropland,1969,45,1000 ha,Area
23,Belize,Cropland,1970,45,1000 ha,Area
23,Belize,Cropland,1971,46,1000 ha,Area
23,Belize,Cropland,1972,46,1000 ha,Area
23,Belize,Cropland,1973,47,1000 ha,Area
23,Belize,Cropland,1974,47,1000 ha,Area
23,Belize,Cropland,1975,48,1000 ha,Area
23,Belize,Cropland,1976,48,1000 ha,Area
23,Belize,Cropland,1977,49,1000 ha,Area
23,Belize,Cropland,1978,49,1000 ha,Area
23,Belize,Cropland,1979,50,1000 ha,Area
23,Belize,Cropland,1980,52,1000 ha,Area
23,Belize,Cropland,1981,53,1000 ha,Area
23,Belize,Cropland,1982,53,1000 ha,Area
23,Belize,Cropland,1983,53,1000 ha,Area
23,Belize,Cropland,1984,53,1000 ha,Area
23,Belize,Cropland,1985,53,1000 ha,Area
23,Belize,Cropland,1986,55,1000 ha,Area
23,Belize,Cropland,1987,64,1000 ha,Area
23,Belize,Cropland,1988,67,1000 ha,Area
23,Belize,Cropland,1989,72,1000 ha,Area
23,Belize,Cropland,1990,77,1000 ha,Area
23,Belize,Cropland,1991,81,1000 ha,Area
23,Belize,Cropland,1992,87,1000 ha,Area
23,Belize,Cropland,1993,94,1000 ha,Area
23,Belize,Cropland,1994,94,1000 ha,Area
23,Belize,Cropland,1995,96,1000 ha,Area
23,Belize,Cropland,1996,97,1000 ha,Area
23,Belize,Cropland,1997,98,1000 ha,Area
23,Belize,Cropland,1998,98,1000 ha,Area
23,Belize,Cropland,1999,100,1000 ha,Area
23,Belize,Cropland,2000,99,1000 ha,Area
23,Belize,Cropland,2001,99,1000 ha,Area
23,Belize,Cropland,2002,102,1000 ha,Area
23,Belize,Cropland,2003,102,1000 ha,Area
23,Belize,Cropland,2004,102,1000 ha,Area
23,Belize,Cropland,2005,102,1000 ha,Area
23,Belize,Cropland,2006,102,1000 ha,Area
23,Belize,Cropland,2007,102,1000 ha,Area
23,Belize,Cropland,2008,102,1000 ha,Area
23,Belize,Cropland,2009,105,1000 ha,Area
23,Belize,Cropland,2010,107,1000 ha,Area
23,Belize,Cropland,2011,107,1000 ha,Area
23,Belize,Cropland,2012,110,1000 ha,Area
23,Belize,Cropland,2013,110,1000 ha,Area
23,Belize,Cropland,2014,110,1000 ha,Area
23,Belize,Cropland,2015,120,1000 ha,Area
23,Belize,Cropland,2016,120,1000 ha,Area
23,Belize,Cropland,2017,122,1000 ha,Area
23,Belize,Cropland,2018,122,1000 ha,Area
23,Belize,Cropland,2019,122,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1961,1442,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1962,1442,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1963,1442,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1964,1478,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1965,1515,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1966,1551,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1967,1588,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1968,1624,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1969,1661,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1970,1697,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1971,1734,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1972,1770,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1973,1808,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1974,1843,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1975,1880,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1976,1916,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1977,1953,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1978,1989,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1979,2025,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1980,2062,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1981,2099,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1982,2136,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1983,2173,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1984,2217,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1985,2187,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1986,2203,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1987,2227,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1988,2250,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1989,2270,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1990,2255,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1991,2296,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1992,2331,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1993,2378,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1994,2516,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1995,2765,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1996,2853,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1997,3043,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1998,3151,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,1999,3238,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2000,3312,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2001,3325,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2002,3480,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2003,3707,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2004,3776,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2005,4005,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2006,4112,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2007,4390,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2008,4485,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2009,4673,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2010,4516,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2011,4557,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2012,4651,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2013,4738,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2014,4702,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2015,4661,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2016,4685,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2017,4488,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2018,4727,1000 ha,Area
19,Bolivia (Plurinational State of),Cropland,2019,4787,1000 ha,Area
21,Brazil,Cropland,1961,31444,1000 ha,Area
21,Brazil,Cropland,1962,31971,1000 ha,Area
21,Brazil,Cropland,1963,32498,1000 ha,Area
21,Brazil,Cropland,1964,33025,1000 ha,Area
21,Brazil,Cropland,1965,33552,1000 ha,Area
21,Brazil,Cropland,1966,34079,1000 ha,Area
21,Brazil,Cropland,1967,34606,1000 ha,Area
21,Brazil,Cropland,1968,35133,1000 ha,Area
21,Brazil,Cropland,1969,35660,1000 ha,Area
21,Brazil,Cropland,1970,36190,1000 ha,Area
21,Brazil,Cropland,1971,37393,1000 ha,Area
21,Brazil,Cropland,1972,38596,1000 ha,Area
21,Brazil,Cropland,1973,39799,1000 ha,Area
21,Brazil,Cropland,1974,41002,1000 ha,Area
21,Brazil,Cropland,1975,42207,1000 ha,Area
21,Brazil,Cropland,1976,45369,1000 ha,Area
21,Brazil,Cropland,1977,48531,1000 ha,Area
21,Brazil,Cropland,1978,51693,1000 ha,Area
21,Brazil,Cropland,1979,54855,1000 ha,Area
21,Brazil,Cropland,1980,58018.208,1000 ha,Area
21,Brazil,Cropland,1981,58977,1000 ha,Area
21,Brazil,Cropland,1982,59936,1000 ha,Area
21,Brazil,Cropland,1983,60895,1000 ha,Area
21,Brazil,Cropland,1984,61854,1000 ha,Area
21,Brazil,Cropland,1985,62810.707,1000 ha,Area
21,Brazil,Cropland,1986,61540,1000 ha,Area
21,Brazil,Cropland,1987,60269,1000 ha,Area
21,Brazil,Cropland,1988,58998,1000 ha,Area
21,Brazil,Cropland,1989,57727,1000 ha,Area
21,Brazil,Cropland,1990,56456,1000 ha,Area
21,Brazil,Cropland,1991,55185,1000 ha,Area
21,Brazil,Cropland,1992,53914,1000 ha,Area
21,Brazil,Cropland,1993,52643,1000 ha,Area
21,Brazil,Cropland,1994,51372,1000 ha,Area
21,Brazil,Cropland,1995,50105,1000 ha,Area
21,Brazil,Cropland,1996,51058,1000 ha,Area
21,Brazil,Cropland,1997,52011,1000 ha,Area
21,Brazil,Cropland,1998,52964,1000 ha,Area
21,Brazil,Cropland,1999,53917,1000 ha,Area
21,Brazil,Cropland,2000,54870,1000 ha,Area
21,Brazil,Cropland,2001,55823,1000 ha,Area
21,Brazil,Cropland,2002,56776,1000 ha,Area
21,Brazil,Cropland,2003,57729,1000 ha,Area
21,Brazil,Cropland,2004,58682,1000 ha,Area
21,Brazil,Cropland,2005,59635,1000 ha,Area
21,Brazil,Cropland,2006,60593,1000 ha,Area
21,Brazil,Cropland,2007,60859,1000 ha,Area
21,Brazil,Cropland,2008,61125,1000 ha,Area
21,Brazil,Cropland,2009,61391,1000 ha,Area
21,Brazil,Cropland,2010,61657,1000 ha,Area
21,Brazil,Cropland,2011,61923,1000 ha,Area
21,Brazil,Cropland,2012,62189,1000 ha,Area
21,Brazil,Cropland,2013,62455,1000 ha,Area
21,Brazil,Cropland,2014,62721,1000 ha,Area
21,Brazil,Cropland,2015,62987,1000 ha,Area
21,Brazil,Cropland,2016,63253,1000 ha,Area
21,Brazil,Cropland,2017,63517.8,1000 ha,Area
21,Brazil,Cropland,2018,63518,1000 ha,Area
21,Brazil,Cropland,2019,63518,1000 ha,Area
40,Chile,Cropland,1961,3836,1000 ha,Area
40,Chile,Cropland,1962,3856,1000 ha,Area
40,Chile,Cropland,1963,3876,1000 ha,Area
40,Chile,Cropland,1964,3898,1000 ha,Area
40,Chile,Cropland,1965,3918,1000 ha,Area
40,Chile,Cropland,1966,3938,1000 ha,Area
40,Chile,Cropland,1967,3958,1000 ha,Area
40,Chile,Cropland,1968,3978,1000 ha,Area
40,Chile,Cropland,1969,3998,1000 ha,Area
40,Chile,Cropland,1970,4100,1000 ha,Area
40,Chile,Cropland,1971,4150,1000 ha,Area
40,Chile,Cropland,1972,4200,1000 ha,Area
40,Chile,Cropland,1973,4300,1000 ha,Area
40,Chile,Cropland,1974,4350,1000 ha,Area
40,Chile,Cropland,1975,4350,1000 ha,Area
40,Chile,Cropland,1976,4400,1000 ha,Area
40,Chile,Cropland,1977,4300,1000 ha,Area
40,Chile,Cropland,1978,4200,1000 ha,Area
40,Chile,Cropland,1979,4100,1000 ha,Area
40,Chile,Cropland,1980,4050,1000 ha,Area
40,Chile,Cropland,1981,3950,1000 ha,Area
40,Chile,Cropland,1982,3800,1000 ha,Area
40,Chile,Cropland,1983,3750,1000 ha,Area
40,Chile,Cropland,1984,3700,1000 ha,Area
40,Chile,Cropland,1985,3672,1000 ha,Area
40,Chile,Cropland,1986,3586,1000 ha,Area
40,Chile,Cropland,1987,3313,1000 ha,Area
40,Chile,Cropland,1988,3304,1000 ha,Area
40,Chile,Cropland,1989,3319,1000 ha,Area
40,Chile,Cropland,1990,3049,1000 ha,Area
40,Chile,Cropland,1991,2939,1000 ha,Area
40,Chile,Cropland,1992,2706,1000 ha,Area
40,Chile,Cropland,1993,2577,1000 ha,Area
40,Chile,Cropland,1994,2550,1000 ha,Area
40,Chile,Cropland,1995,2400,1000 ha,Area
40,Chile,Cropland,1996,2300,1000 ha,Area
40,Chile,Cropland,1997,2297,1000 ha,Area
40,Chile,Cropland,1998,2294,1000 ha,Area
40,Chile,Cropland,1999,2130,1000 ha,Area
40,Chile,Cropland,2000,2110,1000 ha,Area
40,Chile,Cropland,2001,2150,1000 ha,Area
40,Chile,Cropland,2002,2065,1000 ha,Area
40,Chile,Cropland,2003,1925,1000 ha,Area
40,Chile,Cropland,2004,1935,1000 ha,Area
40,Chile,Cropland,2005,1885,1000 ha,Area
40,Chile,Cropland,2006,1800,1000 ha,Area
40,Chile,Cropland,2007,1719,1000 ha,Area
40,Chile,Cropland,2008,1769,1000 ha,Area
40,Chile,Cropland,2009,1767,1000 ha,Area
40,Chile,Cropland,2010,1728,1000 ha,Area
40,Chile,Cropland,2011,1774,1000 ha,Area
40,Chile,Cropland,2012,1740,1000 ha,Area
40,Chile,Cropland,2013,1766,1000 ha,Area
40,Chile,Cropland,2014,1746.2,1000 ha,Area
40,Chile,Cropland,2015,1770,1000 ha,Area
40,Chile,Cropland,2016,1726.8,1000 ha,Area
40,Chile,Cropland,2017,1742,1000 ha,Area
40,Chile,Cropland,2018,1680,1000 ha,Area
40,Chile,Cropland,2019,1656,1000 ha,Area
44,Colombia,Cropland,1961,4970,1000 ha,Area
44,Colombia,Cropland,1962,4972,1000 ha,Area
44,Colombia,Cropland,1963,4993,1000 ha,Area
44,Colombia,Cropland,1964,4995,1000 ha,Area
44,Colombia,Cropland,1965,5008,1000 ha,Area
44,Colombia,Cropland,1966,5020,1000 ha,Area
44,Colombia,Cropland,1967,5023,1000 ha,Area
44,Colombia,Cropland,1968,5025,1000 ha,Area
44,Colombia,Cropland,1969,5030,1000 ha,Area
44,Colombia,Cropland,1970,5030,1000 ha,Area
44,Colombia,Cropland,1971,5054,1000 ha,Area
44,Colombia,Cropland,1972,5068,1000 ha,Area
44,Colombia,Cropland,1973,5084,1000 ha,Area
44,Colombia,Cropland,1974,5099,1000 ha,Area
44,Colombia,Cropland,1975,5115,1000 ha,Area
44,Colombia,Cropland,1976,5130,1000 ha,Area
44,Colombia,Cropland,1977,5146,1000 ha,Area
44,Colombia,Cropland,1978,5161,1000 ha,Area
44,Colombia,Cropland,1979,5177,1000 ha,Area
44,Colombia,Cropland,1980,5192,1000 ha,Area
44,Colombia,Cropland,1981,5208,1000 ha,Area
44,Colombia,Cropland,1982,5223,1000 ha,Area
44,Colombia,Cropland,1983,5239,1000 ha,Area
44,Colombia,Cropland,1984,5256,1000 ha,Area
44,Colombia,Cropland,1985,5275,1000 ha,Area
44,Colombia,Cropland,1986,5295,1000 ha,Area
44,Colombia,Cropland,1987,5318,1000 ha,Area
44,Colombia,Cropland,1988,5200,1000 ha,Area
44,Colombia,Cropland,1989,5100,1000 ha,Area
44,Colombia,Cropland,1990,5000,1000 ha,Area
44,Colombia,Cropland,1991,4801,1000 ha,Area
44,Colombia,Cropland,1992,4900,1000 ha,Area
44,Colombia,Cropland,1993,4820,1000 ha,Area
44,Colombia,Cropland,1994,4782,1000 ha,Area
44,Colombia,Cropland,1995,4430,1000 ha,Area
44,Colombia,Cropland,1996,4096,1000 ha,Area
44,Colombia,Cropland,1997,4257,1000 ha,Area
44,Colombia,Cropland,1998,4377,1000 ha,Area
44,Colombia,Cropland,1999,4364,1000 ha,Area
44,Colombia,Cropland,2000,4545,1000 ha,Area
44,Colombia,Cropland,2001,4135,1000 ha,Area
44,Colombia,Cropland,2002,3736,1000 ha,Area
44,Colombia,Cropland,2003,3749,1000 ha,Area
44,Colombia,Cropland,2004,3708,1000 ha,Area
44,Colombia,Cropland,2005,3613,1000 ha,Area
44,Colombia,Cropland,2006,3369.3,1000 ha,Area
44,Colombia,Cropland,2007,3570,1000 ha,Area
44,Colombia,Cropland,2008,3461,1000 ha,Area
44,Colombia,Cropland,2009,3354,1000 ha,Area
44,Colombia,Cropland,2010,3353,1000 ha,Area
44,Colombia,Cropland,2011,3409,1000 ha,Area
44,Colombia,Cropland,2012,3453,1000 ha,Area
44,Colombia,Cropland,2013,3448,1000 ha,Area
44,Colombia,Cropland,2014,3540.7,1000 ha,Area
44,Colombia,Cropland,2015,3633.5,1000 ha,Area
44,Colombia,Cropland,2016,3726.2,1000 ha,Area
44,Colombia,Cropland,2017,9892,1000 ha,Area
44,Colombia,Cropland,2018,9892,1000 ha,Area
44,Colombia,Cropland,2019,9872,1000 ha,Area
48,Costa Rica,Cropland,1961,480,1000 ha,Area
48,Costa Rica,Cropland,1962,485,1000 ha,Area
48,Costa Rica,Cropland,1963,485,1000 ha,Area
48,Costa Rica,Cropland,1964,485,1000 ha,Area
48,Costa Rica,Cropland,1965,485,1000 ha,Area
48,Costa Rica,Cropland,1966,485,1000 ha,Area
48,Costa Rica,Cropland,1967,486,1000 ha,Area
48,Costa Rica,Cropland,1968,486,1000 ha,Area
48,Costa Rica,Cropland,1969,490,1000 ha,Area
48,Costa Rica,Cropland,1970,493,1000 ha,Area
48,Costa Rica,Cropland,1971,497,1000 ha,Area
48,Costa Rica,Cropland,1972,497,1000 ha,Area
48,Costa Rica,Cropland,1973,490,1000 ha,Area
48,Costa Rica,Cropland,1974,490,1000 ha,Area
48,Costa Rica,Cropland,1975,492,1000 ha,Area
48,Costa Rica,Cropland,1976,495,1000 ha,Area
48,Costa Rica,Cropland,1977,497,1000 ha,Area
48,Costa Rica,Cropland,1978,500,1000 ha,Area
48,Costa Rica,Cropland,1979,503,1000 ha,Area
48,Costa Rica,Cropland,1980,506,1000 ha,Area
48,Costa Rica,Cropland,1981,509,1000 ha,Area
48,Costa Rica,Cropland,1982,512,1000 ha,Area
48,Costa Rica,Cropland,1983,515,1000 ha,Area
48,Costa Rica,Cropland,1984,518,1000 ha,Area
48,Costa Rica,Cropland,1985,523,1000 ha,Area
48,Costa Rica,Cropland,1986,526,1000 ha,Area
48,Costa Rica,Cropland,1987,526,1000 ha,Area
48,Costa Rica,Cropland,1988,523,1000 ha,Area
48,Costa Rica,Cropland,1989,510,1000 ha,Area
