Year,Nation,Unit,qty_lvst_daily_dry_matter_consumed_buffalo_kg
2016,honduras,Kg,16.2
2016,jamaica,Kg,16.2
2016,mexico,Kg,16.2
2016,nicaragua,Kg,16.2
2016,panama,Kg,16.2
2016,paraguay,Kg,16.2
2016,peru,Kg,16.2
2016,suriname,Kg,16.2
2016,trinidad_and_tobago,Kg,16.2
2016,uruguay,Kg,16.2
2016,venezuela,Kg,16.2
2015,argentina,Kg,16.2
2015,bahamas,Kg,16.2
2015,barbados,Kg,16.2
2015,belize,Kg,16.2
2015,bolivia,Kg,16.2
2015,brazil,Kg,16.2
2015,chile,Kg,16.2
2015,colombia,Kg,16.2
2015,costa_rica,Kg,16.2
2015,dominican_republic,Kg,16.2
2015,ecuador,Kg,16.2
2015,el_salvador,Kg,16.2
2015,guatemala,Kg,16.2
2015,guyana,Kg,16.2
2015,haiti,Kg,16.2
2015,honduras,Kg,16.2
2015,jamaica,Kg,16.2
2015,mexico,Kg,16.2
2015,nicaragua,Kg,16.2
2015,panama,Kg,16.2
2015,paraguay,Kg,16.2
2015,peru,Kg,16.2
2015,suriname,Kg,16.2
2015,trinidad_and_tobago,Kg,16.2
2015,uruguay,Kg,16.2
2015,venezuela,Kg,16.2
2014,argentina,Kg,16.2
2014,bahamas,Kg,16.2
2014,barbados,Kg,16.2
2014,belize,Kg,16.2
2014,bolivia,Kg,16.2
2014,brazil,Kg,16.2
2014,chile,Kg,16.2
2014,colombia,Kg,16.2
2014,costa_rica,Kg,16.2
2014,dominican_republic,Kg,16.2
2014,ecuador,Kg,16.2
2014,el_salvador,Kg,16.2
2014,guatemala,Kg,16.2
2014,guyana,Kg,16.2
2014,haiti,Kg,16.2
2014,honduras,Kg,16.2
2014,jamaica,Kg,16.2
2014,mexico,Kg,16.2
2014,nicaragua,Kg,16.2
2014,panama,Kg,16.2
2014,paraguay,Kg,16.2
2014,peru,Kg,16.2
2014,suriname,Kg,16.2
2014,trinidad_and_tobago,Kg,16.2
2014,uruguay,Kg,16.2
2014,venezuela,Kg,16.2
2013,argentina,Kg,16.2
2013,bahamas,Kg,16.2
2013,barbados,Kg,16.2
2013,belize,Kg,16.2
2013,bolivia,Kg,16.2
2013,brazil,Kg,16.2
2013,chile,Kg,16.2
2013,colombia,Kg,16.2
2013,costa_rica,Kg,16.2
2013,dominican_republic,Kg,16.2
2013,ecuador,Kg,16.2
2013,el_salvador,Kg,16.2
2013,guatemala,Kg,16.2
2013,guyana,Kg,16.2
2013,haiti,Kg,16.2
2013,honduras,Kg,16.2
2013,jamaica,Kg,16.2
2013,mexico,Kg,16.2
2013,nicaragua,Kg,16.2
2013,panama,Kg,16.2
2013,paraguay,Kg,16.2
2013,peru,Kg,16.2
2013,suriname,Kg,16.2
2013,trinidad_and_tobago,Kg,16.2
2013,uruguay,Kg,16.2
2013,venezuela,Kg,16.2
2012,argentina,Kg,16.2
2012,bahamas,Kg,16.2
2012,barbados,Kg,16.2
2012,belize,Kg,16.2
2012,bolivia,Kg,16.2
2012,brazil,Kg,16.2
2012,chile,Kg,16.2
2012,colombia,Kg,16.2
2012,costa_rica,Kg,16.2
2012,dominican_republic,Kg,16.2
2012,ecuador,Kg,16.2
2012,el_salvador,Kg,16.2
2012,guatemala,Kg,16.2
2012,guyana,Kg,16.2
2012,haiti,Kg,16.2
2012,honduras,Kg,16.2
2012,jamaica,Kg,16.2
2012,mexico,Kg,16.2
2012,nicaragua,Kg,16.2
2012,panama,Kg,16.2
2012,paraguay,Kg,16.2
2012,peru,Kg,16.2
2012,suriname,Kg,16.2
2012,trinidad_and_tobago,Kg,16.2
2012,uruguay,Kg,16.2
2012,venezuela,Kg,16.2
2011,argentina,Kg,16.2
2011,bahamas,Kg,16.2
2011,barbados,Kg,16.2
2011,belize,Kg,16.2
2011,bolivia,Kg,16.2
2011,brazil,Kg,16.2
2011,chile,Kg,16.2
2011,colombia,Kg,16.2
2011,costa_rica,Kg,16.2
2011,dominican_republic,Kg,16.2
2011,ecuador,Kg,16.2
2011,el_salvador,Kg,16.2
2011,guatemala,Kg,16.2
2011,guyana,Kg,16.2
2011,haiti,Kg,16.2
2011,honduras,Kg,16.2
2011,jamaica,Kg,16.2
2011,mexico,Kg,16.2
2011,nicaragua,Kg,16.2
2011,panama,Kg,16.2
2011,paraguay,Kg,16.2
2011,peru,Kg,16.2
2011,suriname,Kg,16.2
2011,trinidad_and_tobago,Kg,16.2
2011,uruguay,Kg,16.2
2011,venezuela,Kg,16.2
