Area.Code..FAO.,Nation,Item,Year,Value,Unit,Element,EmissionFactorTONco2e,ef_agactivity_cereals_gg_ch4_ha
9,Argentina,Wheat,1987,9101200,tonnes,Production,0.51,4641612
9,Argentina,Wheat,1988,8596900,tonnes,Production,0.51,4384419
9,Argentina,Wheat,1989,10055700,tonnes,Production,0.51,5128407
9,Argentina,Wheat,1990,10055700,tonnes,Production,0.51,5128407
9,Argentina,Wheat,1991,11036600,tonnes,Production,0.51,5628666
9,Argentina,Wheat,1992,9998500,tonnes,Production,0.51,5099235
9,Argentina,Wheat,1993,9995900,tonnes,Production,0.51,5097909
9,Argentina,Wheat,1994,9736500,tonnes,Production,0.51,4965615
9,Argentina,Wheat,1995,11406460,tonnes,Production,0.51,5817294.6
9,Argentina,Wheat,1996,9542315,tonnes,Production,0.51,4866580.65
9,Argentina,Wheat,1997,16106700,tonnes,Production,0.51,8214417
9,Argentina,Wheat,1998,15086820,tonnes,Production,0.51,7694278.2
9,Argentina,Wheat,1999,12600600,tonnes,Production,0.51,6426306
9,Argentina,Wheat,2000,15478660,tonnes,Production,0.51,7894116.6
9,Argentina,Wheat,2001,16146620,tonnes,Production,0.51,8234776.2
9,Argentina,Wheat,2002,15427820,tonnes,Production,0.51,7868188.2
9,Argentina,Wheat,2003,12399040,tonnes,Production,0.51,6323510.4
9,Argentina,Wheat,2004,14710175,tonnes,Production,0.51,7502189.25
9,Argentina,Wheat,2005,16139170,tonnes,Production,0.51,8230976.7
9,Argentina,Wheat,2006,12721976,tonnes,Production,0.51,6488207.76
9,Argentina,Wheat,2007,14662945,tonnes,Production,0.51,7478101.95
9,Argentina,Wheat,2008,16486532,tonnes,Production,0.51,8408131.32
9,Argentina,Wheat,2009,8508156,tonnes,Production,0.51,4339159.56
9,Argentina,Wheat,2010,9016373,tonnes,Production,0.51,4598350.23
9,Argentina,Wheat,2011,16067929,tonnes,Production,0.51,8194643.79
9,Argentina,Wheat,2012,14683475,tonnes,Production,0.51,7488572.25
9,Argentina,Wheat,2013,8134409,tonnes,Production,0.51,4148548.59
9,Argentina,Wheat,2014,9188339,tonnes,Production,0.51,4686052.89
9,Argentina,Wheat,2015,13930078,tonnes,Production,0.51,7104339.78
9,Argentina,Wheat,2016,11314952,tonnes,Production,0.51,5770625.52
9,Argentina,Wheat,2017,18395106,tonnes,Production,0.51,9381504.06
9,Argentina,Wheat,2018,18518045,tonnes,Production,0.51,9444202.95
9,Argentina,Wheat,2019,19459727,tonnes,Production,0.51,9924460.77
19,Bolivia (Plurinational State of),Wheat,1961,45000,tonnes,Production,0.51,22950
19,Bolivia (Plurinational State of),Wheat,1962,40000,tonnes,Production,0.51,20400
19,Bolivia (Plurinational State of),Wheat,1963,55000,tonnes,Production,0.51,28050
19,Bolivia (Plurinational State of),Wheat,1964,57000,tonnes,Production,0.51,29070
19,Bolivia (Plurinational State of),Wheat,1965,55000,tonnes,Production,0.51,28050
19,Bolivia (Plurinational State of),Wheat,1966,41000,tonnes,Production,0.51,20910
19,Bolivia (Plurinational State of),Wheat,1967,27000,tonnes,Production,0.51,13770
19,Bolivia (Plurinational State of),Wheat,1968,45000,tonnes,Production,0.51,22950
19,Bolivia (Plurinational State of),Wheat,1969,53200,tonnes,Production,0.51,27132
19,Bolivia (Plurinational State of),Wheat,1970,44190,tonnes,Production,0.51,22536.9
19,Bolivia (Plurinational State of),Wheat,1971,47100,tonnes,Production,0.51,24021
19,Bolivia (Plurinational State of),Wheat,1972,53590,tonnes,Production,0.51,27330.9
19,Bolivia (Plurinational State of),Wheat,1973,57000,tonnes,Production,0.51,29070
19,Bolivia (Plurinational State of),Wheat,1974,62460,tonnes,Production,0.51,31854.6
19,Bolivia (Plurinational State of),Wheat,1975,61750,tonnes,Production,0.51,31492.5
19,Bolivia (Plurinational State of),Wheat,1976,69815,tonnes,Production,0.51,35605.65
19,Bolivia (Plurinational State of),Wheat,1977,55610,tonnes,Production,0.51,28361.1
19,Bolivia (Plurinational State of),Wheat,1978,56590,tonnes,Production,0.51,28860.9
19,Bolivia (Plurinational State of),Wheat,1979,67755,tonnes,Production,0.51,34555.05
19,Bolivia (Plurinational State of),Wheat,1980,60140,tonnes,Production,0.51,30671.4
19,Bolivia (Plurinational State of),Wheat,1981,66620,tonnes,Production,0.51,33976.2
19,Bolivia (Plurinational State of),Wheat,1982,66000,tonnes,Production,0.51,33660
19,Bolivia (Plurinational State of),Wheat,1983,45647,tonnes,Production,0.51,23279.97
19,Bolivia (Plurinational State of),Wheat,1984,78490,tonnes,Production,0.51,40029.9
19,Bolivia (Plurinational State of),Wheat,1985,74333,tonnes,Production,0.51,37909.83
19,Bolivia (Plurinational State of),Wheat,1986,81200,tonnes,Production,0.51,41412
19,Bolivia (Plurinational State of),Wheat,1987,76655,tonnes,Production,0.51,39094.05
19,Bolivia (Plurinational State of),Wheat,1988,62650,tonnes,Production,0.51,31951.5
19,Bolivia (Plurinational State of),Wheat,1989,60794,tonnes,Production,0.51,31004.94
19,Bolivia (Plurinational State of),Wheat,1990,54480,tonnes,Production,0.51,27784.8
19,Bolivia (Plurinational State of),Wheat,1991,108733,tonnes,Production,0.51,55453.83
19,Bolivia (Plurinational State of),Wheat,1992,95727,tonnes,Production,0.51,48820.77
19,Bolivia (Plurinational State of),Wheat,1993,145129,tonnes,Production,0.51,74015.79
19,Bolivia (Plurinational State of),Wheat,1994,82323,tonnes,Production,0.51,41984.73
19,Bolivia (Plurinational State of),Wheat,1995,122805,tonnes,Production,0.51,62630.55
19,Bolivia (Plurinational State of),Wheat,1996,98820,tonnes,Production,0.51,50398.2
19,Bolivia (Plurinational State of),Wheat,1997,168547,tonnes,Production,0.51,85958.97
19,Bolivia (Plurinational State of),Wheat,1998,175426,tonnes,Production,0.51,89467.26
19,Bolivia (Plurinational State of),Wheat,1999,150012,tonnes,Production,0.51,76506.12
19,Bolivia (Plurinational State of),Wheat,2000,101510,tonnes,Production,0.51,51770.1
19,Bolivia (Plurinational State of),Wheat,2001,112659,tonnes,Production,0.51,57456.09
19,Bolivia (Plurinational State of),Wheat,2002,119102,tonnes,Production,0.51,60742.02
19,Bolivia (Plurinational State of),Wheat,2003,112930,tonnes,Production,0.51,57594.3
19,Bolivia (Plurinational State of),Wheat,2004,116037,tonnes,Production,0.51,59178.87
19,Bolivia (Plurinational State of),Wheat,2005,131198,tonnes,Production,0.51,66910.98
19,Bolivia (Plurinational State of),Wheat,2006,143677,tonnes,Production,0.51,73275.27
19,Bolivia (Plurinational State of),Wheat,2007,167095,tonnes,Production,0.51,85218.45
19,Bolivia (Plurinational State of),Wheat,2008,199990,tonnes,Production,0.51,101994.9
19,Bolivia (Plurinational State of),Wheat,2009,201508,tonnes,Production,0.51,102769.08
19,Bolivia (Plurinational State of),Wheat,2010,241397,tonnes,Production,0.51,123112.47
19,Bolivia (Plurinational State of),Wheat,2011,182927,tonnes,Production,0.51,93292.77
19,Bolivia (Plurinational State of),Wheat,2012,145151,tonnes,Production,0.51,74027.01
19,Bolivia (Plurinational State of),Wheat,2013,208735,tonnes,Production,0.51,106454.85
19,Bolivia (Plurinational State of),Wheat,2014,159670,tonnes,Production,0.51,81431.7
19,Bolivia (Plurinational State of),Wheat,2015,337599,tonnes,Production,0.51,172175.49
19,Bolivia (Plurinational State of),Wheat,2016,329437,tonnes,Production,0.51,168012.87
19,Bolivia (Plurinational State of),Wheat,2017,154293,tonnes,Production,0.51,78689.43
19,Bolivia (Plurinational State of),Wheat,2018,301689,tonnes,Production,0.51,153861.39
19,Bolivia (Plurinational State of),Wheat,2019,237127,tonnes,Production,0.51,120934.77
21,Brazil,Wheat,1961,544858,tonnes,Production,0.51,277877.58
21,Brazil,Wheat,1962,705619,tonnes,Production,0.51,359865.69
21,Brazil,Wheat,1963,392363,tonnes,Production,0.51,200105.13
21,Brazil,Wheat,1964,643004,tonnes,Production,0.51,327932.04
21,Brazil,Wheat,1965,585384,tonnes,Production,0.51,298545.84
21,Brazil,Wheat,1966,614657,tonnes,Production,0.51,313475.07
21,Brazil,Wheat,1967,629301,tonnes,Production,0.51,320943.51
21,Brazil,Wheat,1968,856170,tonnes,Production,0.51,436646.7
21,Brazil,Wheat,1969,1373691,tonnes,Production,0.51,700582.41
21,Brazil,Wheat,1970,1844263,tonnes,Production,0.51,940574.13
21,Brazil,Wheat,1971,2011334,tonnes,Production,0.51,1025780.34
21,Brazil,Wheat,1972,982901,tonnes,Production,0.51,501279.51
21,Brazil,Wheat,1973,2031338,tonnes,Production,0.51,1035982.38
21,Brazil,Wheat,1974,2858530,tonnes,Production,0.51,1457850.3
21,Brazil,Wheat,1975,1788180,tonnes,Production,0.51,911971.8
21,Brazil,Wheat,1976,3215745,tonnes,Production,0.51,1640029.95
21,Brazil,Wheat,1977,2066039,tonnes,Production,0.51,1053679.89
21,Brazil,Wheat,1978,2690888,tonnes,Production,0.51,1372352.88
21,Brazil,Wheat,1979,2926764,tonnes,Production,0.51,1492649.64
21,Brazil,Wheat,1980,2701613,tonnes,Production,0.51,1377822.63
21,Brazil,Wheat,1981,2209631,tonnes,Production,0.51,1126911.81
21,Brazil,Wheat,1982,1826945,tonnes,Production,0.51,931741.95
21,Brazil,Wheat,1983,2236700,tonnes,Production,0.51,1140717
21,Brazil,Wheat,1984,1983157,tonnes,Production,0.51,1011410.07
21,Brazil,Wheat,1985,4320267,tonnes,Production,0.51,2203336.17
21,Brazil,Wheat,1986,5638470,tonnes,Production,0.51,2875619.7
21,Brazil,Wheat,1987,6099111,tonnes,Production,0.51,3110546.61
21,Brazil,Wheat,1988,5745670,tonnes,Production,0.51,2930291.7
21,Brazil,Wheat,1989,5555184,tonnes,Production,0.51,2833143.84
21,Brazil,Wheat,1990,3093791,tonnes,Production,0.51,1577833.41
21,Brazil,Wheat,1991,2916823,tonnes,Production,0.51,1487579.73
21,Brazil,Wheat,1992,2795598,tonnes,Production,0.51,1425754.98
21,Brazil,Wheat,1993,2197354,tonnes,Production,0.51,1120650.54
21,Brazil,Wheat,1994,2096259,tonnes,Production,0.51,1069092.09
21,Brazil,Wheat,1995,1533871,tonnes,Production,0.51,782274.21
21,Brazil,Wheat,1996,3292777,tonnes,Production,0.51,1679316.27
21,Brazil,Wheat,1997,2489070,tonnes,Production,0.51,1269425.7
21,Brazil,Wheat,1998,2269847,tonnes,Production,0.51,1157621.97
21,Brazil,Wheat,1999,2461856,tonnes,Production,0.51,1255546.56
21,Brazil,Wheat,2000,1725792,tonnes,Production,0.51,880153.92
21,Brazil,Wheat,2001,3366599,tonnes,Production,0.51,1716965.49
21,Brazil,Wheat,2002,3105660,tonnes,Production,0.51,1583886.6
21,Brazil,Wheat,2003,6153500,tonnes,Production,0.51,3138285
21,Brazil,Wheat,2004,5818846,tonnes,Production,0.51,2967611.46
21,Brazil,Wheat,2005,4658790,tonnes,Production,0.51,2375982.9
21,Brazil,Wheat,2006,2484848,tonnes,Production,0.51,1267272.48
21,Brazil,Wheat,2007,4114057,tonnes,Production,0.51,2098169.07
21,Brazil,Wheat,2008,6027131,tonnes,Production,0.51,3073836.81
21,Brazil,Wheat,2009,5055525,tonnes,Production,0.51,2578317.75
21,Brazil,Wheat,2010,6171250,tonnes,Production,0.51,3147337.5
21,Brazil,Wheat,2011,5690043,tonnes,Production,0.51,2901921.93
21,Brazil,Wheat,2012,4418388,tonnes,Production,0.51,2253377.88
21,Brazil,Wheat,2013,5738473,tonnes,Production,0.51,2926621.23
21,Brazil,Wheat,2014,6261895,tonnes,Production,0.51,3193566.45
21,Brazil,Wheat,2015,5508451,tonnes,Production,0.51,2809310.01
21,Brazil,Wheat,2016,6834421,tonnes,Production,0.51,3485554.71
21,Brazil,Wheat,2017,4342812,tonnes,Production,0.51,2214834.12
21,Brazil,Wheat,2018,5469236,tonnes,Production,0.51,2789310.36
21,Brazil,Wheat,2019,5604158,tonnes,Production,0.51,2858120.58
40,Chile,Wheat,1961,1030560,tonnes,Production,0.51,525585.6
40,Chile,Wheat,1962,969750,tonnes,Production,0.51,494572.5
40,Chile,Wheat,1963,1135610,tonnes,Production,0.51,579161.1
40,Chile,Wheat,1964,1158880,tonnes,Production,0.51,591028.8
40,Chile,Wheat,1965,1115834,tonnes,Production,0.51,569075.34
40,Chile,Wheat,1966,1346410,tonnes,Production,0.51,686669.1
40,Chile,Wheat,1967,1203500,tonnes,Production,0.51,613785
40,Chile,Wheat,1968,1219700,tonnes,Production,0.51,622047
40,Chile,Wheat,1969,1214200,tonnes,Production,0.51,619242
40,Chile,Wheat,1970,1306900,tonnes,Production,0.51,666519
40,Chile,Wheat,1971,1367900,tonnes,Production,0.51,697629
40,Chile,Wheat,1972,1195135,tonnes,Production,0.51,609518.85
40,Chile,Wheat,1973,746684,tonnes,Production,0.51,380808.84
40,Chile,Wheat,1974,939050,tonnes,Production,0.51,478915.5
40,Chile,Wheat,1975,1003070,tonnes,Production,0.51,511565.7
40,Chile,Wheat,1976,866470,tonnes,Production,0.51,441899.7
40,Chile,Wheat,1977,1219320,tonnes,Production,0.51,621853.2
40,Chile,Wheat,1978,892620,tonnes,Production,0.51,455236.2
40,Chile,Wheat,1979,995140,tonnes,Production,0.51,507521.4
40,Chile,Wheat,1980,966000,tonnes,Production,0.51,492660
40,Chile,Wheat,1981,685970,tonnes,Production,0.51,349844.7
40,Chile,Wheat,1982,650000,tonnes,Production,0.51,331500
40,Chile,Wheat,1983,585950,tonnes,Production,0.51,298834.5
40,Chile,Wheat,1984,988280,tonnes,Production,0.51,504022.8
40,Chile,Wheat,1985,1164690,tonnes,Production,0.51,593991.9
40,Chile,Wheat,1986,1625809,tonnes,Production,0.51,829162.59
40,Chile,Wheat,1987,1874117,tonnes,Production,0.51,955799.67
40,Chile,Wheat,1988,1734199,tonnes,Production,0.51,884441.49
40,Chile,Wheat,1989,1765525,tonnes,Production,0.51,900417.75
40,Chile,Wheat,1990,1718214,tonnes,Production,0.51,876289.14
40,Chile,Wheat,1991,1588677,tonnes,Production,0.51,810225.27
40,Chile,Wheat,1992,1556588,tonnes,Production,0.51,793859.88
40,Chile,Wheat,1993,1323600,tonnes,Production,0.51,675036
40,Chile,Wheat,1994,1271200,tonnes,Production,0.51,648312
40,Chile,Wheat,1995,1383861,tonnes,Production,0.51,705769.11
40,Chile,Wheat,1996,1227148,tonnes,Production,0.51,625845.48
40,Chile,Wheat,1997,1676887,tonnes,Production,0.51,855212.37
40,Chile,Wheat,1998,1682040,tonnes,Production,0.51,857840.4
40,Chile,Wheat,1999,1196626,tonnes,Production,0.51,610279.26
40,Chile,Wheat,2000,1492710,tonnes,Production,0.51,761282.1
40,Chile,Wheat,2001,1780160,tonnes,Production,0.51,907881.6
40,Chile,Wheat,2002,1820387,tonnes,Production,0.51,928397.37
40,Chile,Wheat,2003,1797080,tonnes,Production,0.51,916510.8
40,Chile,Wheat,2004,1921652,tonnes,Production,0.51,980042.52
40,Chile,Wheat,2005,1851940,tonnes,Production,0.51,944489.4
40,Chile,Wheat,2006,1403689,tonnes,Production,0.51,715881.39
40,Chile,Wheat,2007,1095872,tonnes,Production,0.51,558894.72
40,Chile,Wheat,2008,1237691,tonnes,Production,0.51,631222.41
40,Chile,Wheat,2009,1145290,tonnes,Production,0.51,584097.9
40,Chile,Wheat,2010,1523921,tonnes,Production,0.51,777199.71
40,Chile,Wheat,2011,1575822,tonnes,Production,0.51,803669.22
40,Chile,Wheat,2012,1213101,tonnes,Production,0.51,618681.51
40,Chile,Wheat,2013,1474663,tonnes,Production,0.51,752078.13
40,Chile,Wheat,2014,1358128,tonnes,Production,0.51,692645.28
40,Chile,Wheat,2015,1482310,tonnes,Production,0.51,755978.1
40,Chile,Wheat,2016,1731935,tonnes,Production,0.51,883286.85
40,Chile,Wheat,2017,1349492,tonnes,Production,0.51,688240.92
40,Chile,Wheat,2018,1469003,tonnes,Production,0.51,749191.53
40,Chile,Wheat,2019,1399919,tonnes,Production,0.51,713958.69
44,Colombia,Wheat,1961,142100,tonnes,Production,0.51,72471
44,Colombia,Wheat,1962,162000,tonnes,Production,0.51,82620
44,Colombia,Wheat,1963,90000,tonnes,Production,0.51,45900
44,Colombia,Wheat,1964,85000,tonnes,Production,0.51,43350
44,Colombia,Wheat,1965,110000,tonnes,Production,0.51,56100
44,Colombia,Wheat,1966,125000,tonnes,Production,0.51,63750
44,Colombia,Wheat,1967,80000,tonnes,Production,0.51,40800
44,Colombia,Wheat,1968,105000,tonnes,Production,0.51,53550
44,Colombia,Wheat,1969,88700,tonnes,Production,0.51,45237
44,Colombia,Wheat,1970,53700,tonnes,Production,0.51,27387
44,Colombia,Wheat,1971,53200,tonnes,Production,0.51,27132
44,Colombia,Wheat,1972,69200,tonnes,Production,0.51,35292
44,Colombia,Wheat,1973,72400,tonnes,Production,0.51,36924
44,Colombia,Wheat,1974,58800,tonnes,Production,0.51,29988
44,Colombia,Wheat,1975,38900,tonnes,Production,0.51,19839
44,Colombia,Wheat,1976,45300,tonnes,Production,0.51,23103
44,Colombia,Wheat,1977,29400,tonnes,Production,0.51,14994
44,Colombia,Wheat,1978,37700,tonnes,Production,0.51,19227
44,Colombia,Wheat,1979,41970,tonnes,Production,0.51,21404.7
44,Colombia,Wheat,1980,45690,tonnes,Production,0.51,23301.9
44,Colombia,Wheat,1981,62300,tonnes,Production,0.51,31773
44,Colombia,Wheat,1982,70700,tonnes,Production,0.51,36057
44,Colombia,Wheat,1983,77800,tonnes,Production,0.51,39678
44,Colombia,Wheat,1984,59300,tonnes,Production,0.51,30243
44,Colombia,Wheat,1985,76100,tonnes,Production,0.51,38811
44,Colombia,Wheat,1986,81700,tonnes,Production,0.51,41667
44,Colombia,Wheat,1987,74200,tonnes,Production,0.51,37842
44,Colombia,Wheat,1988,62500,tonnes,Production,0.51,31875
44,Colombia,Wheat,1989,79700,tonnes,Production,0.51,40647
44,Colombia,Wheat,1990,104800,tonnes,Production,0.51,53448
44,Colombia,Wheat,1991,93900,tonnes,Production,0.51,47889
44,Colombia,Wheat,1992,75219,tonnes,Production,0.51,38361.69
44,Colombia,Wheat,1993,96303,tonnes,Production,0.51,49114.53
44,Colombia,Wheat,1994,105183,tonnes,Production,0.51,53643.33
44,Colombia,Wheat,1995,74126,tonnes,Production,0.51,37804.26
44,Colombia,Wheat,1996,64623,tonnes,Production,0.51,32957.73
44,Colombia,Wheat,1997,50181,tonnes,Production,0.51,25592.31
44,Colombia,Wheat,1998,39064,tonnes,Production,0.51,19922.64
44,Colombia,Wheat,1999,40008,tonnes,Production,0.51,20404.08
44,Colombia,Wheat,2000,37085,tonnes,Production,0.51,18913.35
44,Colombia,Wheat,2001,31793,tonnes,Production,0.51,16214.43
44,Colombia,Wheat,2002,40795,tonnes,Production,0.51,20805.45
44,Colombia,Wheat,2003,46571,tonnes,Production,0.51,23751.21
44,Colombia,Wheat,2004,43471,tonnes,Production,0.51,22170.21
44,Colombia,Wheat,2005,43963,tonnes,Production,0.51,22421.13
44,Colombia,Wheat,2006,26399,tonnes,Production,0.51,13463.49
44,Colombia,Wheat,2007,36778,tonnes,Production,0.51,18756.78
44,Colombia,Wheat,2008,39191,tonnes,Production,0.51,19987.41
44,Colombia,Wheat,2009,24349,tonnes,Production,0.51,12417.99
44,Colombia,Wheat,2010,15147,tonnes,Production,0.51,7724.97
44,Colombia,Wheat,2011,12754,tonnes,Production,0.51,6504.54
44,Colombia,Wheat,2012,8990,tonnes,Production,0.51,4584.9
44,Colombia,Wheat,2013,8346,tonnes,Production,0.51,4256.46
44,Colombia,Wheat,2014,6488,tonnes,Production,0.51,3308.88
44,Colombia,Wheat,2015,9891,tonnes,Production,0.51,5044.41
44,Colombia,Wheat,2016,13550,tonnes,Production,0.51,6910.5
44,Colombia,Wheat,2017,5479,tonnes,Production,0.51,2794.29
44,Colombia,Wheat,2018,6399,tonnes,Production,0.51,3263.49
44,Colombia,Wheat,2019,5684,tonnes,Production,0.51,2898.84
58,Ecuador,Wheat,1961,78170,tonnes,Production,0.51,39866.7
58,Ecuador,Wheat,1962,67300,tonnes,Production,0.51,34323
58,Ecuador,Wheat,1963,52600,tonnes,Production,0.51,26826
58,Ecuador,Wheat,1964,47200,tonnes,Production,0.51,24072
58,Ecuador,Wheat,1965,61300,tonnes,Production,0.51,31263
58,Ecuador,Wheat,1966,62727,tonnes,Production,0.51,31990.77
58,Ecuador,Wheat,1967,78543,tonnes,Production,0.51,40056.93
58,Ecuador,Wheat,1968,82910,tonnes,Production,0.51,42284.1
58,Ecuador,Wheat,1969,94099,tonnes,Production,0.51,47990.49
58,Ecuador,Wheat,1970,81000,tonnes,Production,0.51,41310
58,Ecuador,Wheat,1971,68493,tonnes,Production,0.51,34931.43
58,Ecuador,Wheat,1972,50640,tonnes,Production,0.51,25826.4
58,Ecuador,Wheat,1973,45189,tonnes,Production,0.51,23046.39
58,Ecuador,Wheat,1974,54989,tonnes,Production,0.51,28044.39
58,Ecuador,Wheat,1975,64647,tonnes,Production,0.51,32969.97
58,Ecuador,Wheat,1976,65000,tonnes,Production,0.51,33150
58,Ecuador,Wheat,1977,39800,tonnes,Production,0.51,20298
58,Ecuador,Wheat,1978,28904,tonnes,Production,0.51,14741.04
58,Ecuador,Wheat,1979,31248,tonnes,Production,0.51,15936.48
58,Ecuador,Wheat,1980,31113,tonnes,Production,0.51,15867.63
58,Ecuador,Wheat,1981,41431,tonnes,Production,0.51,21129.81
58,Ecuador,Wheat,1982,38538,tonnes,Production,0.51,19654.38
58,Ecuador,Wheat,1983,26914,tonnes,Production,0.51,13726.14
58,Ecuador,Wheat,1984,25172,tonnes,Production,0.51,12837.72
58,Ecuador,Wheat,1985,18464,tonnes,Production,0.51,9416.64
58,Ecuador,Wheat,1986,33006,tonnes,Production,0.51,16833.06
58,Ecuador,Wheat,1987,31368,tonnes,Production,0.51,15997.68
58,Ecuador,Wheat,1988,34198,tonnes,Production,0.51,17440.98
58,Ecuador,Wheat,1989,25634,tonnes,Production,0.51,13073.34
58,Ecuador,Wheat,1990,29907,tonnes,Production,0.51,15252.57
58,Ecuador,Wheat,1991,17059,tonnes,Production,0.51,8700.09
58,Ecuador,Wheat,1992,23997,tonnes,Production,0.51,12238.47
58,Ecuador,Wheat,1993,25528,tonnes,Production,0.51,13019.28
58,Ecuador,Wheat,1994,19836,tonnes,Production,0.51,10116.36
58,Ecuador,Wheat,1995,19763,tonnes,Production,0.51,10079.13
58,Ecuador,Wheat,1996,20431,tonnes,Production,0.51,10419.81
58,Ecuador,Wheat,1997,19302,tonnes,Production,0.51,9844.02
58,Ecuador,Wheat,1998,19787,tonnes,Production,0.51,10091.37
58,Ecuador,Wheat,1999,19011,tonnes,Production,0.51,9695.61
58,Ecuador,Wheat,2000,12958,tonnes,Production,0.51,6608.58
58,Ecuador,Wheat,2001,13631,tonnes,Production,0.51,6951.81
58,Ecuador,Wheat,2002,8845,tonnes,Production,0.51,4510.95
58,Ecuador,Wheat,2003,11052,tonnes,Production,0.51,5636.52
58,Ecuador,Wheat,2004,10214,tonnes,Production,0.51,5209.14
58,Ecuador,Wheat,2005,8429,tonnes,Production,0.51,4298.79
58,Ecuador,Wheat,2006,7577,tonnes,Production,0.51,3864.27
58,Ecuador,Wheat,2007,9243,tonnes,Production,0.51,4713.93
58,Ecuador,Wheat,2008,8144,tonnes,Production,0.51,4153.44
58,Ecuador,Wheat,2009,11314,tonnes,Production,0.51,5770.14
58,Ecuador,Wheat,2010,7605,tonnes,Production,0.51,3878.55
58,Ecuador,Wheat,2011,5938,tonnes,Production,0.51,3028.38
58,Ecuador,Wheat,2012,7450,tonnes,Production,0.51,3799.5
58,Ecuador,Wheat,2013,5755,tonnes,Production,0.51,2935.05
58,Ecuador,Wheat,2014,6814,tonnes,Production,0.51,3475.14
58,Ecuador,Wheat,2015,2053,tonnes,Production,0.51,1047.03
58,Ecuador,Wheat,2016,6746,tonnes,Production,0.51,3440.46
58,Ecuador,Wheat,2017,5803,tonnes,Production,0.51,2959.53
58,Ecuador,Wheat,2018,5398,tonnes,Production,0.51,2752.98
58,Ecuador,Wheat,2019,5073,tonnes,Production,0.51,2587.23
89,Guatemala,Wheat,1961,24656,tonnes,Production,0.51,12574.56
89,Guatemala,Wheat,1962,32079,tonnes,Production,0.51,16360.29
89,Guatemala,Wheat,1963,35609,tonnes,Production,0.51,18160.59
89,Guatemala,Wheat,1964,36100,tonnes,Production,0.51,18411
89,Guatemala,Wheat,1965,27164,tonnes,Production,0.51,13853.64
89,Guatemala,Wheat,1966,29642,tonnes,Production,0.51,15117.42
89,Guatemala,Wheat,1967,31555,tonnes,Production,0.51,16093.05
89,Guatemala,Wheat,1968,33140,tonnes,Production,0.51,16901.4
89,Guatemala,Wheat,1969,31208,tonnes,Production,0.51,15916.08
89,Guatemala,Wheat,1970,36025,tonnes,Production,0.51,18372.75
89,Guatemala,Wheat,1971,38031,tonnes,Production,0.51,19395.81
89,Guatemala,Wheat,1972,46715,tonnes,Production,0.51,23824.65
89,Guatemala,Wheat,1973,47104,tonnes,Production,0.51,24023.04
89,Guatemala,Wheat,1974,51106,tonnes,Production,0.51,26064.06
89,Guatemala,Wheat,1975,45382,tonnes,Production,0.51,23144.82
89,Guatemala,Wheat,1976,47864,tonnes,Production,0.51,24410.64
89,Guatemala,Wheat,1977,55752,tonnes,Production,0.51,28433.52
89,Guatemala,Wheat,1978,59616,tonnes,Production,0.51,30404.16
89,Guatemala,Wheat,1979,56764,tonnes,Production,0.51,28949.64
89,Guatemala,Wheat,1980,58128,tonnes,Production,0.51,29645.28
89,Guatemala,Wheat,1981,55300,tonnes,Production,0.51,28203
89,Guatemala,Wheat,1982,48600,tonnes,Production,0.51,24786
89,Guatemala,Wheat,1983,69600,tonnes,Production,0.51,35496
89,Guatemala,Wheat,1984,90700,tonnes,Production,0.51,46257
