Area Code (FAO),Nation,Item,Year,yf_agrc_coffee_tonne_ha,Unit,Element
44,Colombia,"Coffee, green",1981,7276,hg/ha,Yield
44,Colombia,"Coffee, green",1982,7117,hg/ha,Yield
44,Colombia,"Coffee, green",1983,8048,hg/ha,Yield
44,Colombia,"Coffee, green",1984,8548,hg/ha,Yield
44,Colombia,"Coffee, green",1985,6915,hg/ha,Yield
44,Colombia,"Coffee, green",1986,7714,hg/ha,Yield
44,Colombia,"Coffee, green",1987,6569,hg/ha,Yield
44,Colombia,"Coffee, green",1988,7460,hg/ha,Yield
44,Colombia,"Coffee, green",1989,6810,hg/ha,Yield
44,Colombia,"Coffee, green",1990,8450,hg/ha,Yield
44,Colombia,"Coffee, green",1991,10049,hg/ha,Yield
44,Colombia,"Coffee, green",1992,11179,hg/ha,Yield
44,Colombia,"Coffee, green",1993,8182,hg/ha,Yield
44,Colombia,"Coffee, green",1994,7176,hg/ha,Yield
44,Colombia,"Coffee, green",1995,9640,hg/ha,Yield
44,Colombia,"Coffee, green",1996,7927,hg/ha,Yield
44,Colombia,"Coffee, green",1997,7738,hg/ha,Yield
44,Colombia,"Coffee, green",1998,9446,hg/ha,Yield
44,Colombia,"Coffee, green",1999,6982,hg/ha,Yield
44,Colombia,"Coffee, green",2000,9434,hg/ha,Yield
44,Colombia,"Coffee, green",2001,9309,hg/ha,Yield
44,Colombia,"Coffee, green",2002,9808,hg/ha,Yield
44,Colombia,"Coffee, green",2003,9622,hg/ha,Yield
44,Colombia,"Coffee, green",2004,8745,hg/ha,Yield
44,Colombia,"Coffee, green",2005,8268,hg/ha,Yield
44,Colombia,"Coffee, green",2006,9226,hg/ha,Yield
44,Colombia,"Coffee, green",2007,9491,hg/ha,Yield
44,Colombia,"Coffee, green",2008,9400,hg/ha,Yield
44,Colombia,"Coffee, green",2009,6124,hg/ha,Yield
44,Colombia,"Coffee, green",2010,6881,hg/ha,Yield
44,Colombia,"Coffee, green",2011,6472,hg/ha,Yield
44,Colombia,"Coffee, green",2012,6638,hg/ha,Yield
44,Colombia,"Coffee, green",2013,8464,hg/ha,Yield
44,Colombia,"Coffee, green",2014,9156,hg/ha,Yield
44,Colombia,"Coffee, green",2015,10332,hg/ha,Yield
44,Colombia,"Coffee, green",2016,10512,hg/ha,Yield
44,Colombia,"Coffee, green",2017,9421,hg/ha,Yield
44,Colombia,"Coffee, green",2018,9274,hg/ha,Yield
44,Colombia,"Coffee, green",2019,10368,hg/ha,Yield
48,Costa Rica,"Coffee, green",1961,8462,hg/ha,Yield
48,Costa Rica,"Coffee, green",1962,7289,hg/ha,Yield
48,Costa Rica,"Coffee, green",1963,7425,hg/ha,Yield
48,Costa Rica,"Coffee, green",1964,5615,hg/ha,Yield
48,Costa Rica,"Coffee, green",1965,6789,hg/ha,Yield
48,Costa Rica,"Coffee, green",1966,7766,hg/ha,Yield
48,Costa Rica,"Coffee, green",1967,8446,hg/ha,Yield
48,Costa Rica,"Coffee, green",1968,7540,hg/ha,Yield
48,Costa Rica,"Coffee, green",1969,8995,hg/ha,Yield
48,Costa Rica,"Coffee, green",1970,7704,hg/ha,Yield
48,Costa Rica,"Coffee, green",1971,9405,hg/ha,Yield
48,Costa Rica,"Coffee, green",1972,8293,hg/ha,Yield
48,Costa Rica,"Coffee, green",1973,11476,hg/ha,Yield
48,Costa Rica,"Coffee, green",1974,10106,hg/ha,Yield
48,Costa Rica,"Coffee, green",1975,9468,hg/ha,Yield
48,Costa Rica,"Coffee, green",1976,10004,hg/ha,Yield
48,Costa Rica,"Coffee, green",1977,10763,hg/ha,Yield
48,Costa Rica,"Coffee, green",1978,12167,hg/ha,Yield
48,Costa Rica,"Coffee, green",1979,12058,hg/ha,Yield
48,Costa Rica,"Coffee, green",1980,13014,hg/ha,Yield
48,Costa Rica,"Coffee, green",1981,13306,hg/ha,Yield
48,Costa Rica,"Coffee, green",1982,13540,hg/ha,Yield
48,Costa Rica,"Coffee, green",1983,14254,hg/ha,Yield
48,Costa Rica,"Coffee, green",1984,15206,hg/ha,Yield
48,Costa Rica,"Coffee, green",1985,13778,hg/ha,Yield
48,Costa Rica,"Coffee, green",1986,11552,hg/ha,Yield
48,Costa Rica,"Coffee, green",1987,14839,hg/ha,Yield
48,Costa Rica,"Coffee, green",1988,15581,hg/ha,Yield
48,Costa Rica,"Coffee, green",1989,14952,hg/ha,Yield
48,Costa Rica,"Coffee, green",1990,13139,hg/ha,Yield
48,Costa Rica,"Coffee, green",1991,15048,hg/ha,Yield
48,Costa Rica,"Coffee, green",1992,15849,hg/ha,Yield
48,Costa Rica,"Coffee, green",1993,14945,hg/ha,Yield
48,Costa Rica,"Coffee, green",1994,13582,hg/ha,Yield
48,Costa Rica,"Coffee, green",1995,13895,hg/ha,Yield
48,Costa Rica,"Coffee, green",1996,14271,hg/ha,Yield
48,Costa Rica,"Coffee, green",1997,12224,hg/ha,Yield
48,Costa Rica,"Coffee, green",1998,14376,hg/ha,Yield
48,Costa Rica,"Coffee, green",1999,13950,hg/ha,Yield
48,Costa Rica,"Coffee, green",2000,15226,hg/ha,Yield
48,Costa Rica,"Coffee, green",2001,13285,hg/ha,Yield
48,Costa Rica,"Coffee, green",2002,12424,hg/ha,Yield
48,Costa Rica,"Coffee, green",2003,11664,hg/ha,Yield
48,Costa Rica,"Coffee, green",2004,12768,hg/ha,Yield
48,Costa Rica,"Coffee, green",2005,12735,hg/ha,Yield
48,Costa Rica,"Coffee, green",2006,10239,hg/ha,Yield
48,Costa Rica,"Coffee, green",2007,12268,hg/ha,Yield
48,Costa Rica,"Coffee, green",2008,11346,hg/ha,Yield
48,Costa Rica,"Coffee, green",2009,9262,hg/ha,Yield
48,Costa Rica,"Coffee, green",2010,9284,hg/ha,Yield
48,Costa Rica,"Coffee, green",2011,9631,hg/ha,Yield
48,Costa Rica,"Coffee, green",2012,12570,hg/ha,Yield
48,Costa Rica,"Coffee, green",2013,7612,hg/ha,Yield
48,Costa Rica,"Coffee, green",2014,10316,hg/ha,Yield
48,Costa Rica,"Coffee, green",2015,9966,hg/ha,Yield
48,Costa Rica,"Coffee, green",2016,11140,hg/ha,Yield
48,Costa Rica,"Coffee, green",2017,9650,hg/ha,Yield
48,Costa Rica,"Coffee, green",2018,8371,hg/ha,Yield
48,Costa Rica,"Coffee, green",2019,8975,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1961,2414,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1962,3065,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1963,2986,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1964,3465,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1965,2871,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1966,2969,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1967,2827,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1968,3011,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1969,3111,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1970,3124,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1971,3125,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1972,3124,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1973,3138,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1974,3139,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1975,3050,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1976,3167,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1977,3857,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1978,2761,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1979,4053,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1980,3642,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1981,3320,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1982,4096,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1983,4252,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1984,4242,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1985,4712,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1986,6546,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1987,4868,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1988,4590,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1989,4230,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1990,5740,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1991,3658,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1992,2780,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1993,2500,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1994,2142,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1995,2776,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1996,3808,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1997,2439,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1998,4086,hg/ha,Yield
56,Dominican Republic,"Coffee, green",1999,2483,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2000,3268,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2001,2545,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2002,2800,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2003,2769,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2004,2656,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2005,3023,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2006,3101,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2007,3092,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2008,2668,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2009,2846,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2010,1641,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2011,1701,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2012,3579,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2013,2458,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2014,1313,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2015,983,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2016,1140,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2017,1585,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2018,2452,hg/ha,Yield
56,Dominican Republic,"Coffee, green",2019,2025,hg/ha,Yield
58,Ecuador,"Coffee, green",1961,3567,hg/ha,Yield
58,Ecuador,"Coffee, green",1962,3513,hg/ha,Yield
58,Ecuador,"Coffee, green",1963,2709,hg/ha,Yield
58,Ecuador,"Coffee, green",1964,2866,hg/ha,Yield
58,Ecuador,"Coffee, green",1965,3988,hg/ha,Yield
58,Ecuador,"Coffee, green",1966,2628,hg/ha,Yield
58,Ecuador,"Coffee, green",1967,2963,hg/ha,Yield
58,Ecuador,"Coffee, green",1968,3163,hg/ha,Yield
58,Ecuador,"Coffee, green",1969,2068,hg/ha,Yield
58,Ecuador,"Coffee, green",1970,3354,hg/ha,Yield
58,Ecuador,"Coffee, green",1971,2897,hg/ha,Yield
58,Ecuador,"Coffee, green",1972,3225,hg/ha,Yield
58,Ecuador,"Coffee, green",1973,3298,hg/ha,Yield
58,Ecuador,"Coffee, green",1974,3004,hg/ha,Yield
58,Ecuador,"Coffee, green",1975,3314,hg/ha,Yield
58,Ecuador,"Coffee, green",1976,3400,hg/ha,Yield
58,Ecuador,"Coffee, green",1977,3180,hg/ha,Yield
58,Ecuador,"Coffee, green",1978,2794,hg/ha,Yield
58,Ecuador,"Coffee, green",1979,3430,hg/ha,Yield
58,Ecuador,"Coffee, green",1980,2411,hg/ha,Yield
58,Ecuador,"Coffee, green",1981,2683,hg/ha,Yield
58,Ecuador,"Coffee, green",1982,2608,hg/ha,Yield
58,Ecuador,"Coffee, green",1983,2392,hg/ha,Yield
58,Ecuador,"Coffee, green",1984,2819,hg/ha,Yield
58,Ecuador,"Coffee, green",1985,2831,hg/ha,Yield
58,Ecuador,"Coffee, green",1986,2806,hg/ha,Yield
58,Ecuador,"Coffee, green",1987,2916,hg/ha,Yield
58,Ecuador,"Coffee, green",1988,3789,hg/ha,Yield
58,Ecuador,"Coffee, green",1989,3164,hg/ha,Yield
58,Ecuador,"Coffee, green",1990,3317,hg/ha,Yield
58,Ecuador,"Coffee, green",1991,3256,hg/ha,Yield
58,Ecuador,"Coffee, green",1992,3438,hg/ha,Yield
58,Ecuador,"Coffee, green",1993,3453,hg/ha,Yield
58,Ecuador,"Coffee, green",1994,4671,hg/ha,Yield
58,Ecuador,"Coffee, green",1995,3859,hg/ha,Yield
58,Ecuador,"Coffee, green",1996,4348,hg/ha,Yield
58,Ecuador,"Coffee, green",1997,4514,hg/ha,Yield
58,Ecuador,"Coffee, green",1998,1236,hg/ha,Yield
58,Ecuador,"Coffee, green",1999,3546,hg/ha,Yield
58,Ecuador,"Coffee, green",2000,963,hg/ha,Yield
58,Ecuador,"Coffee, green",2001,5561,hg/ha,Yield
58,Ecuador,"Coffee, green",2002,1035,hg/ha,Yield
58,Ecuador,"Coffee, green",2003,1092,hg/ha,Yield
58,Ecuador,"Coffee, green",2004,1291,hg/ha,Yield
58,Ecuador,"Coffee, green",2005,1985,hg/ha,Yield
58,Ecuador,"Coffee, green",2006,1741,hg/ha,Yield
58,Ecuador,"Coffee, green",2007,2176,hg/ha,Yield
58,Ecuador,"Coffee, green",2008,1905,hg/ha,Yield
58,Ecuador,"Coffee, green",2009,1956,hg/ha,Yield
58,Ecuador,"Coffee, green",2010,2163,hg/ha,Yield
58,Ecuador,"Coffee, green",2011,2423,hg/ha,Yield
58,Ecuador,"Coffee, green",2012,933,hg/ha,Yield
58,Ecuador,"Coffee, green",2013,1259,hg/ha,Yield
58,Ecuador,"Coffee, green",2014,1191,hg/ha,Yield
58,Ecuador,"Coffee, green",2015,1203,hg/ha,Yield
58,Ecuador,"Coffee, green",2016,1307,hg/ha,Yield
58,Ecuador,"Coffee, green",2017,2030,hg/ha,Yield
58,Ecuador,"Coffee, green",2018,1587,hg/ha,Yield
58,Ecuador,"Coffee, green",2019,2258,hg/ha,Yield
60,El Salvador,"Coffee, green",1961,9699,hg/ha,Yield
60,El Salvador,"Coffee, green",1962,7680,hg/ha,Yield
60,El Salvador,"Coffee, green",1963,9438,hg/ha,Yield
60,El Salvador,"Coffee, green",1964,9326,hg/ha,Yield
60,El Salvador,"Coffee, green",1965,8149,hg/ha,Yield
60,El Salvador,"Coffee, green",1966,9051,hg/ha,Yield
60,El Salvador,"Coffee, green",1967,10493,hg/ha,Yield
60,El Salvador,"Coffee, green",1968,10492,hg/ha,Yield
60,El Salvador,"Coffee, green",1969,12983,hg/ha,Yield
60,El Salvador,"Coffee, green",1970,10791,hg/ha,Yield
60,El Salvador,"Coffee, green",1971,10214,hg/ha,Yield
60,El Salvador,"Coffee, green",1972,10087,hg/ha,Yield
60,El Salvador,"Coffee, green",1973,8653,hg/ha,Yield
60,El Salvador,"Coffee, green",1974,10826,hg/ha,Yield
60,El Salvador,"Coffee, green",1975,10961,hg/ha,Yield
60,El Salvador,"Coffee, green",1976,9418,hg/ha,Yield
60,El Salvador,"Coffee, green",1977,10013,hg/ha,Yield
60,El Salvador,"Coffee, green",1978,10762,hg/ha,Yield
60,El Salvador,"Coffee, green",1979,10919,hg/ha,Yield
60,El Salvador,"Coffee, green",1980,9958,hg/ha,Yield
60,El Salvador,"Coffee, green",1981,9730,hg/ha,Yield
60,El Salvador,"Coffee, green",1982,9423,hg/ha,Yield
60,El Salvador,"Coffee, green",1983,8340,hg/ha,Yield
60,El Salvador,"Coffee, green",1984,9604,hg/ha,Yield
60,El Salvador,"Coffee, green",1985,9077,hg/ha,Yield
60,El Salvador,"Coffee, green",1986,8583,hg/ha,Yield
60,El Salvador,"Coffee, green",1987,9301,hg/ha,Yield
60,El Salvador,"Coffee, green",1988,7471,hg/ha,Yield
60,El Salvador,"Coffee, green",1989,8073,hg/ha,Yield
60,El Salvador,"Coffee, green",1990,8509,hg/ha,Yield
60,El Salvador,"Coffee, green",1991,8035,hg/ha,Yield
60,El Salvador,"Coffee, green",1992,10721,hg/ha,Yield
60,El Salvador,"Coffee, green",1993,8575,hg/ha,Yield
60,El Salvador,"Coffee, green",1994,8344,hg/ha,Yield
60,El Salvador,"Coffee, green",1995,8554,hg/ha,Yield
60,El Salvador,"Coffee, green",1996,9080,hg/ha,Yield
60,El Salvador,"Coffee, green",1997,7565,hg/ha,Yield
60,El Salvador,"Coffee, green",1998,7234,hg/ha,Yield
60,El Salvador,"Coffee, green",1999,9921,hg/ha,Yield
60,El Salvador,"Coffee, green",2000,7034,hg/ha,Yield
60,El Salvador,"Coffee, green",2001,6918,hg/ha,Yield
60,El Salvador,"Coffee, green",2002,5686,hg/ha,Yield
60,El Salvador,"Coffee, green",2003,5051,hg/ha,Yield
