Area Code (FAO),Nation,Item,Year,yf_agrc_cereals_tonne_ha,Unit,Element
9,Argentina,Sorghum,1986,31250,hg/ha,Yield
9,Argentina,Sorghum,1987,30673,hg/ha,Yield
9,Argentina,Sorghum,1988,33473,hg/ha,Yield
9,Argentina,Sorghum,1989,23397,hg/ha,Yield
9,Argentina,Sorghum,1990,28116,hg/ha,Yield
9,Argentina,Sorghum,1991,33320,hg/ha,Yield
9,Argentina,Sorghum,1992,36217,hg/ha,Yield
9,Argentina,Sorghum,1993,39529,hg/ha,Yield
9,Argentina,Sorghum,1994,35065,hg/ha,Yield
9,Argentina,Sorghum,1995,34588,hg/ha,Yield
9,Argentina,Sorghum,1996,38763,hg/ha,Yield
9,Argentina,Sorghum,1997,36845,hg/ha,Yield
9,Argentina,Sorghum,1998,48105,hg/ha,Yield
9,Argentina,Sorghum,1999,43845,hg/ha,Yield
9,Argentina,Sorghum,2000,46477,hg/ha,Yield
9,Argentina,Sorghum,2001,47429,hg/ha,Yield
9,Argentina,Sorghum,2002,52691,hg/ha,Yield
9,Argentina,Sorghum,2003,50315,hg/ha,Yield
9,Argentina,Sorghum,2004,45531,hg/ha,Yield
9,Argentina,Sorghum,2005,51872,hg/ha,Yield
9,Argentina,Sorghum,2006,46778,hg/ha,Yield
9,Argentina,Sorghum,2007,47021,hg/ha,Yield
9,Argentina,Sorghum,2008,47474,hg/ha,Yield
9,Argentina,Sorghum,2009,38752,hg/ha,Yield
9,Argentina,Sorghum,2010,48163,hg/ha,Yield
9,Argentina,Sorghum,2011,44029,hg/ha,Yield
9,Argentina,Sorghum,2012,46534,hg/ha,Yield
9,Argentina,Sorghum,2013,40852,hg/ha,Yield
9,Argentina,Sorghum,2014,44009,hg/ha,Yield
9,Argentina,Sorghum,2015,47043,hg/ha,Yield
9,Argentina,Sorghum,2016,44976,hg/ha,Yield
9,Argentina,Sorghum,2017,46626,hg/ha,Yield
9,Argentina,Sorghum,2018,35739,hg/ha,Yield
9,Argentina,Sorghum,2019,46740,hg/ha,Yield
9,Argentina,Wheat,1961,12950,hg/ha,Yield
9,Argentina,Wheat,1962,15222,hg/ha,Yield
9,Argentina,Wheat,1963,15751,hg/ha,Yield
9,Argentina,Wheat,1964,18353,hg/ha,Yield
9,Argentina,Wheat,1965,13212,hg/ha,Yield
9,Argentina,Wheat,1966,11982,hg/ha,Yield
9,Argentina,Wheat,1967,12595,hg/ha,Yield
9,Argentina,Wheat,1968,9833,hg/ha,Yield
9,Argentina,Wheat,1969,13523,hg/ha,Yield
9,Argentina,Wheat,1970,13294,hg/ha,Yield
9,Argentina,Wheat,1971,12667,hg/ha,Yield
9,Argentina,Wheat,1972,15911,hg/ha,Yield
9,Argentina,Wheat,1973,16574,hg/ha,Yield
9,Argentina,Wheat,1974,14103,hg/ha,Yield
9,Argentina,Wheat,1975,16260,hg/ha,Yield
9,Argentina,Wheat,1976,17045,hg/ha,Yield
9,Argentina,Wheat,1977,13612,hg/ha,Yield
9,Argentina,Wheat,1978,17396,hg/ha,Yield
9,Argentina,Wheat,1979,16934,hg/ha,Yield
9,Argentina,Wheat,1980,15596,hg/ha,Yield
9,Argentina,Wheat,1981,14014,hg/ha,Yield
9,Argentina,Wheat,1982,20501,hg/ha,Yield
9,Argentina,Wheat,1983,18405,hg/ha,Yield
9,Argentina,Wheat,1984,23068,hg/ha,Yield
9,Argentina,Wheat,1985,16177,hg/ha,Yield
9,Argentina,Wheat,1986,17819,hg/ha,Yield
9,Argentina,Wheat,1987,18847,hg/ha,Yield
9,Argentina,Wheat,1988,18344,hg/ha,Yield
9,Argentina,Wheat,1989,18947,hg/ha,Yield
9,Argentina,Wheat,1990,18947,hg/ha,Yield
9,Argentina,Wheat,1991,18972,hg/ha,Yield
9,Argentina,Wheat,1992,21809,hg/ha,Yield
9,Argentina,Wheat,1993,23272,hg/ha,Yield
9,Argentina,Wheat,1994,20237,hg/ha,Yield
9,Argentina,Wheat,1995,21675,hg/ha,Yield
9,Argentina,Wheat,1996,19344,hg/ha,Yield
9,Argentina,Wheat,1997,22426,hg/ha,Yield
9,Argentina,Wheat,1998,26088,hg/ha,Yield
9,Argentina,Wheat,1999,23028,hg/ha,Yield
9,Argentina,Wheat,2000,24873,hg/ha,Yield
9,Argentina,Wheat,2001,24934,hg/ha,Yield
9,Argentina,Wheat,2002,22398,hg/ha,Yield
9,Argentina,Wheat,2003,20361,hg/ha,Yield
9,Argentina,Wheat,2004,25441,hg/ha,Yield
9,Argentina,Wheat,2005,26356,hg/ha,Yield
9,Argentina,Wheat,2006,25302,hg/ha,Yield
9,Argentina,Wheat,2007,26234,hg/ha,Yield
9,Argentina,Wheat,2008,28271,hg/ha,Yield
9,Argentina,Wheat,2009,19628,hg/ha,Yield
9,Argentina,Wheat,2010,27113,hg/ha,Yield
9,Argentina,Wheat,2011,35063,hg/ha,Yield
9,Argentina,Wheat,2012,32199,hg/ha,Yield
9,Argentina,Wheat,2013,26581,hg/ha,Yield
9,Argentina,Wheat,2014,26619,hg/ha,Yield
9,Argentina,Wheat,2015,28100,hg/ha,Yield
9,Argentina,Wheat,2016,28623,hg/ha,Yield
9,Argentina,Wheat,2017,33047,hg/ha,Yield
9,Argentina,Wheat,2018,31806,hg/ha,Yield
9,Argentina,Wheat,2019,32160,hg/ha,Yield
23,Belize,Sorghum,1989,27698,hg/ha,Yield
23,Belize,Sorghum,1990,37006,hg/ha,Yield
23,Belize,Sorghum,1991,32897,hg/ha,Yield
23,Belize,Sorghum,1992,27387,hg/ha,Yield
23,Belize,Sorghum,1993,27055,hg/ha,Yield
23,Belize,Sorghum,1994,26989,hg/ha,Yield
23,Belize,Sorghum,1995,29136,hg/ha,Yield
23,Belize,Sorghum,1996,35058,hg/ha,Yield
23,Belize,Sorghum,1997,30869,hg/ha,Yield
23,Belize,Sorghum,1998,30834,hg/ha,Yield
23,Belize,Sorghum,1999,31962,hg/ha,Yield
23,Belize,Sorghum,2000,31609,hg/ha,Yield
23,Belize,Sorghum,2001,37599,hg/ha,Yield
23,Belize,Sorghum,2002,30512,hg/ha,Yield
23,Belize,Sorghum,2003,37826,hg/ha,Yield
23,Belize,Sorghum,2004,22318,hg/ha,Yield
23,Belize,Sorghum,2005,21168,hg/ha,Yield
23,Belize,Sorghum,2006,20705,hg/ha,Yield
23,Belize,Sorghum,2007,23794,hg/ha,Yield
23,Belize,Sorghum,2008,19815,hg/ha,Yield
23,Belize,Sorghum,2009,17458,hg/ha,Yield
23,Belize,Sorghum,2010,32597,hg/ha,Yield
23,Belize,Sorghum,2011,19287,hg/ha,Yield
23,Belize,Sorghum,2012,24353,hg/ha,Yield
23,Belize,Sorghum,2013,31826,hg/ha,Yield
23,Belize,Sorghum,2014,23564,hg/ha,Yield
23,Belize,Sorghum,2015,22071,hg/ha,Yield
23,Belize,Sorghum,2016,27827,hg/ha,Yield
23,Belize,Sorghum,2017,23045,hg/ha,Yield
23,Belize,Sorghum,2018,24398,hg/ha,Yield
23,Belize,Sorghum,2019,24425,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1961,6582,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1962,6576,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1963,6848,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1964,6624,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1965,6122,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1966,6452,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1967,6512,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1968,6604,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1969,6718,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1970,6627,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1971,6704,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1972,6941,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1973,6968,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1974,6963,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1975,7133,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1976,7914,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1977,5352,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1978,6896,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1979,6389,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1980,6412,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1981,6784,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1982,7258,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1983,6383,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1984,8025,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1985,8002,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1986,8227,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1987,8465,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1988,7794,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1989,6470,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1990,6820,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1991,5511,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1992,6722,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1993,7237,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1994,7083,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1995,6890,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1996,7386,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1997,6789,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1998,7012,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,1999,7455,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2000,7514,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2001,7633,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2002,7057,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2003,7745,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2004,7989,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2005,8036,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2006,8122,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2007,7784,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2008,7791,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2009,8510,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2010,8584,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2011,8746,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2012,9764,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2013,7955,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2014,7964,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2015,9298,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2016,8308,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2017,8575,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2018,8726,hg/ha,Yield
19,Bolivia (Plurinational State of),Barley,2019,8943,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1976,33333,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1977,32000,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1978,34983,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1979,45345,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1980,44710,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1981,34885,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1982,36111,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1983,29220,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1984,39910,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1985,39854,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1986,39272,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1987,29912,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1988,37032,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1989,49824,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1990,35895,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1991,32190,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1992,27990,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1993,32474,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1994,20882,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1995,29691,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1996,29980,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1997,24979,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1998,26819,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,1999,21163,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2000,22114,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2001,24487,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2002,28322,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2003,23264,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2004,26215,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2005,27871,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2006,26058,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2007,28024,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2008,32217,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2009,38686,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2010,40356,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2011,34116,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2012,26674,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2013,17663,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2014,23792,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2015,29819,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2016,28619,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2017,19667,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2018,26392,hg/ha,Yield
19,Bolivia (Plurinational State of),Sorghum,2019,24012,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1961,5625,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1962,5000,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1963,5189,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1964,5229,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1965,8730,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1966,5500,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1967,6000,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1968,6000,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1969,6954,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1970,7000,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1971,7862,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1972,8333,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1973,8278,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1974,8489,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1975,8034,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1976,8639,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1977,6530,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1978,6456,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1979,6909,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1980,5992,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1981,6943,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1982,6845,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1983,6045,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1984,7936,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1985,7415,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1986,7642,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1987,8079,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1988,7670,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1989,6962,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1990,6480,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1991,9339,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1992,8088,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1993,10320,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1994,7519,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1995,9746,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1996,7490,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1997,10641,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1998,9042,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,1999,8677,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2000,8492,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2001,9890,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2002,8850,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2003,9878,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2004,10665,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2005,10741,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2006,11113,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2007,9210,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2008,12931,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2009,12862,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2010,13920,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2011,9731,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2012,9186,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2013,11167,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2014,10652,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2015,17208,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2016,14334,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2017,8848,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2018,15117,hg/ha,Yield
19,Bolivia (Plurinational State of),Wheat,2019,11993,hg/ha,Yield
21,Brazil,Barley,1961,7715,hg/ha,Yield
21,Brazil,Barley,1962,9713,hg/ha,Yield
21,Brazil,Barley,1963,6729,hg/ha,Yield
21,Brazil,Barley,1964,9199,hg/ha,Yield
21,Brazil,Barley,1965,8182,hg/ha,Yield
21,Brazil,Barley,1966,8429,hg/ha,Yield
21,Brazil,Barley,1967,7347,hg/ha,Yield
21,Brazil,Barley,1968,8344,hg/ha,Yield
21,Brazil,Barley,1969,10349,hg/ha,Yield
21,Brazil,Barley,1970,10675,hg/ha,Yield
21,Brazil,Barley,1971,8292,hg/ha,Yield
21,Brazil,Barley,1972,7788,hg/ha,Yield
21,Brazil,Barley,1973,7186,hg/ha,Yield
21,Brazil,Barley,1974,7398,hg/ha,Yield
21,Brazil,Barley,1975,10729,hg/ha,Yield
21,Brazil,Barley,1976,12691,hg/ha,Yield
21,Brazil,Barley,1977,10178,hg/ha,Yield
21,Brazil,Barley,1978,16094,hg/ha,Yield
21,Brazil,Barley,1979,11586,hg/ha,Yield
21,Brazil,Barley,1980,10365,hg/ha,Yield
21,Brazil,Barley,1981,11491,hg/ha,Yield
21,Brazil,Barley,1982,5904,hg/ha,Yield
21,Brazil,Barley,1983,10326,hg/ha,Yield
21,Brazil,Barley,1984,10591,hg/ha,Yield
21,Brazil,Barley,1985,15467,hg/ha,Yield
21,Brazil,Barley,1986,18009,hg/ha,Yield
21,Brazil,Barley,1987,19135,hg/ha,Yield
21,Brazil,Barley,1988,12310,hg/ha,Yield
21,Brazil,Barley,1989,21903,hg/ha,Yield
21,Brazil,Barley,1990,14976,hg/ha,Yield
21,Brazil,Barley,1991,11458,hg/ha,Yield
21,Brazil,Barley,1992,18732,hg/ha,Yield
21,Brazil,Barley,1993,16395,hg/ha,Yield
21,Brazil,Barley,1994,16903,hg/ha,Yield
21,Brazil,Barley,1995,15064,hg/ha,Yield
21,Brazil,Barley,1996,24887,hg/ha,Yield
21,Brazil,Barley,1997,20281,hg/ha,Yield
21,Brazil,Barley,1998,19255,hg/ha,Yield
21,Brazil,Barley,1999,23450,hg/ha,Yield
21,Brazil,Barley,2000,19437,hg/ha,Yield
21,Brazil,Barley,2001,20826,hg/ha,Yield
21,Brazil,Barley,2002,16595,hg/ha,Yield
21,Brazil,Barley,2003,28964,hg/ha,Yield
21,Brazil,Barley,2004,27941,hg/ha,Yield
21,Brazil,Barley,2005,22576,hg/ha,Yield
21,Brazil,Barley,2006,24695,hg/ha,Yield
21,Brazil,Barley,2007,23488,hg/ha,Yield
21,Brazil,Barley,2008,29887,hg/ha,Yield
21,Brazil,Barley,2009,25984,hg/ha,Yield
21,Brazil,Barley,2010,33115,hg/ha,Yield
21,Brazil,Barley,2011,34439,hg/ha,Yield
21,Brazil,Barley,2012,25793,hg/ha,Yield
21,Brazil,Barley,2013,37441,hg/ha,Yield
21,Brazil,Barley,2014,28120,hg/ha,Yield
21,Brazil,Barley,2015,21559,hg/ha,Yield
21,Brazil,Barley,2016,41699,hg/ha,Yield
21,Brazil,Barley,2017,24903,hg/ha,Yield
21,Brazil,Barley,2018,32591,hg/ha,Yield
21,Brazil,Barley,2019,35945,hg/ha,Yield
21,Brazil,Buckwheat,1961,11111,hg/ha,Yield
21,Brazil,Buckwheat,1962,12632,hg/ha,Yield
21,Brazil,Buckwheat,1963,11000,hg/ha,Yield
21,Brazil,Buckwheat,1964,10625,hg/ha,Yield
21,Brazil,Buckwheat,1965,10656,hg/ha,Yield
21,Brazil,Buckwheat,1966,10606,hg/ha,Yield
21,Brazil,Buckwheat,1967,12791,hg/ha,Yield
21,Brazil,Buckwheat,1968,11316,hg/ha,Yield
21,Brazil,Buckwheat,1969,11458,hg/ha,Yield
21,Brazil,Buckwheat,1970,10938,hg/ha,Yield
21,Brazil,Buckwheat,1971,11585,hg/ha,Yield
21,Brazil,Buckwheat,1972,12338,hg/ha,Yield
21,Brazil,Buckwheat,1973,11667,hg/ha,Yield
21,Brazil,Buckwheat,1974,11452,hg/ha,Yield
21,Brazil,Buckwheat,1975,11220,hg/ha,Yield
21,Brazil,Buckwheat,1976,11400,hg/ha,Yield
21,Brazil,Buckwheat,1977,10476,hg/ha,Yield
