Nation,Year,Unit,pop_lvst_initial_cattle_nondairy
el_salvador,2012,Head,561716.5
el_salvador,2013,Head,446654.0
el_salvador,2014,Head,521000.0
el_salvador,2015,Head,510395.5
el_salvador,2016,Head,470851.5
el_salvador,2017,Head,442782.0
el_salvador,2018,Head,370143.5
el_salvador,2019,Head,349543.0
guatemala,2011,Head,1665800.0
guatemala,2012,Head,1695300.0
guatemala,2013,Head,1709800.0
guatemala,2014,Head,1792400.0
guatemala,2015,Head,1843300.0
guatemala,2016,Head,1884200.0
guatemala,2017,Head,1925538.0
guatemala,2018,Head,1959166.5
guatemala,2019,Head,2003685.0
guyana,2011,Head,56400.0
guyana,2012,Head,56450.0
guyana,2013,Head,56450.0
guyana,2014,Head,56500.0
guyana,2015,Head,56493.5
guyana,2016,Head,55353.5
guyana,2017,Head,53498.0
guyana,2018,Head,51797.0
guyana,2019,Head,50000.0
haiti,2011,Head,730000.0
haiti,2012,Head,732500.0
haiti,2013,Head,732500.0
haiti,2014,Head,735000.0
haiti,2015,Head,740797.5
haiti,2016,Head,747883.0
haiti,2017,Head,759740.5
haiti,2018,Head,755691.0
haiti,2019,Head,758930.5
honduras,2011,Head,1343266.5
honduras,2012,Head,1371210.0
honduras,2013,Head,1387000.0
honduras,2014,Head,1389000.0
honduras,2015,Head,1395863.0
honduras,2016,Head,1400283.5
honduras,2017,Head,1402492.5
honduras,2018,Head,1408547.5
honduras,2019,Head,1414037.5
jamaica,2011,Head,85000.0
jamaica,2012,Head,86000.0
jamaica,2013,Head,85000.0
jamaica,2014,Head,84000.0
jamaica,2015,Head,79550.0
jamaica,2016,Head,80000.0
jamaica,2017,Head,80000.0
jamaica,2018,Head,80000.0
jamaica,2019,Head,80000.0
mexico,2011,Head,16468167.0
mexico,2012,Head,15962590.5
mexico,2013,Head,16201230.5
mexico,2014,Head,16469764.5
mexico,2015,Head,16751311.5
mexico,2016,Head,16889645.0
mexico,2017,Head,17138934.0
mexico,2018,Head,17410135.5
mexico,2019,Head,17612480.0
nicaragua,2011,Head,2068211.0
nicaragua,2012,Head,2156866.5
nicaragua,2013,Head,2282175.0
nicaragua,2014,Head,2409241.5
nicaragua,2015,Head,2543383.0
nicaragua,2016,Head,2527186.0
nicaragua,2017,Head,2469047.0
nicaragua,2018,Head,2550235.0
nicaragua,2019,Head,2600196.0
panama,2011,Head,864374.0
panama,2012,Head,861250.0
panama,2013,Head,863650.0
panama,2014,Head,816900.0
panama,2015,Head,770250.0
panama,2016,Head,777100.0
panama,2017,Head,761500.0
panama,2018,Head,779200.0
panama,2019,Head,749350.0
paraguay,2011,Head,6218560.0
paraguay,2012,Head,6645582.0
paraguay,2013,Head,6688228.0
paraguay,2014,Head,7232790.5
paraguay,2015,Head,7108128.0
paraguay,2016,Head,6929292.0
paraguay,2017,Head,6910763.0
paraguay,2018,Head,6750482.5
paraguay,2019,Head,6900996.5
peru,2011,Head,2794586.5
peru,2012,Head,2830492.0
peru,2013,Head,2777994.0
peru,2014,Head,2788979.5
peru,2015,Head,2776735.0
peru,2016,Head,2762727.0
peru,2017,Head,2767784.5
peru,2018,Head,2787741.5
peru,2019,Head,2799945.5
suriname,2011,Head,27622.5
suriname,2012,Head,28568.0
suriname,2013,Head,23030.0
suriname,2014,Head,18069.0
suriname,2015,Head,18810.0
suriname,2016,Head,17881.5
suriname,2017,Head,17997.5
suriname,2018,Head,17170.5
suriname,2019,Head,17701.5
trinidad_and_tobago,2011,Head,16500.0
trinidad_and_tobago,2012,Head,17000.0
trinidad_and_tobago,2013,Head,17250.0
trinidad_and_tobago,2014,Head,17500.0
trinidad_and_tobago,2015,Head,17262.0
trinidad_and_tobago,2016,Head,17063.0
trinidad_and_tobago,2017,Head,17179.0
trinidad_and_tobago,2018,Head,17431.0
trinidad_and_tobago,2019,Head,17538.5
uruguay,2011,Head,5904000.0
uruguay,2012,Head,5703000.0
uruguay,2013,Head,5768000.0
uruguay,2014,Head,5917000.0
uruguay,2015,Head,5955500.0
uruguay,2016,Head,5996500.0
uruguay,2017,Head,5869500.0
uruguay,2018,Head,5734000.0
uruguay,2019,Head,5705500.0
venezuela,2011,Head,7167047.0
venezuela,2012,Head,8484825.0
venezuela,2013,Head,8485592.5
venezuela,2014,Head,8408150.5
venezuela,2015,Head,8397579.0
venezuela,2016,Head,8247027.5
venezuela,2017,Head,8029381.5
venezuela,2018,Head,7949464.0
venezuela,2019,Head,8001325.5
