Area Code (FAO),Nation,Item,Year,yf_agrc_fruits_tonne_ha,units,Element
23,Belize,Maize,1983,17004,hg/ha,Yield
23,Belize,Maize,1984,13711,hg/ha,Yield
23,Belize,Maize,1985,13846,hg/ha,Yield
23,Belize,Maize,1986,16036,hg/ha,Yield
23,Belize,Maize,1987,16017,hg/ha,Yield
23,Belize,Maize,1988,15414,hg/ha,Yield
23,Belize,Maize,1989,15851,hg/ha,Yield
23,Belize,Maize,1990,18965,hg/ha,Yield
23,Belize,Maize,1991,27552,hg/ha,Yield
23,Belize,Maize,1992,22244,hg/ha,Yield
23,Belize,Maize,1993,20856,hg/ha,Yield
23,Belize,Maize,1994,19211,hg/ha,Yield
23,Belize,Maize,1995,17892,hg/ha,Yield
23,Belize,Maize,1996,25022,hg/ha,Yield
23,Belize,Maize,1997,22128,hg/ha,Yield
23,Belize,Maize,1998,26211,hg/ha,Yield
23,Belize,Maize,1999,27507,hg/ha,Yield
23,Belize,Maize,2000,22374,hg/ha,Yield
23,Belize,Maize,2001,30076,hg/ha,Yield
23,Belize,Maize,2002,23340,hg/ha,Yield
23,Belize,Maize,2003,27046,hg/ha,Yield
23,Belize,Maize,2004,22074,hg/ha,Yield
23,Belize,Maize,2005,26194,hg/ha,Yield
23,Belize,Maize,2006,24879,hg/ha,Yield
23,Belize,Maize,2007,26357,hg/ha,Yield
23,Belize,Maize,2008,23543,hg/ha,Yield
23,Belize,Maize,2009,25408,hg/ha,Yield
23,Belize,Maize,2010,29264,hg/ha,Yield
23,Belize,Maize,2011,32236,hg/ha,Yield
23,Belize,Maize,2012,36613,hg/ha,Yield
23,Belize,Maize,2013,34406,hg/ha,Yield
23,Belize,Maize,2014,36547,hg/ha,Yield
23,Belize,Maize,2015,28632,hg/ha,Yield
23,Belize,Maize,2016,29767,hg/ha,Yield
23,Belize,Maize,2017,45586,hg/ha,Yield
23,Belize,Maize,2018,42063,hg/ha,Yield
23,Belize,Maize,2019,27539,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1961,12501,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1962,12399,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1963,12408,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1964,9091,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1965,12949,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1966,13219,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1967,13224,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1968,13224,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1969,13232,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1970,12922,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1971,13037,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1972,12517,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1973,12818,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1974,12605,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1975,13246,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1976,15269,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1977,12616,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1978,13014,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1979,13602,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1980,13063,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1981,16087,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1982,15733,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1983,12927,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1984,15436,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1985,15875,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1986,15554,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1987,15912,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1988,15189,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1989,14353,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1990,16658,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1991,15285,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1992,17534,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1993,18658,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1994,18107,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1995,18526,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1996,18011,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1997,15060,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1998,18192,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,1999,17621,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2000,21259,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2001,22143,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2002,21670,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2003,23405,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2004,17145,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2005,21859,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2006,26071,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2007,21155,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2008,23120,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2009,28185,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2010,27890,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2011,24766,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2012,28517,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2013,21442,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2014,21719,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2015,23929,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2016,24971,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2017,22473,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2018,27282,hg/ha,Yield
19,Bolivia (Plurinational State of),Maize,2019,21097,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1961,22994,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1962,23405,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1963,23601,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1964,24001,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1965,24479,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1966,24711,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1967,25115,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1968,25632,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1969,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1970,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1971,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1972,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1973,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1974,30000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1975,30121,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1976,32300,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1977,32000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1978,32912,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1979,33187,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1980,35763,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1981,32376,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1982,37031,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1983,27383,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1984,22132,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1985,21685,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1986,23766,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1987,23777,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1988,24681,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1989,24837,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1990,25571,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1991,29116,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1992,27194,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1993,28673,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1994,28760,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1995,29557,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1996,29555,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1997,27500,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1998,27895,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",1999,27778,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2000,26471,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2001,26667,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2002,26923,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2003,28214,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2004,27904,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2005,28085,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2006,28773,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2007,28775,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2008,29131,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2009,29150,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2010,29001,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2011,29029,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2012,30528,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2013,28402,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2014,25952,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2015,27886,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2016,25780,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2017,26564,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2018,26750,hg/ha,Yield
19,Bolivia (Plurinational State of),"Maize, green",2019,27034,hg/ha,Yield
21,Brazil,Maize,1961,13123,hg/ha,Yield
21,Brazil,Maize,1962,13048,hg/ha,Yield
21,Brazil,Maize,1963,13092,hg/ha,Yield
21,Brazil,Maize,1964,11606,hg/ha,Yield
21,Brazil,Maize,1965,13809,hg/ha,Yield
21,Brazil,Maize,1966,13066,hg/ha,Yield
21,Brazil,Maize,1967,13828,hg/ha,Yield
21,Brazil,Maize,1968,13369,hg/ha,Yield
21,Brazil,Maize,1969,13149,hg/ha,Yield
21,Brazil,Maize,1970,14421,hg/ha,Yield
21,Brazil,Maize,1971,13393,hg/ha,Yield
21,Brazil,Maize,1972,14130,hg/ha,Yield
21,Brazil,Maize,1973,14295,hg/ha,Yield
21,Brazil,Maize,1974,15248,hg/ha,Yield
21,Brazil,Maize,1975,15048,hg/ha,Yield
21,Brazil,Maize,1976,15967,hg/ha,Yield
21,Brazil,Maize,1977,16322,hg/ha,Yield
21,Brazil,Maize,1978,12197,hg/ha,Yield
21,Brazil,Maize,1979,14406,hg/ha,Yield
21,Brazil,Maize,1980,17790,hg/ha,Yield
21,Brazil,Maize,1981,18330,hg/ha,Yield
21,Brazil,Maize,1982,17308,hg/ha,Yield
21,Brazil,Maize,1983,17496,hg/ha,Yield
21,Brazil,Maize,1984,17610,hg/ha,Yield
21,Brazil,Maize,1985,18662,hg/ha,Yield
21,Brazil,Maize,1986,16486,hg/ha,Yield
21,Brazil,Maize,1987,19843,hg/ha,Yield
21,Brazil,Maize,1988,18775,hg/ha,Yield
21,Brazil,Maize,1989,20582,hg/ha,Yield
21,Brazil,Maize,1990,18735,hg/ha,Yield
21,Brazil,Maize,1991,18084,hg/ha,Yield
21,Brazil,Maize,1992,22828,hg/ha,Yield
21,Brazil,Maize,1993,25321,hg/ha,Yield
21,Brazil,Maize,1994,23629,hg/ha,Yield
21,Brazil,Maize,1995,26005,hg/ha,Yield
21,Brazil,Maize,1996,24761,hg/ha,Yield
21,Brazil,Maize,1997,26228,hg/ha,Yield
21,Brazil,Maize,1998,27964,hg/ha,Yield
21,Brazil,Maize,1999,27765,hg/ha,Yield
21,Brazil,Maize,2000,27182,hg/ha,Yield
21,Brazil,Maize,2001,34019,hg/ha,Yield
21,Brazil,Maize,2002,30559,hg/ha,Yield
21,Brazil,Maize,2003,37273,hg/ha,Yield
21,Brazil,Maize,2004,33671,hg/ha,Yield
21,Brazil,Maize,2005,30403,hg/ha,Yield
21,Brazil,Maize,2006,33823,hg/ha,Yield
21,Brazil,Maize,2007,37852,hg/ha,Yield
21,Brazil,Maize,2008,40800,hg/ha,Yield
21,Brazil,Maize,2009,37145,hg/ha,Yield
21,Brazil,Maize,2010,43667,hg/ha,Yield
21,Brazil,Maize,2011,42107,hg/ha,Yield
21,Brazil,Maize,2012,50057,hg/ha,Yield
21,Brazil,Maize,2013,52536,hg/ha,Yield
21,Brazil,Maize,2014,51761,hg/ha,Yield
21,Brazil,Maize,2015,55353,hg/ha,Yield
21,Brazil,Maize,2016,42877,hg/ha,Yield
21,Brazil,Maize,2017,56183,hg/ha,Yield
21,Brazil,Maize,2018,51076,hg/ha,Yield
21,Brazil,Maize,2019,57734,hg/ha,Yield
40,Chile,Maize,1961,19538,hg/ha,Yield
40,Chile,Maize,1962,21377,hg/ha,Yield
40,Chile,Maize,1963,20868,hg/ha,Yield
40,Chile,Maize,1964,27396,hg/ha,Yield
40,Chile,Maize,1965,29665,hg/ha,Yield
40,Chile,Maize,1966,35357,hg/ha,Yield
40,Chile,Maize,1967,39284,hg/ha,Yield
40,Chile,Maize,1968,36233,hg/ha,Yield
40,Chile,Maize,1969,26316,hg/ha,Yield
40,Chile,Maize,1970,32366,hg/ha,Yield
40,Chile,Maize,1971,33545,hg/ha,Yield
40,Chile,Maize,1972,33498,hg/ha,Yield
40,Chile,Maize,1973,34034,hg/ha,Yield
40,Chile,Maize,1974,34109,hg/ha,Yield
40,Chile,Maize,1975,35935,hg/ha,Yield
40,Chile,Maize,1976,25788,hg/ha,Yield
40,Chile,Maize,1977,30748,hg/ha,Yield
40,Chile,Maize,1978,27363,hg/ha,Yield
40,Chile,Maize,1979,37518,hg/ha,Yield
40,Chile,Maize,1980,34873,hg/ha,Yield
40,Chile,Maize,1981,41277,hg/ha,Yield
40,Chile,Maize,1982,36957,hg/ha,Yield
40,Chile,Maize,1983,43370,hg/ha,Yield
40,Chile,Maize,1984,52135,hg/ha,Yield
