Year,Nation,ef_agrc_biomassburning_fruits_kg_n2o_ha,units
2014,bahamas,2.25,kg_n2o/ha
2014,barbados,2.25,kg_n2o/ha
2014,belize,2.25,kg_n2o/ha
2014,bolivia,2.25,kg_n2o/ha
2014,brazil,2.25,kg_n2o/ha
2014,chile,2.25,kg_n2o/ha
2014,colombia,2.25,kg_n2o/ha
2014,costa_rica,2.25,kg_n2o/ha
2014,dominican_republic,2.25,kg_n2o/ha
2014,ecuador,2.25,kg_n2o/ha
2014,el_salvador,2.25,kg_n2o/ha
2014,guatemala,2.25,kg_n2o/ha
2014,guyana,2.25,kg_n2o/ha
2014,haiti,2.25,kg_n2o/ha
2014,honduras,2.25,kg_n2o/ha
2014,jamaica,2.25,kg_n2o/ha
2014,mexico,2.25,kg_n2o/ha
2014,nicaragua,2.25,kg_n2o/ha
2014,panama,2.25,kg_n2o/ha
2014,paraguay,2.25,kg_n2o/ha
2014,peru,2.25,kg_n2o/ha
2014,suriname,2.25,kg_n2o/ha
2014,trinidad_and_tobago,2.25,kg_n2o/ha
2014,uruguay,2.25,kg_n2o/ha
2014,venezuela,2.25,kg_n2o/ha
2013,argentina,2.25,kg_n2o/ha
2013,bahamas,2.25,kg_n2o/ha
2013,barbados,2.25,kg_n2o/ha
2013,belize,2.25,kg_n2o/ha
2013,bolivia,2.25,kg_n2o/ha
2013,brazil,2.25,kg_n2o/ha
2013,chile,2.25,kg_n2o/ha
2013,colombia,2.25,kg_n2o/ha
2013,costa_rica,2.25,kg_n2o/ha
2013,dominican_republic,2.25,kg_n2o/ha
2013,ecuador,2.25,kg_n2o/ha
2013,el_salvador,2.25,kg_n2o/ha
2013,guatemala,2.25,kg_n2o/ha
2013,guyana,2.25,kg_n2o/ha
2013,haiti,2.25,kg_n2o/ha
2013,honduras,2.25,kg_n2o/ha
2013,jamaica,2.25,kg_n2o/ha
2013,mexico,2.25,kg_n2o/ha
2013,nicaragua,2.25,kg_n2o/ha
2013,panama,2.25,kg_n2o/ha
2013,paraguay,2.25,kg_n2o/ha
2013,peru,2.25,kg_n2o/ha
2013,suriname,2.25,kg_n2o/ha
2013,trinidad_and_tobago,2.25,kg_n2o/ha
2013,uruguay,2.25,kg_n2o/ha
2013,venezuela,2.25,kg_n2o/ha
2012,argentina,2.25,kg_n2o/ha
2012,bahamas,2.25,kg_n2o/ha
2012,barbados,2.25,kg_n2o/ha
2012,belize,2.25,kg_n2o/ha
2012,bolivia,2.25,kg_n2o/ha
2012,brazil,2.25,kg_n2o/ha
2012,chile,2.25,kg_n2o/ha
2012,colombia,2.25,kg_n2o/ha
2012,costa_rica,2.25,kg_n2o/ha
2012,dominican_republic,2.25,kg_n2o/ha
2012,ecuador,2.25,kg_n2o/ha
2012,el_salvador,2.25,kg_n2o/ha
2012,guatemala,2.25,kg_n2o/ha
2012,guyana,2.25,kg_n2o/ha
2012,haiti,2.25,kg_n2o/ha
2012,honduras,2.25,kg_n2o/ha
2012,jamaica,2.25,kg_n2o/ha
2012,mexico,2.25,kg_n2o/ha
2012,nicaragua,2.25,kg_n2o/ha
2012,panama,2.25,kg_n2o/ha
2012,paraguay,2.25,kg_n2o/ha
2012,peru,2.25,kg_n2o/ha
2012,suriname,2.25,kg_n2o/ha
2012,trinidad_and_tobago,2.25,kg_n2o/ha
2012,uruguay,2.25,kg_n2o/ha
2012,venezuela,2.25,kg_n2o/ha
2011,argentina,2.25,kg_n2o/ha
2011,bahamas,2.25,kg_n2o/ha
2011,barbados,2.25,kg_n2o/ha
2011,belize,2.25,kg_n2o/ha
2011,bolivia,2.25,kg_n2o/ha
2011,brazil,2.25,kg_n2o/ha
2011,chile,2.25,kg_n2o/ha
2011,colombia,2.25,kg_n2o/ha
2011,costa_rica,2.25,kg_n2o/ha
2011,dominican_republic,2.25,kg_n2o/ha
2011,ecuador,2.25,kg_n2o/ha
2011,el_salvador,2.25,kg_n2o/ha
2011,guatemala,2.25,kg_n2o/ha
2011,guyana,2.25,kg_n2o/ha
2011,haiti,2.25,kg_n2o/ha
2011,honduras,2.25,kg_n2o/ha
2011,jamaica,2.25,kg_n2o/ha
2011,mexico,2.25,kg_n2o/ha
2011,nicaragua,2.25,kg_n2o/ha
2011,panama,2.25,kg_n2o/ha
2011,paraguay,2.25,kg_n2o/ha
2011,peru,2.25,kg_n2o/ha
2011,suriname,2.25,kg_n2o/ha
2011,trinidad_and_tobago,2.25,kg_n2o/ha
2011,uruguay,2.25,kg_n2o/ha
2011,venezuela,2.25,kg_n2o/ha
