Area Code (FAO),Nation,Item,Year,yf_agrc_tubers_tonne_ha,Unit,Element
9,Argentina,Potatoes,1971,109653,hg/ha,Yield
9,Argentina,Potatoes,1972,91093,hg/ha,Yield
9,Argentina,Potatoes,1973,130994,hg/ha,Yield
9,Argentina,Potatoes,1974,171584,hg/ha,Yield
9,Argentina,Potatoes,1975,121824,hg/ha,Yield
9,Argentina,Potatoes,1976,141586,hg/ha,Yield
9,Argentina,Potatoes,1977,158872,hg/ha,Yield
9,Argentina,Potatoes,1978,138042,hg/ha,Yield
9,Argentina,Potatoes,1979,154703,hg/ha,Yield
9,Argentina,Potatoes,1980,139415,hg/ha,Yield
9,Argentina,Potatoes,1981,192554,hg/ha,Yield
9,Argentina,Potatoes,1982,177750,hg/ha,Yield
9,Argentina,Potatoes,1983,184317,hg/ha,Yield
9,Argentina,Potatoes,1984,185606,hg/ha,Yield
9,Argentina,Potatoes,1985,211124,hg/ha,Yield
9,Argentina,Potatoes,1986,188418,hg/ha,Yield
9,Argentina,Potatoes,1987,199960,hg/ha,Yield
9,Argentina,Potatoes,1988,256686,hg/ha,Yield
9,Argentina,Potatoes,1989,211882,hg/ha,Yield
9,Argentina,Potatoes,1990,202747,hg/ha,Yield
9,Argentina,Potatoes,1991,205692,hg/ha,Yield
9,Argentina,Potatoes,1992,199039,hg/ha,Yield
9,Argentina,Potatoes,1993,210314,hg/ha,Yield
9,Argentina,Potatoes,1994,230166,hg/ha,Yield
9,Argentina,Potatoes,1995,274272,hg/ha,Yield
9,Argentina,Potatoes,1996,228877,hg/ha,Yield
9,Argentina,Potatoes,1997,268502,hg/ha,Yield
9,Argentina,Potatoes,1998,293744,hg/ha,Yield
9,Argentina,Potatoes,1999,238938,hg/ha,Yield
9,Argentina,Potatoes,2000,277566,hg/ha,Yield
9,Argentina,Potatoes,2001,283768,hg/ha,Yield
9,Argentina,Potatoes,2002,251347,hg/ha,Yield
9,Argentina,Potatoes,2003,279269,hg/ha,Yield
9,Argentina,Potatoes,2004,288717,hg/ha,Yield
9,Argentina,Potatoes,2005,283917,hg/ha,Yield
9,Argentina,Potatoes,2006,285828,hg/ha,Yield
9,Argentina,Potatoes,2007,286765,hg/ha,Yield
9,Argentina,Potatoes,2008,279412,hg/ha,Yield
9,Argentina,Potatoes,2009,293326,hg/ha,Yield
9,Argentina,Potatoes,2010,296203,hg/ha,Yield
9,Argentina,Potatoes,2011,298649,hg/ha,Yield
9,Argentina,Potatoes,2012,303965,hg/ha,Yield
9,Argentina,Potatoes,2013,307357,hg/ha,Yield
9,Argentina,Potatoes,2014,310579,hg/ha,Yield
9,Argentina,Potatoes,2015,313425,hg/ha,Yield
9,Argentina,Potatoes,2016,321969,hg/ha,Yield
9,Argentina,Potatoes,2017,320272,hg/ha,Yield
9,Argentina,Potatoes,2018,323156,hg/ha,Yield
9,Argentina,Potatoes,2019,322716,hg/ha,Yield
9,Argentina,Sweet potatoes,1961,102075,hg/ha,Yield
9,Argentina,Sweet potatoes,1962,99964,hg/ha,Yield
9,Argentina,Sweet potatoes,1963,100263,hg/ha,Yield
9,Argentina,Sweet potatoes,1964,98705,hg/ha,Yield
9,Argentina,Sweet potatoes,1965,94768,hg/ha,Yield
9,Argentina,Sweet potatoes,1966,100025,hg/ha,Yield
9,Argentina,Sweet potatoes,1967,105889,hg/ha,Yield
9,Argentina,Sweet potatoes,1968,91385,hg/ha,Yield
9,Argentina,Sweet potatoes,1969,105358,hg/ha,Yield
9,Argentina,Sweet potatoes,1970,99095,hg/ha,Yield
9,Argentina,Sweet potatoes,1971,108000,hg/ha,Yield
9,Argentina,Sweet potatoes,1972,107340,hg/ha,Yield
9,Argentina,Sweet potatoes,1973,113301,hg/ha,Yield
9,Argentina,Sweet potatoes,1974,89878,hg/ha,Yield
9,Argentina,Sweet potatoes,1975,102076,hg/ha,Yield
9,Argentina,Sweet potatoes,1976,92112,hg/ha,Yield
9,Argentina,Sweet potatoes,1977,91667,hg/ha,Yield
9,Argentina,Sweet potatoes,1978,94118,hg/ha,Yield
9,Argentina,Sweet potatoes,1979,95266,hg/ha,Yield
9,Argentina,Sweet potatoes,1980,89881,hg/ha,Yield
9,Argentina,Sweet potatoes,1981,101066,hg/ha,Yield
9,Argentina,Sweet potatoes,1982,115361,hg/ha,Yield
9,Argentina,Sweet potatoes,1983,111511,hg/ha,Yield
9,Argentina,Sweet potatoes,1984,105519,hg/ha,Yield
9,Argentina,Sweet potatoes,1985,117813,hg/ha,Yield
9,Argentina,Sweet potatoes,1986,127414,hg/ha,Yield
9,Argentina,Sweet potatoes,1987,138475,hg/ha,Yield
9,Argentina,Sweet potatoes,1988,160962,hg/ha,Yield
9,Argentina,Sweet potatoes,1989,145911,hg/ha,Yield
9,Argentina,Sweet potatoes,1990,131864,hg/ha,Yield
9,Argentina,Sweet potatoes,1991,131364,hg/ha,Yield
9,Argentina,Sweet potatoes,1992,127273,hg/ha,Yield
9,Argentina,Sweet potatoes,1993,122955,hg/ha,Yield
9,Argentina,Sweet potatoes,1994,176667,hg/ha,Yield
9,Argentina,Sweet potatoes,1995,168000,hg/ha,Yield
9,Argentina,Sweet potatoes,1996,170000,hg/ha,Yield
9,Argentina,Sweet potatoes,1997,145662,hg/ha,Yield
9,Argentina,Sweet potatoes,1998,175055,hg/ha,Yield
9,Argentina,Sweet potatoes,1999,143991,hg/ha,Yield
9,Argentina,Sweet potatoes,2000,151419,hg/ha,Yield
9,Argentina,Sweet potatoes,2001,155212,hg/ha,Yield
9,Argentina,Sweet potatoes,2002,155890,hg/ha,Yield
9,Argentina,Sweet potatoes,2003,154338,hg/ha,Yield
9,Argentina,Sweet potatoes,2004,154867,hg/ha,Yield
9,Argentina,Sweet potatoes,2005,154472,hg/ha,Yield
9,Argentina,Sweet potatoes,2006,143478,hg/ha,Yield
9,Argentina,Sweet potatoes,2007,141667,hg/ha,Yield
9,Argentina,Sweet potatoes,2008,150659,hg/ha,Yield
9,Argentina,Sweet potatoes,2009,151478,hg/ha,Yield
9,Argentina,Sweet potatoes,2010,149657,hg/ha,Yield
9,Argentina,Sweet potatoes,2011,149032,hg/ha,Yield
9,Argentina,Sweet potatoes,2012,148407,hg/ha,Yield
9,Argentina,Sweet potatoes,2013,147781,hg/ha,Yield
9,Argentina,Sweet potatoes,2014,149159,hg/ha,Yield
9,Argentina,Sweet potatoes,2015,150064,hg/ha,Yield
9,Argentina,Sweet potatoes,2016,149425,hg/ha,Yield
9,Argentina,Sweet potatoes,2017,149240,hg/ha,Yield
9,Argentina,Sweet potatoes,2018,149050,hg/ha,Yield
9,Argentina,Sweet potatoes,2019,148863,hg/ha,Yield
12,Bahamas,Cassava,1961,83333,hg/ha,Yield
12,Bahamas,Cassava,1962,80645,hg/ha,Yield
12,Bahamas,Cassava,1963,84615,hg/ha,Yield
12,Bahamas,Cassava,1964,89552,hg/ha,Yield
12,Bahamas,Cassava,1965,92857,hg/ha,Yield
12,Bahamas,Cassava,1966,97222,hg/ha,Yield
12,Bahamas,Cassava,1967,100000,hg/ha,Yield
12,Bahamas,Cassava,1968,102564,hg/ha,Yield
12,Bahamas,Cassava,1969,106250,hg/ha,Yield
12,Bahamas,Cassava,1970,109756,hg/ha,Yield
12,Bahamas,Cassava,1971,113095,hg/ha,Yield
12,Bahamas,Cassava,1972,117647,hg/ha,Yield
12,Bahamas,Cassava,1973,122093,hg/ha,Yield
12,Bahamas,Cassava,1974,125000,hg/ha,Yield
12,Bahamas,Cassava,1975,127778,hg/ha,Yield
12,Bahamas,Cassava,1976,130435,hg/ha,Yield
12,Bahamas,Cassava,1977,131579,hg/ha,Yield
12,Bahamas,Cassava,1978,132474,hg/ha,Yield
12,Bahamas,Cassava,1979,121053,hg/ha,Yield
12,Bahamas,Cassava,1980,115000,hg/ha,Yield
12,Bahamas,Cassava,1981,110000,hg/ha,Yield
12,Bahamas,Cassava,1982,110000,hg/ha,Yield
12,Bahamas,Cassava,1983,110526,hg/ha,Yield
12,Bahamas,Cassava,1984,100000,hg/ha,Yield
12,Bahamas,Cassava,1985,105263,hg/ha,Yield
12,Bahamas,Cassava,1986,105263,hg/ha,Yield
12,Bahamas,Cassava,1987,105263,hg/ha,Yield
12,Bahamas,Cassava,1988,105882,hg/ha,Yield
12,Bahamas,Cassava,1989,105882,hg/ha,Yield
12,Bahamas,Cassava,1990,106667,hg/ha,Yield
12,Bahamas,Cassava,1991,100000,hg/ha,Yield
12,Bahamas,Cassava,1992,95614,hg/ha,Yield
12,Bahamas,Cassava,1993,90909,hg/ha,Yield
12,Bahamas,Cassava,1994,80000,hg/ha,Yield
12,Bahamas,Cassava,1995,78298,hg/ha,Yield
12,Bahamas,Cassava,1996,77111,hg/ha,Yield
12,Bahamas,Cassava,1997,75435,hg/ha,Yield
12,Bahamas,Cassava,1998,75000,hg/ha,Yield
12,Bahamas,Cassava,1999,80000,hg/ha,Yield
12,Bahamas,Cassava,2000,100000,hg/ha,Yield
12,Bahamas,Cassava,2001,102308,hg/ha,Yield
12,Bahamas,Cassava,2002,100000,hg/ha,Yield
12,Bahamas,Cassava,2003,103846,hg/ha,Yield
12,Bahamas,Cassava,2004,103333,hg/ha,Yield
12,Bahamas,Cassava,2005,108750,hg/ha,Yield
12,Bahamas,Cassava,2006,106250,hg/ha,Yield
12,Bahamas,Cassava,2007,105556,hg/ha,Yield
12,Bahamas,Cassava,2008,138333,hg/ha,Yield
12,Bahamas,Cassava,2009,178889,hg/ha,Yield
12,Bahamas,Cassava,2010,221795,hg/ha,Yield
12,Bahamas,Cassava,2011,225128,hg/ha,Yield
12,Bahamas,Cassava,2012,223000,hg/ha,Yield
12,Bahamas,Cassava,2013,221951,hg/ha,Yield
12,Bahamas,Cassava,2014,223902,hg/ha,Yield
12,Bahamas,Cassava,2015,268214,hg/ha,Yield
12,Bahamas,Cassava,2016,290476,hg/ha,Yield
12,Bahamas,Cassava,2017,307333,hg/ha,Yield
12,Bahamas,Cassava,2018,322000,hg/ha,Yield
12,Bahamas,Cassava,2019,338333,hg/ha,Yield
12,Bahamas,Sweet potatoes,1961,22222,hg/ha,Yield
12,Bahamas,Sweet potatoes,1962,24615,hg/ha,Yield
12,Bahamas,Sweet potatoes,1963,26471,hg/ha,Yield
12,Bahamas,Sweet potatoes,1964,28571,hg/ha,Yield
12,Bahamas,Sweet potatoes,1965,30137,hg/ha,Yield
12,Bahamas,Sweet potatoes,1966,30667,hg/ha,Yield
12,Bahamas,Sweet potatoes,1967,30921,hg/ha,Yield
12,Bahamas,Sweet potatoes,1968,31579,hg/ha,Yield
12,Bahamas,Sweet potatoes,1969,31818,hg/ha,Yield
12,Bahamas,Sweet potatoes,1970,32468,hg/ha,Yield
12,Bahamas,Sweet potatoes,1971,32692,hg/ha,Yield
12,Bahamas,Sweet potatoes,1972,33333,hg/ha,Yield
12,Bahamas,Sweet potatoes,1973,33974,hg/ha,Yield
12,Bahamas,Sweet potatoes,1974,34177,hg/ha,Yield
12,Bahamas,Sweet potatoes,1975,35000,hg/ha,Yield
12,Bahamas,Sweet potatoes,1976,36250,hg/ha,Yield
12,Bahamas,Sweet potatoes,1977,37500,hg/ha,Yield
12,Bahamas,Sweet potatoes,1978,38272,hg/ha,Yield
12,Bahamas,Sweet potatoes,1979,39506,hg/ha,Yield
12,Bahamas,Sweet potatoes,1980,40244,hg/ha,Yield
12,Bahamas,Sweet potatoes,1981,39286,hg/ha,Yield
12,Bahamas,Sweet potatoes,1982,40000,hg/ha,Yield
12,Bahamas,Sweet potatoes,1983,40698,hg/ha,Yield
12,Bahamas,Sweet potatoes,1984,40698,hg/ha,Yield
12,Bahamas,Sweet potatoes,1985,40909,hg/ha,Yield
12,Bahamas,Sweet potatoes,1986,40909,hg/ha,Yield
12,Bahamas,Sweet potatoes,1987,39535,hg/ha,Yield
12,Bahamas,Sweet potatoes,1988,37647,hg/ha,Yield
12,Bahamas,Sweet potatoes,1989,39773,hg/ha,Yield
12,Bahamas,Sweet potatoes,1990,38118,hg/ha,Yield
12,Bahamas,Sweet potatoes,1991,31324,hg/ha,Yield
12,Bahamas,Sweet potatoes,1992,31765,hg/ha,Yield
12,Bahamas,Sweet potatoes,1993,31571,hg/ha,Yield
12,Bahamas,Sweet potatoes,1994,31169,hg/ha,Yield
12,Bahamas,Sweet potatoes,1995,30714,hg/ha,Yield
12,Bahamas,Sweet potatoes,1996,31324,hg/ha,Yield
12,Bahamas,Sweet potatoes,1997,30800,hg/ha,Yield
12,Bahamas,Sweet potatoes,1998,31724,hg/ha,Yield
12,Bahamas,Sweet potatoes,1999,38088,hg/ha,Yield
12,Bahamas,Sweet potatoes,2000,35304,hg/ha,Yield
12,Bahamas,Sweet potatoes,2001,30556,hg/ha,Yield
12,Bahamas,Sweet potatoes,2002,34792,hg/ha,Yield
12,Bahamas,Sweet potatoes,2003,34000,hg/ha,Yield
12,Bahamas,Sweet potatoes,2004,33846,hg/ha,Yield
12,Bahamas,Sweet potatoes,2005,34314,hg/ha,Yield
12,Bahamas,Sweet potatoes,2006,34505,hg/ha,Yield
12,Bahamas,Sweet potatoes,2007,34395,hg/ha,Yield
12,Bahamas,Sweet potatoes,2008,34408,hg/ha,Yield
12,Bahamas,Sweet potatoes,2009,34508,hg/ha,Yield
12,Bahamas,Sweet potatoes,2010,34621,hg/ha,Yield
12,Bahamas,Sweet potatoes,2011,34699,hg/ha,Yield
12,Bahamas,Sweet potatoes,2012,34791,hg/ha,Yield
12,Bahamas,Sweet potatoes,2013,34854,hg/ha,Yield
12,Bahamas,Sweet potatoes,2014,35000,hg/ha,Yield
12,Bahamas,Sweet potatoes,2015,35105,hg/ha,Yield
12,Bahamas,Sweet potatoes,2016,34944,hg/ha,Yield
12,Bahamas,Sweet potatoes,2017,35009,hg/ha,Yield
12,Bahamas,Sweet potatoes,2018,35070,hg/ha,Yield
12,Bahamas,Sweet potatoes,2019,35135,hg/ha,Yield
14,Barbados,Cassava,1961,300667,hg/ha,Yield
14,Barbados,Cassava,1962,318846,hg/ha,Yield
14,Barbados,Cassava,1963,296071,hg/ha,Yield
14,Barbados,Cassava,1964,306087,hg/ha,Yield
14,Barbados,Cassava,1965,304348,hg/ha,Yield
14,Barbados,Cassava,1966,280000,hg/ha,Yield
14,Barbados,Cassava,1967,280000,hg/ha,Yield
14,Barbados,Cassava,1968,300000,hg/ha,Yield
14,Barbados,Cassava,1969,266667,hg/ha,Yield
14,Barbados,Cassava,1970,266667,hg/ha,Yield
14,Barbados,Cassava,1971,265625,hg/ha,Yield
14,Barbados,Cassava,1972,265625,hg/ha,Yield
14,Barbados,Cassava,1973,263636,hg/ha,Yield
14,Barbados,Cassava,1974,264706,hg/ha,Yield
14,Barbados,Cassava,1975,257143,hg/ha,Yield
14,Barbados,Cassava,1976,252778,hg/ha,Yield
14,Barbados,Cassava,1977,252778,hg/ha,Yield
14,Barbados,Cassava,1978,230000,hg/ha,Yield
14,Barbados,Cassava,1979,248649,hg/ha,Yield
14,Barbados,Cassava,1980,244737,hg/ha,Yield
14,Barbados,Cassava,1981,244737,hg/ha,Yield
14,Barbados,Cassava,1982,243590,hg/ha,Yield
14,Barbados,Cassava,1983,240000,hg/ha,Yield
14,Barbados,Cassava,1984,240000,hg/ha,Yield
14,Barbados,Cassava,1985,240000,hg/ha,Yield
14,Barbados,Cassava,1986,240000,hg/ha,Yield
14,Barbados,Cassava,1987,240000,hg/ha,Yield
14,Barbados,Cassava,1988,238095,hg/ha,Yield
14,Barbados,Cassava,1989,169231,hg/ha,Yield
14,Barbados,Cassava,1990,164286,hg/ha,Yield
14,Barbados,Cassava,1991,165600,hg/ha,Yield
14,Barbados,Cassava,1992,173571,hg/ha,Yield
14,Barbados,Cassava,1993,277200,hg/ha,Yield
14,Barbados,Cassava,1994,195714,hg/ha,Yield
14,Barbados,Cassava,1995,177826,hg/ha,Yield
14,Barbados,Cassava,1996,171429,hg/ha,Yield
14,Barbados,Cassava,1997,171053,hg/ha,Yield
14,Barbados,Cassava,1998,171429,hg/ha,Yield
14,Barbados,Cassava,1999,171875,hg/ha,Yield
14,Barbados,Cassava,2000,172414,hg/ha,Yield
14,Barbados,Cassava,2001,172000,hg/ha,Yield
14,Barbados,Cassava,2002,165417,hg/ha,Yield
14,Barbados,Cassava,2003,171667,hg/ha,Yield
14,Barbados,Cassava,2004,317000,hg/ha,Yield
14,Barbados,Cassava,2005,199000,hg/ha,Yield
14,Barbados,Cassava,2006,187500,hg/ha,Yield
14,Barbados,Cassava,2007,179200,hg/ha,Yield
14,Barbados,Cassava,2008,194167,hg/ha,Yield
14,Barbados,Cassava,2009,197429,hg/ha,Yield
14,Barbados,Cassava,2010,200000,hg/ha,Yield
14,Barbados,Cassava,2011,205333,hg/ha,Yield
14,Barbados,Cassava,2012,200000,hg/ha,Yield
14,Barbados,Cassava,2013,200000,hg/ha,Yield
14,Barbados,Cassava,2014,197500,hg/ha,Yield
14,Barbados,Cassava,2015,199474,hg/ha,Yield
14,Barbados,Cassava,2016,196400,hg/ha,Yield
14,Barbados,Cassava,2017,199583,hg/ha,Yield
14,Barbados,Cassava,2018,197941,hg/ha,Yield
14,Barbados,Cassava,2019,194400,hg/ha,Yield
14,Barbados,Sweet potatoes,1961,75840,hg/ha,Yield
14,Barbados,Sweet potatoes,1962,102916,hg/ha,Yield
14,Barbados,Sweet potatoes,1963,74836,hg/ha,Yield
14,Barbados,Sweet potatoes,1964,66225,hg/ha,Yield
14,Barbados,Sweet potatoes,1965,65000,hg/ha,Yield
14,Barbados,Sweet potatoes,1966,67810,hg/ha,Yield
14,Barbados,Sweet potatoes,1967,77778,hg/ha,Yield
14,Barbados,Sweet potatoes,1968,75949,hg/ha,Yield
14,Barbados,Sweet potatoes,1969,93358,hg/ha,Yield
14,Barbados,Sweet potatoes,1970,100779,hg/ha,Yield
14,Barbados,Sweet potatoes,1971,100775,hg/ha,Yield
14,Barbados,Sweet potatoes,1972,100858,hg/ha,Yield
14,Barbados,Sweet potatoes,1973,100918,hg/ha,Yield
14,Barbados,Sweet potatoes,1974,101040,hg/ha,Yield
14,Barbados,Sweet potatoes,1975,100771,hg/ha,Yield
14,Barbados,Sweet potatoes,1976,100842,hg/ha,Yield
14,Barbados,Sweet potatoes,1977,100788,hg/ha,Yield
14,Barbados,Sweet potatoes,1978,100788,hg/ha,Yield
14,Barbados,Sweet potatoes,1979,72993,hg/ha,Yield
14,Barbados,Sweet potatoes,1980,134622,hg/ha,Yield
14,Barbados,Sweet potatoes,1981,134529,hg/ha,Yield
14,Barbados,Sweet potatoes,1982,129825,hg/ha,Yield
14,Barbados,Sweet potatoes,1983,130303,hg/ha,Yield
14,Barbados,Sweet potatoes,1984,83991,hg/ha,Yield
14,Barbados,Sweet potatoes,1985,83984,hg/ha,Yield
14,Barbados,Sweet potatoes,1986,83985,hg/ha,Yield
14,Barbados,Sweet potatoes,1987,83991,hg/ha,Yield
14,Barbados,Sweet potatoes,1988,82600,hg/ha,Yield
14,Barbados,Sweet potatoes,1989,81839,hg/ha,Yield
14,Barbados,Sweet potatoes,1990,84000,hg/ha,Yield
14,Barbados,Sweet potatoes,1991,80166,hg/ha,Yield
14,Barbados,Sweet potatoes,1992,83993,hg/ha,Yield
14,Barbados,Sweet potatoes,1993,80393,hg/ha,Yield
14,Barbados,Sweet potatoes,1994,84987,hg/ha,Yield
14,Barbados,Sweet potatoes,1995,79615,hg/ha,Yield
14,Barbados,Sweet potatoes,1996,84718,hg/ha,Yield
14,Barbados,Sweet potatoes,1997,120000,hg/ha,Yield
14,Barbados,Sweet potatoes,1998,140000,hg/ha,Yield
14,Barbados,Sweet potatoes,1999,159091,hg/ha,Yield
14,Barbados,Sweet potatoes,2000,158824,hg/ha,Yield
14,Barbados,Sweet potatoes,2001,157576,hg/ha,Yield
14,Barbados,Sweet potatoes,2002,157849,hg/ha,Yield
14,Barbados,Sweet potatoes,2003,157229,hg/ha,Yield
14,Barbados,Sweet potatoes,2004,324237,hg/ha,Yield
14,Barbados,Sweet potatoes,2005,219368,hg/ha,Yield
14,Barbados,Sweet potatoes,2006,220100,hg/ha,Yield
14,Barbados,Sweet potatoes,2007,133500,hg/ha,Yield
14,Barbados,Sweet potatoes,2008,192174,hg/ha,Yield
14,Barbados,Sweet potatoes,2009,216585,hg/ha,Yield
14,Barbados,Sweet potatoes,2010,210000,hg/ha,Yield
14,Barbados,Sweet potatoes,2011,220435,hg/ha,Yield
14,Barbados,Sweet potatoes,2012,218545,hg/ha,Yield
14,Barbados,Sweet potatoes,2013,225926,hg/ha,Yield
14,Barbados,Sweet potatoes,2014,232453,hg/ha,Yield
14,Barbados,Sweet potatoes,2015,234211,hg/ha,Yield
14,Barbados,Sweet potatoes,2016,225323,hg/ha,Yield
14,Barbados,Sweet potatoes,2017,228824,hg/ha,Yield
14,Barbados,Sweet potatoes,2018,229722,hg/ha,Yield
14,Barbados,Sweet potatoes,2019,230000,hg/ha,Yield
14,Barbados,Yams,1961,124876,hg/ha,Yield
14,Barbados,Yams,1962,137406,hg/ha,Yield
14,Barbados,Yams,1963,138113,hg/ha,Yield
14,Barbados,Yams,1964,123727,hg/ha,Yield
14,Barbados,Yams,1965,111111,hg/ha,Yield
14,Barbados,Yams,1966,115733,hg/ha,Yield
14,Barbados,Yams,1967,110000,hg/ha,Yield
14,Barbados,Yams,1968,116473,hg/ha,Yield
14,Barbados,Yams,1969,100036,hg/ha,Yield
14,Barbados,Yams,1970,125468,hg/ha,Yield
14,Barbados,Yams,1971,125428,hg/ha,Yield
14,Barbados,Yams,1972,125448,hg/ha,Yield
14,Barbados,Yams,1973,125460,hg/ha,Yield
14,Barbados,Yams,1974,125381,hg/ha,Yield
14,Barbados,Yams,1975,125427,hg/ha,Yield
14,Barbados,Yams,1976,125423,hg/ha,Yield
14,Barbados,Yams,1977,125447,hg/ha,Yield
14,Barbados,Yams,1978,100750,hg/ha,Yield
14,Barbados,Yams,1979,100836,hg/ha,Yield
14,Barbados,Yams,1980,157143,hg/ha,Yield
14,Barbados,Yams,1981,180995,hg/ha,Yield
14,Barbados,Yams,1982,180000,hg/ha,Yield
14,Barbados,Yams,1983,180000,hg/ha,Yield
14,Barbados,Yams,1984,90000,hg/ha,Yield
14,Barbados,Yams,1985,76239,hg/ha,Yield
14,Barbados,Yams,1986,90000,hg/ha,Yield
14,Barbados,Yams,1987,90183,hg/ha,Yield
14,Barbados,Yams,1988,75833,hg/ha,Yield
14,Barbados,Yams,1989,97615,hg/ha,Yield
14,Barbados,Yams,1990,98037,hg/ha,Yield
14,Barbados,Yams,1991,90000,hg/ha,Yield
14,Barbados,Yams,1992,90000,hg/ha,Yield
14,Barbados,Yams,1993,91762,hg/ha,Yield
14,Barbados,Yams,1994,90231,hg/ha,Yield
14,Barbados,Yams,1995,91786,hg/ha,Yield
14,Barbados,Yams,1996,93750,hg/ha,Yield
14,Barbados,Yams,1997,89728,hg/ha,Yield
14,Barbados,Yams,1998,91216,hg/ha,Yield
14,Barbados,Yams,1999,131250,hg/ha,Yield
14,Barbados,Yams,2000,135294,hg/ha,Yield
14,Barbados,Yams,2001,133333,hg/ha,Yield
14,Barbados,Yams,2002,134231,hg/ha,Yield
14,Barbados,Yams,2003,134066,hg/ha,Yield
14,Barbados,Yams,2004,103966,hg/ha,Yield
14,Barbados,Yams,2005,125846,hg/ha,Yield
14,Barbados,Yams,2006,132333,hg/ha,Yield
14,Barbados,Yams,2007,104355,hg/ha,Yield
14,Barbados,Yams,2008,112000,hg/ha,Yield
14,Barbados,Yams,2009,126769,hg/ha,Yield
14,Barbados,Yams,2010,128095,hg/ha,Yield
14,Barbados,Yams,2011,121500,hg/ha,Yield
14,Barbados,Yams,2012,116000,hg/ha,Yield
14,Barbados,Yams,2013,117031,hg/ha,Yield
14,Barbados,Yams,2014,120638,hg/ha,Yield
