Year,Country,Value
1998,El Salvador,
1999,El Salvador,
2000,El Salvador,
2001,El Salvador,
2002,El Salvador,
2003,El Salvador,
2004,El Salvador,
2005,El Salvador,1605
2006,El Salvador,
2007,El Salvador,
2008,El Salvador,
2009,El Salvador,
2010,El Salvador,
2011,El Salvador,
2012,El Salvador,
2013,El Salvador,
2014,El Salvador,
2015,El Salvador,
2016,El Salvador,
2017,El Salvador,
2018,El Salvador,
1990,Guatemala,781
1991,Guatemala,
1992,Guatemala,
1993,Guatemala,
1994,Guatemala,860
1995,Guatemala,
1996,Guatemala,
1997,Guatemala,
1998,Guatemala,
1999,Guatemala,
2000,Guatemala,1049
2001,Guatemala,
2002,Guatemala,
2003,Guatemala,
2004,Guatemala,
2005,Guatemala,1232
2006,Guatemala,
2007,Guatemala,
2008,Guatemala,
2009,Guatemala,
2010,Guatemala,
2011,Guatemala,
2012,Guatemala,
2013,Guatemala,
2014,Guatemala,
2015,Guatemala,
2016,Guatemala,
2017,Guatemala,
2018,Guatemala,
1990,Guyana,
1991,Guyana,
1992,Guyana,
1993,Guyana,
1994,Guyana,
1995,Guyana,
1996,Guyana,
1997,Guyana,
1998,Guyana,
1999,Guyana,58
2000,Guyana,62
2001,Guyana,66
2002,Guyana,67
2003,Guyana,68
2004,Guyana,73
2005,Guyana,
2006,Guyana,
2007,Guyana,
2008,Guyana,
2009,Guyana,
2010,Guyana,
2011,Guyana,
2012,Guyana,
2013,Guyana,
2014,Guyana,
2015,Guyana,
2016,Guyana,
2017,Guyana,
2018,Guyana,
1990,Haiti,
1991,Haiti,
1992,Haiti,
1993,Haiti,
1994,Haiti,155
1995,Haiti,159
1996,Haiti,223
1997,Haiti,171
1998,Haiti,176
1999,Haiti,181
2000,Haiti,189
2001,Haiti,
2002,Haiti,
2003,Haiti,
2004,Haiti,
2005,Haiti,
2006,Haiti,
2007,Haiti,
2008,Haiti,
2009,Haiti,
2010,Haiti,
2011,Haiti,
2012,Haiti,
2013,Haiti,
2014,Haiti,
2015,Haiti,
2016,Haiti,
2017,Haiti,
2018,Haiti,
1990,Honduras,
1991,Honduras,
1992,Honduras,
1993,Honduras,
1994,Honduras,
1995,Honduras,2944
1996,Honduras,
1997,Honduras,
1998,Honduras,
1999,Honduras,
2000,Honduras,1742
2001,Honduras,
2002,Honduras,
2003,Honduras,
2004,Honduras,
2005,Honduras,995
2006,Honduras,
2007,Honduras,
2008,Honduras,
2009,Honduras,
2010,Honduras,
2011,Honduras,
2012,Honduras,
2013,Honduras,
2014,Honduras,
2015,Honduras,1350
2016,Honduras,
2017,Honduras,
2018,Honduras,
1990,Jamaica,
1991,Jamaica,
1992,Jamaica,
1993,Jamaica,
1994,Jamaica,382
1995,Jamaica,
1996,Jamaica,
1997,Jamaica,
1998,Jamaica,
1999,Jamaica,
2000,Jamaica,
2001,Jamaica,
2002,Jamaica,
2003,Jamaica,
2004,Jamaica,
2005,Jamaica,
2006,Jamaica,604
2007,Jamaica,604
2008,Jamaica,614
2009,Jamaica,638
2010,Jamaica,634
2011,Jamaica,
2012,Jamaica,633
2013,Jamaica,
2014,Jamaica,
2015,Jamaica,
2016,Jamaica,
2017,Jamaica,
2018,Jamaica,
1990,Mexico,7442
1991,Mexico,8030
1992,Mexico,8604
1993,Mexico,13547
1994,Mexico,14233
1995,Mexico,14768
1996,Mexico,15241
1997,Mexico,15224
1998,Mexico,15211
1999,Mexico,15920
2000,Mexico,16811
2001,Mexico,17327
2002,Mexico,18046
2003,Mexico,18696
2004,Mexico,19507
2005,Mexico,20733
2006,Mexico,22693
2007,Mexico,23996
2008,Mexico,25538
2009,Mexico,26462
2010,Mexico,27804
2011,Mexico,29388
2012,Mexico,29478
2013,Mexico,24374
2014,Mexico,
2015,Mexico,
2016,Mexico,
2017,Mexico,
2018,Mexico,
1990,Nicaragua,
1991,Nicaragua,
1992,Nicaragua,
1993,Nicaragua,
1994,Nicaragua,336
1995,Nicaragua,
1996,Nicaragua,
1997,Nicaragua,
1998,Nicaragua,
1999,Nicaragua,
2000,Nicaragua,651
2001,Nicaragua,
2002,Nicaragua,
2003,Nicaragua,
2004,Nicaragua,
2005,Nicaragua,
2006,Nicaragua,
2007,Nicaragua,
2008,Nicaragua,
2009,Nicaragua,
2010,Nicaragua,
2011,Nicaragua,
2012,Nicaragua,
2013,Nicaragua,
2014,Nicaragua,
2015,Nicaragua,
2016,Nicaragua,
2017,Nicaragua,
2018,Nicaragua,
1990,Panama,
1991,Panama,
1992,Panama,
1993,Panama,
1994,Panama,1650
1995,Panama,
1996,Panama,
1997,Panama,
1998,Panama,
1999,Panama,
2000,Panama,1080
2001,Panama,
2002,Panama,
2003,Panama,
2004,Panama,
2005,Panama,
2006,Panama,
2007,Panama,
2008,Panama,
2009,Panama,
2010,Panama,
2011,Panama,
2012,Panama,
2013,Panama,
2014,Panama,
2015,Panama,
2016,Panama,
2017,Panama,
2018,Panama,
1990,Paraguay,10817
1991,Paraguay,
1992,Paraguay,
1993,Paraguay,
1994,Paraguay,276
1995,Paraguay,
1996,Paraguay,
1997,Paraguay,
1998,Paraguay,
1999,Paraguay,
2000,Paraguay,722
2001,Paraguay,
2002,Paraguay,
2003,Paraguay,
2004,Paraguay,
2005,Paraguay,1478
2006,Paraguay,
2007,Paraguay,
2008,Paraguay,
2009,Paraguay,
2010,Paraguay,
2011,Paraguay,2126
2012,Paraguay,2189
2013,Paraguay,
2014,Paraguay,
2015,Paraguay,1304
2016,Paraguay,
2017,Paraguay,1294
2018,Paraguay,
1990,Peru,
1991,Peru,
1992,Peru,
1993,Peru,
1994,Peru,2720
1995,Peru,
1996,Peru,
1997,Peru,
1998,Peru,
1999,Peru,
2000,Peru,7335
2001,Peru,
2002,Peru,
2003,Peru,
2004,Peru,
2005,Peru,
2006,Peru,
2007,Peru,
2008,Peru,
2009,Peru,
2010,Peru,7660
2011,Peru,
2012,Peru,7822
2013,Peru,
2014,Peru,
2015,Peru,
2016,Peru,
2017,Peru,
2018,Peru,
1990,Suriname,
1991,Suriname,
1992,Suriname,
1993,Suriname,
1994,Suriname,
1995,Suriname,
1996,Suriname,
1997,Suriname,
1998,Suriname,
1999,Suriname,
2000,Suriname,
2001,Suriname,
2002,Suriname,
2003,Suriname,21
2004,Suriname,
2005,Suriname,
2006,Suriname,
2007,Suriname,
2008,Suriname,
2009,Suriname,
2010,Suriname,
2011,Suriname,
2012,Suriname,
2013,Suriname,
2014,Suriname,
2015,Suriname,
2016,Suriname,
2017,Suriname,
2018,Suriname,
1990,Trinidad and Tobago,622
1991,Trinidad and Tobago,
1992,Trinidad and Tobago,
1993,Trinidad and Tobago,
1994,Trinidad and Tobago,
1995,Trinidad and Tobago,
1996,Trinidad and Tobago,
1997,Trinidad and Tobago,
1998,Trinidad and Tobago,
1999,Trinidad and Tobago,
2000,Trinidad and Tobago,
2001,Trinidad and Tobago,
2002,Trinidad and Tobago,
2003,Trinidad and Tobago,
2004,Trinidad and Tobago,
2005,Trinidad and Tobago,
2006,Trinidad and Tobago,
2007,Trinidad and Tobago,
2008,Trinidad and Tobago,
2009,Trinidad and Tobago,
2010,Trinidad and Tobago,
2011,Trinidad and Tobago,
2012,Trinidad and Tobago,
2013,Trinidad and Tobago,
2014,Trinidad and Tobago,
2015,Trinidad and Tobago,
2016,Trinidad and Tobago,
2017,Trinidad and Tobago,
2018,Trinidad and Tobago,
1990,Uruguay,677
1991,Uruguay,
1992,Uruguay,
1993,Uruguay,
1994,Uruguay,784
1995,Uruguay,
1996,Uruguay,
1997,Uruguay,
1998,Uruguay,911
1999,Uruguay,
2000,Uruguay,851
2001,Uruguay,
2002,Uruguay,938
2003,Uruguay,
2004,Uruguay,876
2005,Uruguay,
2006,Uruguay,925
2007,Uruguay,
2008,Uruguay,963
2009,Uruguay,
2010,Uruguay,1015
2011,Uruguay,
2012,Uruguay,975
2013,Uruguay,
2014,Uruguay,1034
2015,Uruguay,
2016,Uruguay,1073
2017,Uruguay,1078
2018,Uruguay,
1990,Venezuela (Bolivarian Republic of),
1991,Venezuela (Bolivarian Republic of),
1992,Venezuela (Bolivarian Republic of),
1993,Venezuela (Bolivarian Republic of),
1994,Venezuela (Bolivarian Republic of),
1995,Venezuela (Bolivarian Republic of),
1996,Venezuela (Bolivarian Republic of),
1997,Venezuela (Bolivarian Republic of),
1998,Venezuela (Bolivarian Republic of),
1999,Venezuela (Bolivarian Republic of),6465
2000,Venezuela (Bolivarian Republic of),
2001,Venezuela (Bolivarian Republic of),
2002,Venezuela (Bolivarian Republic of),
2003,Venezuela (Bolivarian Republic of),
2004,Venezuela (Bolivarian Republic of),
2005,Venezuela (Bolivarian Republic of),
2006,Venezuela (Bolivarian Republic of),
2007,Venezuela (Bolivarian Republic of),
2008,Venezuela (Bolivarian Republic of),
2009,Venezuela (Bolivarian Republic of),
2010,Venezuela (Bolivarian Republic of),
2011,Venezuela (Bolivarian Republic of),
2012,Venezuela (Bolivarian Republic of),
2013,Venezuela (Bolivarian Republic of),
2014,Venezuela (Bolivarian Republic of),
2015,Venezuela (Bolivarian Republic of),
2016,Venezuela (Bolivarian Republic of),
2017,Venezuela (Bolivarian Republic of),
2018,Venezuela (Bolivarian Republic of),
