year,country,value,model
1984,suriname,,AFOLU
1984,trinidad_and_tobago,,AFOLU
1984,uruguay,,AFOLU
1985,argentina,,AFOLU
1985,bahamas,,AFOLU
1985,barbados,,AFOLU
1985,belize,,AFOLU
1985,brazil,,AFOLU
1985,chile,,AFOLU
1985,colombia,,AFOLU
1985,costa_rica,,AFOLU
1985,dominican_republic,,AFOLU
1985,ecuador,,AFOLU
1985,el_salvador,,AFOLU
1985,guatemala,,AFOLU
1985,guyana,,AFOLU
1985,haiti,,AFOLU
1985,honduras,,AFOLU
1985,jamaica,,AFOLU
1985,mexico,,AFOLU
1985,nicaragua,,AFOLU
1985,panama,,AFOLU
1985,paraguay,,AFOLU
1985,peru,,AFOLU
1985,suriname,,AFOLU
1985,trinidad_and_tobago,,AFOLU
1985,uruguay,,AFOLU
1986,argentina,,AFOLU
1986,bahamas,,AFOLU
1986,barbados,,AFOLU
1986,belize,,AFOLU
1986,brazil,,AFOLU
1986,chile,,AFOLU
1986,colombia,,AFOLU
1986,costa_rica,,AFOLU
1986,dominican_republic,,AFOLU
1986,ecuador,,AFOLU
1986,el_salvador,,AFOLU
1986,guatemala,,AFOLU
1986,guyana,,AFOLU
1986,haiti,,AFOLU
1986,honduras,,AFOLU
1986,jamaica,,AFOLU
1986,mexico,,AFOLU
1986,nicaragua,,AFOLU
1986,panama,,AFOLU
1986,paraguay,,AFOLU
1986,peru,,AFOLU
1986,suriname,,AFOLU
1986,trinidad_and_tobago,,AFOLU
1986,uruguay,,AFOLU
1987,argentina,,AFOLU
1987,bahamas,,AFOLU
1987,barbados,,AFOLU
1987,belize,,AFOLU
1987,brazil,,AFOLU
1987,chile,,AFOLU
1987,colombia,,AFOLU
1987,costa_rica,,AFOLU
1987,dominican_republic,,AFOLU
1987,ecuador,,AFOLU
1987,el_salvador,,AFOLU
1987,guatemala,,AFOLU
1987,guyana,,AFOLU
1987,haiti,,AFOLU
1987,honduras,,AFOLU
1987,jamaica,,AFOLU
1987,mexico,,AFOLU
1987,nicaragua,,AFOLU
1987,panama,,AFOLU
1987,paraguay,,AFOLU
1987,peru,,AFOLU
1987,suriname,,AFOLU
1987,trinidad_and_tobago,,AFOLU
1987,uruguay,,AFOLU
1988,argentina,,AFOLU
1988,bahamas,,AFOLU
1988,barbados,,AFOLU
1988,belize,,AFOLU
1988,brazil,,AFOLU
1988,chile,,AFOLU
1988,colombia,,AFOLU
1988,costa_rica,,AFOLU
1988,dominican_republic,,AFOLU
1988,ecuador,,AFOLU
1988,el_salvador,,AFOLU
1988,guatemala,,AFOLU
1988,guyana,,AFOLU
1988,haiti,,AFOLU
1988,honduras,,AFOLU
1988,jamaica,,AFOLU
1988,mexico,,AFOLU
1988,nicaragua,,AFOLU
1988,panama,,AFOLU
1988,paraguay,,AFOLU
1988,peru,,AFOLU
1988,suriname,,AFOLU
1988,trinidad_and_tobago,,AFOLU
1988,uruguay,,AFOLU
1989,argentina,,AFOLU
1989,bahamas,,AFOLU
1989,barbados,,AFOLU
1989,belize,,AFOLU
1989,brazil,,AFOLU
1989,chile,,AFOLU
1989,colombia,,AFOLU
1989,costa_rica,,AFOLU
1989,dominican_republic,,AFOLU
1989,ecuador,,AFOLU
1989,el_salvador,,AFOLU
1989,guatemala,,AFOLU
1989,guyana,,AFOLU
1989,haiti,,AFOLU
1989,honduras,,AFOLU
1989,jamaica,,AFOLU
1989,mexico,,AFOLU
1989,nicaragua,,AFOLU
1989,panama,,AFOLU
1989,paraguay,,AFOLU
1989,peru,,AFOLU
1989,suriname,,AFOLU
1989,trinidad_and_tobago,,AFOLU
1989,uruguay,,AFOLU
1990,argentina,170504.9544,AFOLU
1990,bahamas,75.3455,AFOLU
1990,barbados,102.0614,AFOLU
1990,belize,6837.979,AFOLU
1990,brazil,1406777.3447,AFOLU
1990,chile,-6578.9081,AFOLU
1990,colombia,154165.7396,AFOLU
1990,costa_rica,7669.130999999999,AFOLU
1990,dominican_republic,-958.834,AFOLU
1990,ecuador,49269.7094,AFOLU
1990,el_salvador,4236.3027,AFOLU
1990,guatemala,22090.7263,AFOLU
1990,guyana,8212.3848,AFOLU
1990,haiti,3251.3961,AFOLU
1990,honduras,11576.594,AFOLU
1990,jamaica,1421.4279,AFOLU
1990,mexico,116337.161,AFOLU
1990,nicaragua,26900.5757,AFOLU
1990,panama,9353.3643,AFOLU
1990,paraguay,62337.5631,AFOLU
1990,peru,78608.5632,AFOLU
1990,suriname,3980.4259,AFOLU
1990,trinidad_and_tobago,314.6987,AFOLU
1990,uruguay,11269.1907,AFOLU
1991,argentina,169184.0744,AFOLU
1991,bahamas,74.6233,AFOLU
1991,barbados,101.8777,AFOLU
1991,belize,6828.6524,AFOLU
1991,brazil,1418500.2144,AFOLU
1991,chile,-6518.4489,AFOLU
1991,colombia,153663.3934,AFOLU
1991,costa_rica,7666.5755,AFOLU
1991,dominican_republic,-566.5215,AFOLU
1991,ecuador,49289.3833,AFOLU
1991,el_salvador,4308.7667,AFOLU
1991,guatemala,22311.9391,AFOLU
1991,guyana,8483.0049,AFOLU
1991,haiti,3463.6053,AFOLU
1991,honduras,11581.8949,AFOLU
1991,jamaica,1480.4827,AFOLU
1991,mexico,114707.9998,AFOLU
1991,nicaragua,25451.705,AFOLU
1991,panama,9363.9288,AFOLU
1991,paraguay,60911.1572,AFOLU
1991,peru,78158.7614,AFOLU
1991,suriname,4042.3068,AFOLU
1991,trinidad_and_tobago,318.5726,AFOLU
1991,uruguay,12378.8484,AFOLU
1992,argentina,170865.4931,AFOLU
1992,bahamas,75.3282,AFOLU
1992,barbados,101.3687,AFOLU
1992,belize,6855.5832,AFOLU
1992,brazil,1424849.6173,AFOLU
1992,chile,-6188.0103,AFOLU
1992,colombia,154266.6423,AFOLU
1992,costa_rica,7607.5783,AFOLU
1992,dominican_republic,-882.8979,AFOLU
1992,ecuador,50332.4954,AFOLU
1992,el_salvador,4343.9885,AFOLU
1992,guatemala,22675.7016,AFOLU
1992,guyana,8543.2951,AFOLU
1992,haiti,3970.7845,AFOLU
1992,honduras,11504.1241,AFOLU
1992,jamaica,1542.3157,AFOLU
1992,mexico,113900.8527,AFOLU
1992,nicaragua,26062.2843,AFOLU
1992,panama,9463.5285,AFOLU
1992,paraguay,61448.490999999995,AFOLU
1992,peru,77999.54,AFOLU
1992,suriname,4128.105,AFOLU
1992,trinidad_and_tobago,308.4623,AFOLU
1992,uruguay,13626.888,AFOLU
1993,argentina,168873.9356,AFOLU
1993,bahamas,74.3885,AFOLU
1993,barbados,95.6223,AFOLU
1993,belize,6834.9174,AFOLU
1993,brazil,1426422.5487,AFOLU
1993,chile,-5768.1806,AFOLU
1993,colombia,155258.6312,AFOLU
1993,costa_rica,7570.5083,AFOLU
1993,dominican_republic,-641.6525,AFOLU
1993,ecuador,50961.1252,AFOLU
1993,el_salvador,4217.5083,AFOLU
1993,guatemala,23034.2482,AFOLU
1993,guyana,8680.7615,AFOLU
1993,haiti,3775.5767,AFOLU
1993,honduras,10993.4449,AFOLU
1993,jamaica,1552.4926,AFOLU
1993,mexico,115497.3928,AFOLU
1993,nicaragua,26796.4738,AFOLU
1993,panama,9503.8834,AFOLU
1993,paraguay,62988.9892,AFOLU
1993,peru,78209.1057,AFOLU
1993,suriname,4042.7013,AFOLU
1993,trinidad_and_tobago,293.6175,AFOLU
1993,uruguay,14458.6838,AFOLU
1994,argentina,170424.6422,AFOLU
1994,bahamas,73.1073,AFOLU
1994,barbados,96.5845,AFOLU
1994,belize,6834.7599,AFOLU
1994,brazil,1434672.2546,AFOLU
1994,chile,-5281.7467,AFOLU
1994,colombia,156246.8515,AFOLU
1994,costa_rica,7181.8795,AFOLU
1994,dominican_republic,-679.5419,AFOLU
1994,ecuador,51461.1841,AFOLU
1994,el_salvador,4281.1121,AFOLU
1994,guatemala,22880.472,AFOLU
1994,guyana,8650.4216,AFOLU
1994,haiti,3745.4509,AFOLU
1994,honduras,11265.6498,AFOLU
1994,jamaica,1524.4389999999999,AFOLU
1994,mexico,115326.1038,AFOLU
1994,nicaragua,26778.1706,AFOLU
1994,panama,9502.8963,AFOLU
1994,paraguay,64023.0388,AFOLU
1994,peru,79103.0957,AFOLU
1994,suriname,4055.0623,AFOLU
1994,trinidad_and_tobago,286.6526,AFOLU
1994,uruguay,14548.7652,AFOLU
1995,argentina,169682.8599,AFOLU
1995,bahamas,78.4007,AFOLU
1995,barbados,100.4415,AFOLU
1995,belize,6794.0521,AFOLU
1995,brazil,1441113.4123,AFOLU
1995,chile,-4982.3602,AFOLU
1995,colombia,156253.4886,AFOLU
1995,costa_rica,6691.3454,AFOLU
1995,dominican_republic,-586.1881,AFOLU
1995,ecuador,51681.8355,AFOLU
1995,el_salvador,3953.8762,AFOLU
1995,guatemala,22920.2372,AFOLU
1995,guyana,9331.3862,AFOLU
1995,haiti,3769.8208,AFOLU
1995,honduras,11247.5989,AFOLU
1995,jamaica,1549.4189,AFOLU
1995,mexico,113624.3475,AFOLU
1995,nicaragua,25890.2822,AFOLU
1995,panama,9502.2943,AFOLU
1995,paraguay,65465.0337,AFOLU
1995,peru,80057.7682,AFOLU
1995,suriname,4137.9816,AFOLU
1995,trinidad_and_tobago,286.9789,AFOLU
1995,uruguay,14311.1871,AFOLU
1996,argentina,168989.948,AFOLU
1996,bahamas,130.9172,AFOLU
1996,barbados,101.5893,AFOLU
1996,belize,6796.6568,AFOLU
1996,brazil,1424466.7921,AFOLU
1996,chile,-4802.358,AFOLU
1996,colombia,156502.7504,AFOLU
1996,costa_rica,6674.2292,AFOLU
1996,dominican_republic,-276.7695,AFOLU
1996,ecuador,52213.7527,AFOLU
1996,el_salvador,4396.9186,AFOLU
1996,guatemala,23353.0646,AFOLU
1996,guyana,9644.0342,AFOLU
1996,haiti,3811.3199,AFOLU
1996,honduras,11071.6374,AFOLU
1996,jamaica,1499.5351,AFOLU
1996,mexico,111809.1947,AFOLU
1996,nicaragua,25652.4637,AFOLU
1996,panama,9502.3558,AFOLU
1996,paraguay,65330.6252,AFOLU
1996,peru,80446.1303,AFOLU
1996,suriname,4215.2981,AFOLU
1996,trinidad_and_tobago,319.0248,AFOLU
1996,uruguay,14846.8711,AFOLU
1997,argentina,169056.54100000003,AFOLU
1997,bahamas,126.5603,AFOLU
1997,barbados,95.5747,AFOLU
1997,belize,6773.0876,AFOLU
1997,brazil,1435589.4724,AFOLU
1997,chile,-4324.1412,AFOLU
1997,colombia,156144.217,AFOLU
1997,costa_rica,6656.9975,AFOLU
1997,dominican_republic,-103.2517,AFOLU
1997,ecuador,53062.7703,AFOLU
1997,el_salvador,4226.4563,AFOLU
1997,guatemala,23167.5822,AFOLU
1997,guyana,9831.8544,AFOLU
1997,haiti,4023.6490000000003,AFOLU
1997,honduras,11519.5043,AFOLU
1997,jamaica,1466.4915,AFOLU
1997,mexico,112710.7413,AFOLU
1997,nicaragua,26240.1152,AFOLU
1997,panama,9288.6263,AFOLU
1997,paraguay,65961.2627,AFOLU
